state,key,svn,english,translation
CURRENT,tutorial_radiationinstallinfuser,3054,A laser infuser has been delivered to your ship.\n\nLaser infusers are used to charge empty crystals with zeleon gas and will emit radiation to the surrounding area while powered.\n\nInstall the laser infuser in a clear area.,Лазерный инфузор был доставлен на ваш корабль.\n\nЛазерные инфузоры используются для зарядки пустых кристаллов газом зелеона и будут излучать радиацию в окружающую область при работе.\n\nУстановите лазерный инфузор в свободной области.
CURRENT,tutorial_radiationsetupinfuser,3054,An empty crystal and some zeleon energy cells have been delivered to your ship too.\n\nLet's set the laser infuser to use them to produce charged crystals.,Пустой кристалл и несколько энергетических ячеек зелеона также были доставлены на ваш корабль.\n\nДавайте настроим лазерный инфузор на использование их для производства заряженных кристаллов.
CURRENT,tutorial_radiationwaitforinputs,3054,The laser infuser is set to start making charged crystals!\n\nLet's wait for it to begin charging crystals.\n\nDon't forget to power the Laser Infuser.,"Лазерный инфузор настроен на начало производства заряженных кристаллов!\n\nДавайте подождем, пока он начнет заряжать кристаллы.\n\nНе забудьте запитать Лазерный Инфузор."
CURRENT,tutorial_radiationselectoverlay,3054,The game has been set to a slower speed for now.\n\nRadiation is emitted in all directions away from the laser infuser.\n\nClick on the radiation overlay to view where your ship is irradiated.,"Скорость игры была установлена медленнее на данный момент.\n\nРадиация излучается во всех направлениях от лазерного инфузора.\n\nНажмите на наложение радиации, чтобы увидеть, где ваш корабль облучен."
CURRENT,tutorial_radiationselectoverlay2,3054,"All green areas of your ship are safe for your crew, but the darker areas are dangerous.\n\nSpacesuits will protect your crew from being irradiated.","Все зеленые области вашего корабля безопасны для вашего экипажа, но более темные области опасны.\n\nКосмические скафандры защитят ваш экипаж от облучения."
CURRENT,tutorial_radiationinstallblockers,3054,"Radiation spread can be limited by special equipment called radiation blockers.\n\nInstall some blockers close to your laser infuser, leaving a small gap between the infuser and the blocker.\n\nIncrease the game speed when you are ready.","Распространение радиации может быть ограничено специальным оборудованием, называемым блокаторами радиации.\n\nУстановите несколько блокаторов близко к вашему лазерному инфузору, оставив небольшой зазор между инфузором и блокатором.\n\nУвеличьте скорость игры, когда будете готовы."
CURRENT,tutorial_radiationselectoverlay3,3054,"A radiation blocker will lower the radiation travelling through it, this can be seen on the radiation overlay.","Блокатор радиации снизит радиацию, проходящую через него, это можно увидеть на наложении радиации."
CURRENT,tutorial_radiationoutro,3054,"Your crew will become sick if exposed to unsafe radiation for too long, which may eventually result in death.","Ваш экипаж заболеет, если будет слишком долго подвергаться опасной радиации, что в конечном итоге может привести к смерти."
CURRENT,tutorial_radiationsuccess,3054,"Well done, you have now learnt how radiation works and how to manage radiation levels in your ship.","Отлично, теперь вы узнали, как работает радиация и как управлять уровнем радиации на вашем корабле."
CURRENT,tutorial_survey_title,3054,SECTOR SURVEYING,СКАНИРОВАНИЕ СЕКТОРА
CURRENT,tutorial_surveyintro,3054,"We are going to learn how to survey the area around your ship.\n\nThe first step is to scan the local area of the sector surrounding you ship using a <b>SECTOR SCAN</b>.\n\nIn Boldly Go, only the new sector can be surveyed.\n\nHyperspace sensors are required to do this.","Мы собираемся узнать, как исследовать область вокруг вашего корабля.\n\nПервый шаг - просканировать локальную область сектора, окружающего ваш корабль, используя <b>СКАНИРОВАНИЕ СЕКТОРА</b>.\n\nВ Boldly Go может быть просканирован только новый сектор.\n\nДля этого требуются гиперпространственные сенсоры."
CURRENT,tutorial_surveyinstallsensors,3054,"Install Hyperspace Sensors or Hyperspace Sensor LRs onto one of your ships.\n\nThis tutorial will resume afterwards.\n\nIf you are playing the Boldly Go game mode, your ship must also be in the new sector.","Установите Гиперпространственные Сенсоры или Гиперпространственные Сенсоры LR на один из ваших кораблей.\n\nЭто обучение возобновится после этого.\n\nЕсли вы играете в режиме Boldly Go, ваш корабль также должен находиться в новом секторе."
CURRENT,tutorial_surveystartsectorsurvey,3054,Sector scans search for areas of interest in the sector around the system your ship is located in.\n\nThe scan will stop after it has completed. Only one layer in a system can do a sector scan.\n\nClick the button to begin a sector scan.,"Сканирование сектора ищет зоны интереса в секторе вокруг системы, в которой находится ваш корабль.\n\nСканирование остановится после завершения. Только один корабль в системе может выполнять сканирование сектора.\n\nНажмите на кнопку, чтобы начать сканирование сектора."
CURRENT,tutorial_surveyhighlightsectorsurveysystem,3054,Hovering the mouse over the current system will reveal the radius around the system that is being scanned and the scan's progress toward finding new points of interest.\n\nOpen the <b>SECTOR MAP</b> and click <b>NEXT</b> to speed-up the survey.,"Наведя курсор на текущую систему, вы увидите радиус вокруг сканируемой системы и прогресс сканирования в поиске новых точек интереса.\n\nОткройте <b>КАРТУ СЕКТОРА</b> и нажмите <b>ДАЛЕЕ</b>, чтобы ускорить исследование."
CURRENT,tutorial_surveylocalsurveyintro,3054,The next step is to perform a <b>LOCAL SURVEY</b>.\n\nLocal surveys allow points of interest to be accessed via FTL.\n\nShips need to have super computers installed and must be in the same sector to participate in a local survey.,Следующий шаг - выполнить <b>ЛОКАЛЬНОЕ ИССЛЕДОВАНИЕ</b>.\n\nЛокальные исследования позволяют получить доступ к точкам интереса через Гипердвигатель.\n\nКорабли должны иметь установленные суперкомпьютеры и должны находиться в одном секторе для участия в локальном исследовании.
CURRENT,tutorial_surveyinstallcomputers,3054,Install a super-computer on one of your ships.\n\nThis tutorial will resume afterwards.,Установите суперкомпьютер на один из ваших кораблей.\n\nЭто обучение возобновится после этого.
CURRENT,tutorial_surveystartlocalsurvey,3054,Areas of interest will expire after some time if they are not surveyed. Multiple layers can contribute towards a local survey.\n\nClick on the point of interest to begin the local survey.,"Зоны интереса истекут через некоторое время, если они не исследованы. Несколько кораблей могут участвовать в локальном исследовании.\n\nНажмите на точку интереса, чтобы начать локальное исследование."
CURRENT,tutorial_surveyoutro,3054,Click <b>NEXT</b> to speed-up the survey.,"Нажмите <b>ДАЛЕЕ</b>, чтобы ускорить исследование."
CURRENT,tutorial_surveysuccess,3054,"A new system on the sector map has appeared for your fleet to explore!\n\nWell done, you have now learnt how to use sector surveying to find and explore new systems.\n\nKeep an eye out for special loot on surveyed derelict ships that can be researched by your science stations.","На карте сектора появилась новая система для исследования вашим флотом!\n\nОтлично, теперь вы научились использовать сканирование сектора для поиска и исследования новых систем.\n\nСледите за особыми предметами на исследованных заброшенных кораблях, которые могут быть исследованы вашими научными станциями."
CURRENT,bravenewsector_part1_x1,3054,Captain? Are you there?,Капитан? Вы на месте?
CURRENT,bravenewsector_part1_x2,3054,"I can't believe it, the Stargate worked! This is my greatest project, my greatest achievement, perhaps my final one too. Maybe I'll have the chance to see the new sector for myself one day.","Не могу в это поверить — Звездные Врата сработали! Это мой величайший проект, возможно, и последнее достижение. Может быть, когда-нибудь у меня будет шанс сам увидеть новый сектор."
CURRENT,bravenewsector_part1_x3,3054,"I believe this is only the beginning though, the Andromeda Project have made it clear they want to reach a new galaxy, not just a new sector. I'm sure they will be in contact soon about the next steps of the Stargate.","Однако это только начало, Проект Андромеда явно стремится достичь новой галактики, а не просто сектора. Я уверен, что они скоро свяжутся по поводу следующих шагов с Звездными Вратами."
CURRENT,bravenewsector_part1_x4,3054,"Thank you Captain, for all your hard work. Goodbye for now.","Спасибо, Капитан, за всю вашу тяжелую работу. До свидания."
CURRENT,bravenewsector_part2_title,3054,"Brave New Sector, Part 2","Дивный Новый Сектор, Часть 2"
CURRENT,bravenewsector_part2_summary,3054,Uncover the history of the new sector.,Раскройте историю нового сектора.
CURRENT,bravenewsector_part2_x1,3054,"Hello again Captain, the Andromeda Project is very impressed with the samples you've sent them. They want your work on the Stargate to continue.","Снова здравствуйте, Капитан, Проект Андромеда очень впечатлен образцами, которые вы им отправили. Они хотят, чтобы ваша работа над Звездными Вратами продолжалась."
CURRENT,bravenewsector_part2_x3,3054,"I must warn you, there are rumours that their plan is to take the Stargate fully under their control. They will charge anyone who wants to use it a fortune, preventing any competition and harvesting all the resources in the new galaxy for themselves. They will become more powerful than any entity we have seen before.","Я должен предупредить вас, ходят слухи, что их план - полностью взять Звездные Врата под свой контроль. Они будут взимать с любого, кто захочет их использовать, целое состояние, предотвращая любую конкуренцию и собирая все ресурсы в новой галактике для себя. Они станут более могущественными, чем любая сущность, которую мы видели раньше."
CURRENT,bravenewsector_part2_x4,3054,"Please don't let that happen Captain. So much of my life and so many of my projects have been done purely for profit, I can't let this become one of them. The Stargate is too important and valuable for our species to be under their control.","Пожалуйста, не позволяйте этому случиться, Капитан. Так много в моей жизни и так много моих проектов было сделано исключительно ради прибыли, я не могу позволить этому стать одним из них. Звездные Врата слишком важны и ценны для нашего вида, чтобы быть под их контролем."
CURRENT,bravenewsector_part2_x5,3054,I have installed a back-door that will cause the Stargate to self-destruct if you command it to. You must trigger it if the rumours are true.,"Я установил бэкдор, который заставит Звездные Врата самоуничтожиться, если вы прикажете. Вы должны активировать его, если слухи окажутся правдой."
CURRENT,bravenewsector_part2_x6,3054,"Unfortunately, I've been given some bad news, and I won't be around for much longer. I would like to give you full ownership of the foundry as a thank you for helping me finish this final project.","К сожалению, мне сообщили плохие новости, и меня не будет намного дольше. Я хотел бы передать вам полное владение фабрикой в знак благодарности за помощь в завершении этого последнего проекта."
CURRENT,bravenewsector_part2_x7,3054,It seems we have completed it just in time.,"Похоже, мы завершили его как раз вовремя."
CURRENT,bravenewsector_part2_x8,3054,"This is our final call, Captain. I wish you the best of luck. Thank you again, and goodbye.","Это наш последний звонок, Капитан. Желаю вам удачи. Еще раз спасибо, и до свидания."
CURRENT,bravenewsector_part2_harken_1,3054,"Captain, our sector scan has found new systems. They contain shipyards that are currently being operated by pirates.","Капитан, наше сканирование сектора обнаружило новые системы. Они содержат верфи, которые в настоящее время управляются пиратами."
CURRENT,bravenewsector_part2_harken_3,3054,"There are signs of a massive galactic war in this sector, with derelict ship signals appearing all across our sector map.","В секторе видны следы масштабной галактической войны, сигналы заброшенных кораблей появляются по всей карте."
CURRENT,bravenewsector_part2_harken_4,3054,"The aftermath of the war resulted in pirates gaining control of the sector for themselves. They have since been living here, dormant, surviving from the resources harvested in local asteroid belts and nebulas.","Последствия войны позволили пиратам установить контроль над сектором. С тех пор они живут здесь в относительной изоляции, выживая за счет ресурсов из местных поясов астероидов и туманностей."
CURRENT,bravenewsector_part2_harken_6,3054,Destroying the fortresses would allow us to set up friendly shipyards and take back control of the sector from the pirates.,Уничтожение крепостей позволит нам создать дружественные верфи и вернуть контроль над сектором у пиратов.
CURRENT,bravenewsector_part2_harken_7,3054,Be prepared to be met with heavy resistance if you choose to visit them. I have added their positions to your sector map.,"Будьте готовы к серьезному сопротивлению, если решите их посетить. Я отметил их позиции на вашей карте сектора."
CURRENT,bravenewsector_part2_harken_8,3054,There's a shuttle on the way to L*X with surveying equipment on-board. It will allow you to scan the area around your ship.,Челнок уже в пути к L*X с исследовательским оборудованием на борту. Он позволит вам сканировать область вокруг вашего корабля.
CURRENT,bravenewsector_part2_surveywarning,3054,"There's a shuttle on the way to L*X with surveying equipment on-board. The equipment can only be used in the new sector, so you'll need to send a ship through the Stargate to start surveying.","Челнок уже в пути к L*X с исследовательским оборудованием. Оборудование можно использовать только в новом секторе, поэтому вам нужно будет пройти через Звездные Врата, чтобы начать работу."
CURRENT,bravenewsector_part2_harken_9,3054,"The forgotten battlefields of the sector may contain new research opportunities, I'd recommend that you explore any derelict ships you detect.","Забытые поля сражений могут содержать исследовательские возможности — рекомендую обследовать все заброшенные корабли, которые вы обнаружите."
CURRENT,bravenewsector_part2_harken_10,3054,"That's all from me Captain, good luck.","Это все от меня, Капитан, удачи."
CURRENT,bravenewsector_part2_receivesensors,3054,Receive LR Hyperspace Sensors [*X/*Y],Получите Гиперпространственные Сенсоры LR [*X/*Y]
CURRENT,bravenewsector_part2_receivecompute,3054,Receive a Super Computer,Получите Суперкомпьютер
CURRENT,bravenewsector_part3_title,3054,"Brave New Sector, Part 3","Дивный Новый Сектор, Часть 3"
CURRENT,bravenewsector_part3_summary,3054,Assist the scientist with his research.,Помогите ученому с его исследованиями.
CURRENT,bravenewsector_part3_intro_rep1,3054,"Hello again, Captain. Congratulations on completing the latest phase of the Stargate project! We are all very impressed by your commitment and dedication.","Снова здравствуйте, Капитан. Поздравляем с завершением последней фазы проекта Звездные Врата! Мы все очень впечатлены вашей приверженностью и преданностью."
CURRENT,bravenewsector_part3_intro_rep2,3054,The project has a new task for you. One of our scientists is investigating a new lifeform called tiddlets.,У проекта для вас новая задача. Один из наших ученых исследует новую форму жизни под названием тиддлеты.
CURRENT,bravenewsector_part3_intro_rep3,3054,"Upon death, a crystal is formed at the core of the tiddlet. This crystal has extraordinary energy density, which is exactly what we need to increase the hyperspace range of the Stargate.","После смерти в ядре тиддлета формируется кристалл. Этот кристалл обладает необычайной энергетической плотностью, что именно то, что нам нужно для увеличения дальности гиперпространственных прыжков Звездных Врат."
CURRENT,bravenewsector_part3_intro_rep4,3054,"The Andromeda Project would love to relentlessly farm these tiddlets, but due to recent accidents they have become a strictly protected species. The scientist you're going to visit is researching how to ethically produce their crystals. He believes the new sector's resources will be a breakthrough for his research.","Проект Андромеда, вероятно, стал бы эксплуатировать этих тиддлетов, но из-за недавних событий они теперь под строгой защитой. Ученый, которого вы посетите, изучает, как получать их кристаллы этично. Он считает, что ресурсы нового сектора станут прорывом для его исследований."
CURRENT,bravenewsector_part3_intro_rep5,3054,Visit him and provide him a sample of the zeleon.,Посетите его и предоставьте ему образец зелеона.
CURRENT,bravenewsector_part3_deliversample,3054,Deliver the resources,Доставьте ресурсы
CURRENT,bravenewsector_part3_deliverzeleon,3054,Deliver a sample of Shielded Zeleon [*X/*Y],Доставьте образец Экранированного Зелеона [*X/*Y]
CURRENT,bravenewsector_part3_deliverneubidium,3054,Deliver a sample of Neubidium Ingots [*X/*Y],Доставьте образец Нейбидиумных Слитков [*X/*Y]
CURRENT,bravenewsector_part3_artemis_1a,3054,Captain? Is that you? What are you doing here? It's so good to see you!,Капитан? Это вы? Что вы здесь делаете? Очень приятно вас видеть!
CURRENT,bravenewsector_part3_artemis_2a,3054,"The Andromeda Project have hired me to work on synthesising the tiddlet crystals that we discovered during our research, and I see they've sent you to provide me with the zeleon.","Проект Андромеда нанял меня для работы над синтезом кристаллов тиддлетов, которые мы обнаружили, и я вижу, что они направили вас, чтобы доставить мне зелеон."
CURRENT,bravenewsector_part3_artemis_3a,3054,I see you're looking after those tiddlets well! A lot has changed since the tiddlet farm explosion. They are a protected species now and harming them is strictly prohibited.,"Вижу, вы хорошо заботитесь о тиддлетах! Многое изменилось с момента взрыва фермы. Теперь они находятся под охраной, и причинять им вред строго запрещено."
CURRENT,bravenewsector_part3_artemis_4a,3054,A lot has changed since the tiddlet farm explosion. They are a protected species now and harming them is strictly prohibited.,"Многое изменилось с момента взрыва фермы тиддлетов. Теперь они охраняемый вид, и причинять им вред строго запрещено."
CURRENT,bravenewsector_part3_artemis_1b,3054,"Greetings Captain, the Andromeda Project have hired me to work on synthesising crystals produced by a creature I discovered. I've named them tiddlets.","Приветствую, Капитан, Проект Андромеда нанял меня для работы над синтезом кристаллов, производимых существом, которое я обнаружил. Я назвал их тиддлеты."
CURRENT,bravenewsector_part3_artemis_2b,3054,"Upon death, a crystal is formed at the core of the tiddlet. My job is to find a way to produce these crystals without having to farm any tiddlets in the process.","После смерти в ядре тиддлета формируется кристалл. Моя задача - найти способ производить эти кристаллы, не выращивая при этом тиддлетов."
CURRENT,bravenewsector_part3_artemis_3b,3054,The neubidium and zeleon you discovered could be key to my research.,"Нейбидиум и зелеон, которые вы обнаружили, могут быть ключом к моим исследованиям."
CURRENT,bravenewsector_part3_artemis_5a,3054,"One moment Captain, I've sent a shuttle to receive the resources from you.","Один момент, Капитан, я отправил челнок, чтобы получить ресурсы от вас."
