action_closedoors | Закрыть Все Двери
blackhole_part2_setup3 | С этим Гипердвигателем вы сможете совершить чрезвычайно короткий Гиперпрыжок в непосредственной близости от черной дыры.  Вы появитесь прямо над кораблем моего брата-близнеца и совершите спасение.
blackhole_part2_setup4 | Вам нужно будет совершить два прыжка - один туда и один обратно.  Я проверил и перепроверил расчеты.  Мне понадобится ваша помощь, чтобы изготовить два Гипертоплива, которые работают с модифицированным Прыжковым Гипердвигателем.
blackhole_part2_setup5 | Мне понадобится довольно много Тилиевых Кристаллов для Гипертоплива.  Тилиевую руду можно добыть практически в любом поясе астероидов в системе - но вам понадобится Шахтерский Лазер для этого и Дроны для сбора минералов.
blackhole_part2_setup6 | Затем вам понадобится Плавильная Печь для переработки руды в Тилиевые Кристаллы.  У меня здесь есть большая часть необходимого оборудования.  Если вы пристыкуетесь к моему кораблю, я могу передать его вам.
blackhole_part2_setup7 | Возьмите эти Шахтерские Лазеры и дроны и найдите пояс астероидов с месторождениями Тилиума.  Направьте шахтерские лазеры на Тилиум и используйте дроны для сбора минералов.
blackhole_part2_setup8 | После добычи ресурса вам нужно будет обработать его в Тилиевые Кристаллы, используя Плавильную Печь, которую я предоставил.
blackhole_part2_stargate0 | Приветствую, Капитан.  Я представитель Проекта Звездные Врата.
blackhole_part2_stargate1 | Мы слышали о вашем участии в миссии по спасению Мартинеса и хотели предложить нашу поддержку.  Близнецы были чрезвычайно важны для проекта с самого начала, и данные, которые они предоставили, позволили многим нашим важнейшим достижениям.
blackhole_part2_stargate2 | Когда произошла авария, младший близнец Маркус собирал жизненно важные данные о черной дыре Qz247.  Данные, которые просто невозможно получить каким-либо другим способом.  Данные, которые нам нужны для завершения Звездных Врат.
blackhole_part2_stargate3 | Вся их деятельность финансируется нами. Поэтому я уверен, что вы поверите нам, когда мы говорим, что их безопасное спасение очень важно для нас - но столь же важно восстановление данных, которые остаются заблокированными на пострадавшем корабле Маркуса.
blackhole_part2_stargate4 | Мы не видим причин, по которым вы не можете спасти и Маркуса, и критически важные научные данные одновременно. Если вы сможете восстановить наши данные во время спасения, мы заплатим значительный бонус.
blackhole_part2_stargate5 | Подумайте об этом.  Мы будем на связи.
blackhole_part2_title | Солнце Черной Дыры, Часть 2
blackhole_part3_action_control | Управлять кораблем Джулиана
blackhole_part3_action_requestdata1 | Запросить данные
blackhole_part3_action_requestdata2 | Запросить больше данных
blackhole_part3_action_rescue | Спасти Маркуса
blackhole_part3_advert1 | Пришло время, Капитан. У меня все готово.  С вашей помощью я наконец-то смогу спасти своего брата.
blackhole_part3_datarecovered | Проект Звездные Врата
blackhole_part3_datarecovered_percent | *X% Данных Восстановлено
blackhole_part3_finalscene1 | Маркус, слава Богу.
blackhole_part3_finalscene2 | Почему вы так долго? Я был там часами!
blackhole_part3_finalscene3 | Подождите, сколько времени прошло?
blackhole_part3_finalscene4 | Ты был так близко к горизонту событий. Временное искажение было огромным.  Я работал над твоим спасением очень долго, Маркус.
blackhole_part3_finalscene5 | Как долго?
blackhole_part3_finalscene6 | Ты был там 10 лет.
blackhole_part3_finalscene7 | ...!
blackhole_part3_marcus1 | Я уже начал думать, что вы не придете!  Я здесь уже несколько часов!
blackhole_part3_marcus2 | Пристыкуйте ваш корабль к моему, Капитан, и скажите мне, когда будете готовы принять меня на борт.  Пожалуйста, поторопитесь!
blackhole_part3_marcusdata1 | Данные Звездных Врат?  Я могу отправить их, Капитан, но вам придется дать мне несколько минут, чтобы получить доступ к данным и настроить передачу.
blackhole_part3_marcusdata2 | Черт возьми, Капитан, у меня нет на это времени!  Я не знаю, сколько еще корабль продержится в таком состоянии.  Я сделаю все возможное, но вам лучше быть готовым.
blackhole_part3_marcusrescue1 | Я на борту, Капитан.  Вытащите нас отсюда!
blackhole_part3_marcuswarning1 | Мой корабль разваливается от гравитационных сил, Капитан.  Я отправил данные, которые смог.  Пожалуйста, поторопитесь и заберите меня с этого корабля!
blackhole_part3_marcuswarning2 | Защитная оболочка реактора разрушилась, Капитан.  Салон затапливает радиацией.  Вы должны забрать меня отсюда!
blackhole_part3_objective_control | Возьмите Управление кораблем Джулиана
blackhole_part3_objective_dock | Пристыкуйтесь к кораблю
blackhole_part3_objective_jumpin | Прыгните к пострадавшему кораблю
blackhole_part3_objective_jumpout | Прыгните прочь от черной дыры
blackhole_part3_objective_rescue | Спасите Доктора Маркуса Мартинеса
blackhole_part3_objective_stargate | Восстановите данные Звездных Врат
blackhole_part3_objective_stargateX | Восстановите данные Звездных Врат [*X%]
blackhole_part3_outcomea1 | Я просто рад, что ты в безопасности.
blackhole_part3_outcomea2 | Большое спасибо, Капитан. Я не смог бы справиться без вашей помощи. Я так благодарен, что вы ответили на мой звонок и были здесь для нас, когда мы нуждались в вас.
blackhole_part3_outcomea3 | Вот ваша оплата и небольшой бонус.
blackhole_part3_outcomeb1 | Это было очень близко.  Не могу поверить, на какой риск Капитан заставил тебя пойти ради этих данных.  Ты мог легко погибнуть.
blackhole_part3_outcomeb2 | Капитан, я потратил почти десятилетие на планирование этого спасения.  Я не ценю то, что вы рискнули всем в решающий момент.  Я не думал, что вы пойдете на такой риск с его жизнью.
blackhole_part3_outcomeb3 | Спасибо за ваши усилия. Контракт закрыт.
blackhole_part3_outcomec1 | Боже, Маркус! Немедленно вызовите медицинскую команду!
blackhole_part3_outcomec2 | Что вы сделали, Капитан? Почему вам потребовалось так много времени, чтобы взять его на борт? Ради чего, ради каких-то данных?
blackhole_part3_outcomec3 | Его дозиметр черный.  Он получил массивное облучение.  Как вы могли так с нами поступить?  Я доверил вам это!
blackhole_part3_setup1 | Все готово, Капитан.  Я произвел Гиперпространственные Модуляторы, и Гипертопливо уже загружено.
blackhole_part3_setup2 | Вы будете выполнять спасение, используя мой корабль, используя мой модифицированный Гипердвигатель, который уже установлен на борту. Вы можете взять управление моим кораблем, когда будете готовы начать спасение.
blackhole_part3_setup3 | Это готовилось очень долго, Капитан.  Я работал над этим спасением годами.  Эффекты замедления времени от Черной Дыры означают, что для моего брата прошло всего несколько часов.  Для него будет сюрпризом, сколько времени прошло, когда вы его вытащите.
blackhole_part3_setup4 | Давайте в последний раз пройдемся по плану.  Вы совершите невероятно короткий Гиперпространственный Прыжок и появитесь прямо над кораблем моего брата.  Пристыкуйтесь к его кораблю, спасите его и убирайтесь оттуда.  Прыжок туда, Спасение, Прыжок обратно.
blackhole_part3_setup5 | Как только вы возьмете управление моим кораблем, вы обнаружите местоположение корабля Маркуса, запрограммированное в вашей Карте Сектора.  Вы будете прыгать прямо к черной дыре.  Приготовьтесь к турбулентности.
blackhole_part3_setup6 | У вас будет мало времени.  Как можно быстрее и прыгайте оттуда, когда закончите.
blackhole_part3_setup7 | Удачи, Капитан. Увидимся на той стороне.
blackhole_part3_stargate1 | Приветствую, Капитан.  Удачи со спасением.  Помните, что данные на борту корабля Маркуса чрезвычайно ценны для нас.  Вам понадобится, чтобы Маркус передал данные со своей консоли, прежде чем вы сможете завершить спасение.
blackhole_part3_stargate2 | Потеря этих данных отбросит проект Звездные Врата на годы назад.
blackhole_part3_stargateoutcomea1 | Мы действительно разочарованы вашим выбором, Капитан.  Вы подвели нас и подвели весь Проект Звездные Врата своим невероятно узким мышлением.
blackhole_part3_stargateoutcomea2 | Данные, которые вы получили, настолько неполны, что практически бесполезны.  От нас не будет никакого дополнительного бонуса.
blackhole_part3_stargateoutcomeb1 | Молодец, что восстановили часть данных, Капитан.  Мы бы предпочли все данные, но мы понимаем, что спасение проходило в экстремальных условиях.
blackhole_part3_stargateoutcomeb2 | Наша оплата была масштабирована в соответствии с объемом полученных данных.
blackhole_part3_stargateoutcomec1 | Поздравляем, Капитан, с успешным восстановлением научных данных с пострадавшего корабля.  Эти данные представляют собой огромный шаг вперед в нашем понимании физики высоких энергий и значительно ускорят Программу Звездные Врата.
blackhole_part3_stargateoutcomec2 | Нам жаль слышать о состоянии Доктора Маркуса Мартинеса.  Честно говоря, то, что вообще было возможно какое-либо спасение при таких обстоятельствах, - это чудо.
blackhole_part3_stargateoutcomec3 | Пожалуйста, примите нашу оплату как знак нашей благодарности. Мы с нетерпением ждем продолжения работы с вами.
blackhole_part3_title | Солнце Черной Дыры, Часть 3
blackhole_shipname_julian | Julian Martinez
blackhole_shipname_marcus | Marcus Martinez
blackhole_summary | Помогите Доктору Мартинесу спасти его брата.
boost_airrecyclingefficiency | Эффективность Переработки Воздуха +*X%
boost_DroneSpeed | Максимальная Скорость Дронов +*X%
boost_harvestingyield | Урожайность +*X%
boost_reactorefficiency | Эффективность Реактора +*X%
boost_recyclingefficiency | Эффективность Переработки *X%
boost_RobotArmSpeed | Скорость Руки Робота +*X%
boost_SmelterEfficiency | Эффективность Плавильной Печи +*X%
boost_TrackSpeed | Скорость Конвейера +*X%
boost_wasterecyclingefficiency | Эффективность Переработки Отходов +*X%
boost_waterrecyclingefficiency | Эффективность Переработки Воды +*X%
bravenewsector_part1_dophase6 | Завершите Фазу 6 Проекта Звездные Врата
bravenewsector_part1_findneubidium | Возьмите образец новых минералов
bravenewsector_part1_findzeleon | Исследуйте суровую погоду
bravenewsector_part1_representative1 | Приветствую, Капитан. То, что вы нашли, может оказаться очень полезным для проекта Звездные Врата.
bravenewsector_part1_representative2 | Поскольку вы использовали наши Звездные Врата, чтобы достичь нового сектора, мы считаем справедливым, чтобы вы помогли нам с исследованием применения новых ресурсов.
bravenewsector_part1_representative3 | Ваше сотрудничество было первостепенным для успеха проекта до сих пор, и оно должно продолжаться до завершения проекта.
bravenewsector_part1_representative4 | Спасибо, Капитан. Мы свяжемся с вами, когда вы завершите свои исследования.
bravenewsector_part1_representative5 | Снова здравствуйте, Капитан.
bravenewsector_part1_representative6 | Результаты ваших исследований очень многообещающие, и мы хотели бы, чтобы вы отправили нам несколько обработанных образцов новых ресурсов.
bravenewsector_part1_representative7 | Мы ожидаем поставку Нейбидиумных слитков и стабилизированного Газа Зелеона.
bravenewsector_part1_representative8 | Спасибо за ваше сотрудничество, Капитан.
bravenewsector_part1_researchneubidium | Исследуйте Обработку Нейбидиума
bravenewsector_part1_researchzeleon | Исследуйте Газ Зелеона
bravenewsector_part1_title | Дивный Новый Сектор, Часть 1
bravenewsector_part1_x1 | Капитан? Вы на месте?
bravenewsector_part1_x2 | Не могу в это поверить, Звездные Врата сработали! Это мой величайший проект, мое величайшее достижение, возможно, и последнее тоже. Может быть, у меня когда-нибудь будет шанс самому увидеть новый сектор.
bravenewsector_part1_x3 | Однако я полагаю, что это только начало, Проект Андромеда ясно дал понять, что хочет достичь новой галактики, а не просто нового сектора. Я уверен, что они скоро свяжутся насчет следующих шагов Звездных Врат.
bravenewsector_part1_x4 | Спасибо, Капитан, за всю вашу тяжелую работу. До свидания.
bravenewsector_part2_harken_1 | Капитан, наше сканирование сектора обнаружило новые системы. Они содержат верфи, которые в настоящее время управляются пиратами.
bravenewsector_part2_harken_10 | Это все от меня, Капитан, удачи.
bravenewsector_part2_harken_2 | Их износ корпуса позволяет нам полагать, что они находятся здесь как минимум столетие. Этот сектор, должно быть, был одной из первых попыток человечества колонизировать космос.
bravenewsector_part2_harken_3 | В этом секторе есть признаки массовой галактической войны, сигналы заброшенных кораблей появляются по всей нашей карте сектора.
bravenewsector_part2_harken_4 | Последствия войны привели к тому, что пираты получили контроль над сектором для себя. С тех пор они живут здесь, в спящем режиме, выживая за счет ресурсов, добываемых в местных поясах астероидов и туманностях.
bravenewsector_part2_harken_6 | Уничтожение крепостей позволит нам создать дружественные верфи и вернуть контроль над сектором у пиратов.
bravenewsector_part2_harken_7 | Будьте готовы встретить серьезное сопротивление, если решите посетить их. Я добавил их позиции на вашу карту сектора.
bravenewsector_part2_harken_8 | Челнок уже в пути к L*X с исследовательским оборудованием на борту. Он позволит вам сканировать область вокруг вашего корабля.
bravenewsector_part2_harken_9 | Забытые поля сражений сектора могут содержать новые исследовательские возможности, я бы рекомендовал вам исследовать любые заброшенные корабли, которые вы обнаружите.
bravenewsector_part2_receivecompute | Получите Суперкомпьютер
bravenewsector_part2_receivesensors | Получите Гиперпространственные Сенсоры LR [*X/*Y]
bravenewsector_part2_summary | Раскройте историю нового сектора.
bravenewsector_part2_surveywarning | Челнок уже в пути к L*X с исследовательским оборудованием на борту. Оборудование можно использовать только в новом секторе, поэтому вам нужно будет отправить корабль через Звездные Врата, чтобы начать исследование.
bravenewsector_part2_title | Дивный Новый Сектор, Часть 2
bravenewsector_part2_x1 | Снова здравствуйте, Капитан, Проект Андромеда очень впечатлен образцами, которые вы им отправили. Они хотят, чтобы ваша работа над Звездными Вратами продолжалась.
bravenewsector_part2_x3 | Я должен предупредить вас, ходят слухи, что их план - полностью взять Звездные Врата под свой контроль. Они будут взимать с любого, кто захочет их использовать, целое состояние, предотвращая любую конкуренцию и собирая все ресурсы в новой галактике для себя. Они станут более могущественными, чем любая сущность, которую мы видели раньше.
bravenewsector_part2_x4 | Пожалуйста, не позволяйте этому случиться, Капитан. Так много в моей жизни и так много моих проектов было сделано исключительно ради прибыли, я не могу позволить этому стать одним из них. Звездные Врата слишком важны и ценны для нашего вида, чтобы быть под их контролем.
bravenewsector_part2_x5 | Я установил бэкдор, который заставит Звездные Врата самоуничтожиться, если вы прикажете. Вы должны активировать его, если слухи окажутся правдой.
bravenewsector_part2_x6 | К сожалению, мне сообщили плохие новости, и меня не будет намного дольше. Я хотел бы передать вам полное владение фабрикой в знак благодарности за помощь в завершении этого последнего проекта.
bravenewsector_part2_x7 | Похоже, мы завершили его как раз вовремя.
bravenewsector_part2_x8 | Это наш последний звонок, Капитан. Желаю вам удачи. Еще раз спасибо, и до свидания.
bravenewsector_part3_artemis_1a | Капитан? Это вы? Что вы здесь делаете? Так приятно вас видеть!
bravenewsector_part3_artemis_1b | Приветствую, Капитан, Проект Андромеда нанял меня для работы над синтезом кристаллов, производимых существом, которое я обнаружил. Я назвал их тиддлеты.
bravenewsector_part3_artemis_2a | Проект Андромеда нанял меня для работы над синтезом кристаллов тиддлетов, которые мы обнаружили во время наших исследований, и я вижу, что они отправили вас, чтобы предоставить мне зелеон.
bravenewsector_part3_artemis_2b | После смерти в ядре тиддлета формируется кристалл. Моя задача - найти способ производить эти кристаллы, не выращивая при этом тиддлетов.
bravenewsector_part3_artemis_3a | Вижу, вы хорошо заботитесь о тех тиддлетах! Многое изменилось с момента взрыва фермы тиддлетов. Теперь они охраняемый вид, и причинять им вред строго запрещено.
bravenewsector_part3_artemis_3b | Нейбидиум и зелеон, которые вы обнаружили, могут быть ключом к моим исследованиям.
bravenewsector_part3_artemis_4a | Многое изменилось с момента взрыва фермы тиддлетов. Теперь они охраняемый вид, и причинять им вред строго запрещено.
bravenewsector_part3_artemis_5a | Один момент, Капитан, я отправил челнок, чтобы получить ресурсы от вас.
bravenewsector_part3_artemis_5b | К сожалению, похоже, у вас нет ресурсов, которые мне нужны для моего эксперимента, когда у вас будет необходимое количество, вернитесь, и я заберу их у вас.
bravenewsector_part3_artemis_6 | Отлично! Это должны быть все ресурсы, которые мне нужны. Я проведу эксперименты и свяжусь с вами, когда закончу.
bravenewsector_part3_artemis_7 | Скоро поговорим, Капитан!
bravenewsector_part3_artemis_results_1 | Здравствуйте, Капитан! У меня невероятные результаты. Используя мощный зелеоновый лазер, мы можем заряжать синтетические кристаллы из Нейбидиума, чтобы достичь свойств, подобных кристаллам тиддлетов.
bravenewsector_part3_artemis_results_3 | Это фантастический прорыв, но я должен предупредить вас, что лазер невероятно радиоактивен и очень быстро убьет ваш экипаж, если вы не будете правильно сдерживать его излучение.
bravenewsector_part3_artemis_results_4 | Вернитесь в мою систему, и я отправлю вам один из моих лазеров вместе с блокаторами радиации, чтобы обезопасить ваш экипаж.
bravenewsector_part3_artemis_results_5 | Следующий шаг - исследовать, как все это применимо к Звездным Вратам. Моя гипотеза состоит в том, что мы можем использовать свойства энергетической плотности кристалла, чтобы обеспечить прыжки намного дальше, чем следующий сектор.
