shipeditor_brush_box | BOX TOOL | КВАДРАТ
shipeditor_paint_erase | Background Paint | Задний План
shipeditor_paint_name | Paint Name | Название Краски
shipeditor_paint_paint | Foreground Paint | Передний План
shipeditor_paint_primary | Base Primary | Основная База
shipeditor_paint_secondary | Base Secondary | Вторичная База
shipeditor_paint_standard | Standard Paint | Стандартная Краска
shipeditor_palettelibrary_cancel | CANCEL | ОТМЕНА
shipeditor_palettelibrary_confirm | CONFIRM | ПОДТВЕРДИТЬ
shipeditor_palettelibrary_createname | CREATE NEW PALETTE | СОЗДАТЬ НОВУЮ ПАЛИТРУ
shipeditor_palettelibrary_delete | DELETE | УДАЛИТЬ
shipeditor_palettelibrary_export | EXPORT | ЭКСПОРТ
shipeditor_palettelibrary_import | IMPORT | ИМПОРТ
shipeditor_palettelibrary_title_export | EXPORT PALETTES | ЭКСПОРТ ПАЛИТР
shipeditor_palettelibrary_title_import | IMPORT PALETTES | ИМПОРТ ПАЛИТР
shipeditor_palettelibrary_upload | UPLOAD | ЗАГРУЗИТЬ
shipeditor_price_button | Cost | Стоимость
shipeditor_shipyardrequired1 | You must visit a Shipyard | Вы должны посетить Верфь
shipeditor_shipyardrequired2 | to apply your modifications | чтобы применить ваши изменения
shipeditor_stat_Capacity | Cabins | Каюты
shipeditor_stat_Damage | Damage | Урон
shipeditor_stat_Mass | Mass | Масса
shipeditor_stat_Toughness | Toughness | Прочность
shipeditor_stat_Value | Value | Стоимость
shipeditor_stencil | DECALS | НАКЛЕЙКИ
shipeditor_stencils_paint | Paints | Краски
shipeditor_stencils_selectedpaint | Selected Paint | Выбранная Краска
shipeditor_stencils_stencil | Decals | Наклейки
shipeditor_symmetry | SYMMETRY | СИММЕТРИЯ
shipeditor_symmetry_leftclickdrag | [LMB] Drag | [ЛКМ] Перетащить
shipeditor_symmetry_rightclicktoggle | [RMB] Toggle | [ПКМ] Переключить
shipeditor_symmetry_short | S | С
shipeditor_tooltip_armour | Upgrade your hull with armour panels to absorb damage | Улучшите свой корпус броневыми панелями для поглощения урона
shipeditor_tooltip_createship | Create an entirely new ship from scratch | Создайте совершенно новый корабль с нуля
shipeditor_tooltip_deconstruct | Deconstruct your ship square by square | Разберите свой корабль клетка за клеткой
shipeditor_tooltip_dock | Install a docking port. Every ship needs at least one functioning docking port. | Установите стыковочный порт. Каждому кораблю нужен хотя бы один работающий стыковочный порт.
shipeditor_tooltip_equipment | Queue the installation of equipment inside your ship. | Поставьте в очередь установку оборудования внутри вашего корабля.
shipeditor_tooltip_eyedropper | Lets you select a paint from the exterior of your ship (can also be used by pressing the "{AltTool}" key) | Позволяет выбрать краску с внешней стороны вашего корабля (также можно использовать, нажав клавишу "{AltTool}")
shipeditor_tooltip_habitation | Expand your habitation deck to support more crew and passengers | Расширьте свой жилой отсек для поддержки большего количества экипажа и пассажиров
shipeditor_tooltip_hull | Modify the shape of your spaceship hull | Измените форму корпуса вашего звездолета
shipeditor_tooltip_interior | Open up the interior of your spaceship to create cabins | Откройте внутреннее пространство вашего звездолета для создания кают
shipeditor_tooltip_paintfloor | Toggle painting the floor tiles of your ship | Переключить окраску напольных плиток вашего корабля
shipeditor_tooltip_painthabitation | Toggle painting the exterior panels of the habitation quarters of your ship | Переключить окраску внешних панелей жилых помещений вашего корабля
shipeditor_tooltip_painthull | Toggle painting the exterior panels of the hull of your ship | Переключить окраску внешних панелей корпуса вашего корабля
shipeditor_tooltip_paintscaffold | Toggle painting the scaffolding on your ship | Переключить окраску каркасов на вашем корабле
shipeditor_tooltip_paintstencils | Change the colour of decals applied to the walls of your ship | Измените цвет наклеек, нанесенных на стены вашего корабля
shipeditor_tooltip_paintwalls | Toggle painting the base colour of the walls of your ship | Переключить окраску базового цвета стен вашего корабля
shipeditor_tooltip_scaffold | Add scaffolding to support equipment on the exterior of your ship | Добавьте каркасы для поддержки оборудования на внешней стороне вашего корабля
shipeditor_tooltip_spawn | Spawn equipment and resources inside your ship. (Creative Mode only) | Создайте оборудование и ресурсы внутри вашего корабля. (Только в Творческом Режиме)
shipeditor_tooltip_stencils | Apply or remove decals on the walls of your ship | Примените или удалите наклейки на стенах вашего корабля
shipeditor_tooltip_walls | Build walls inside your spaceship to partition the interior space | Постройте стены внутри вашего звездолета, чтобы разделить внутреннее пространство
