mission_accept | Accept | Принять
mission_flightready_power | A Reactor, generating power. | Реактор, вырабатывающий энергию.
mission_flightready_power_help | A reactor to generate power. Use a Fuel Loader to pipe fuel into the Reactor. | Реактор для выработки энергии. Используйте Погрузчик Топлива для подачи топлива в Реактор.
mission_flightready_title | Make your new ship ready for flight | Подготовить ваш новый корабль к полету
mission_fortress_accept | We have marked the location of the fortress on your map. Good luck, Captain. | Мы отметили местоположение крепости на вашей карте. Удачи, Капитан.
mission_fortress_description1 | Hostiles have set up a fortress within the sector. It appears to be where they are fabricating their ships. | Враги установили крепость в секторе. Похоже, это место, где они производят свои корабли.
mission_fortress_description2 | The fortress is giving them significant power across the sector and must be dealt with. | Крепость дает им значительную силу по всему сектору и должна быть уничтожена.
mission_fortress_description3 | Travel to the fortress, destroy it, and eliminate any remaining hostiles | Отправляйтесь к крепости, уничтожьте её и устраните всех оставшихся врагов
mission_fortress_destroyfortress | Destroy the fortress | Уничтожить крепость
mission_fortress_destroyhostiles | Eliminate any remaining hostiles | Устранить всех оставшихся врагов
mission_fortress_objective | Travel to the fortress | Отправиться к крепости
mission_fortress_success | The fortress assault was successful. | Штурм крепости был успешным.
mission_fortress_title | Destroy a hostile fortress | Уничтожить вражескую крепость
mission_illegal | ILLEGAL ACTIVITY | НЕЗАКОННАЯ ДЕЯТЕЛЬНОСТЬ
mission_industry_accepted1 | We've marked the asteroid belt location on your map. | Мы отметили местоположение пояса астероидов на вашей карте.
mission_industry_description | There is huge demand for FTL fuel cells, to power the evacuation ships. | Существует огромный спрос на элементы Гипертоплива для питания эвакуационных кораблей.
mission_industry_description2 | We can manufacture FTL Fuel, but we need Tilium ore that can only be found in certain asteroid belts. | Мы можем производить Гипертопливо, но нам нужна Тилиевая Руда, которую можно найти только в определенных поясах астероидов.
mission_industry_description3 | Luckily there is just such an asteroid belt nearby, within this sector, in system S*X. | К счастью, такой пояс астероидов находится поблизости, в этом секторе, в системе S*X.
mission_industry_description3b | The nearest asteroid belt is in the next sector. | Ближайший пояс астероидов находится в следующем секторе.
mission_industry_description4 | Then drop the Ore off at any trading post to collect payment. | Затем сдайте Руду на любом торговом посту для получения оплаты.
mission_industry_gathered | You have *X Tilium ore on this ship (We need *Y) | У вас есть *X Тилиевой Руды на этом корабле (Нам нужно *Y)
mission_industry_hostiles | WARNING: There are hostile forces camped out near the asteroid belt. (+50% pay) | ПРЕДУПРЕЖДЕНИЕ: Вражеские силы расположились лагерем рядом с поясом астероидов. (+50% оплата)
mission_industry_location | Travel to the asteroid belt | Отправиться к поясу астероидов
mission_industry_lost | There is no more Tilium on board your ship. | На борту вашего корабля больше нет Тилиевой Руды.
mission_industry_meteorshower | WARNING: There are reports of a meteor shower in that system. (+50% pay). | ПРЕДУПРЕЖДЕНИЕ: Есть сообщения о метеоритном дожде в этой системе. (+50% оплата).
mission_industry_received | We have received *X Tilium out of a total of *Y. Total payment due $*Z. | Мы получили *X Тилиевой Руды из общего количества *Y. Общая причитающаяся оплата $*Z.
mission_industry_refined |  ==> The Tilium must first be refined in a Smelter prior to delivery. <== |  ==> Тилиевую Руду необходимо сначала переработать в Плавильной Печи перед доставкой. <==
mission_industry_refined_title | Extract and refine critical resources | Добыть и переработать критические ресурсы
mission_industry_refinedrequired | Then refine the mined ore in a Smelter. | Затем переработать добытую руду в Плавильной Печи.
mission_industry_requirements | This contract requires a suitable mining vessel, equipped with Mining Lasers and Logistics Drones. | Этот контракт требует подходящего шахтерского корабля, оснащенного Шахтерскими Лазерами и Логистическими Дронами.
mission_industry_return | Return to a colony or shipyard system to deliver the Tilium. | Вернуться в систему с колонией или верфью для доставки Тилиевой Руды.
mission_industry_shuttle | We've dispatched a shuttle to collect the Tilium Ore. | Мы отправили челнок для сбора Тилиевой Руды.
mission_industry_success | Extracted *X/*Y Ore | Добыто *X/*Y Руды
mission_industry_tiliumrequired | Travel to the asteroid belt and extract *X Tilium ore. | Отправиться к поясу астероидов и добыть *X Тилиевой Руды.
mission_industry_title | Mining contract: Extract critical minerals | Шахтерский контракт: Добыть критически важные минералы
mission_missioncompleted | CONTRACT COMPLETED | КОНТРАКТ ЗАВЕРШЕН
mission_new | NEW | НОВЫЙ
mission_onroute | ON ROUTE | В ПУТИ
mission_passengers_alldelivered | That's it, all passengers are on board your ship. Travel safe commander. | Вот и все, все пассажиры на борту вашего корабля. Счастливого пути, командир.
mission_passengers_collection | Collect all passengers | Собрать всех пассажиров
mission_passengers_delivery | *X out of *Y passengers are on board. | *X из *Y пассажиров на борту.
mission_passengers_description | There is a group of *X civilians who are looking for safe transit. | Есть группа из *X гражданских, которые ищут безопасный транзит.
mission_passengers_descriptionfurther | Their destination is *Y Sector Jumps away, in Sector *X. | Их место назначения находится в *Y Прыжках Между Секторами, в Секторе *X.
mission_passengers_destination | Their destination is in this Sector. Drop them off at Star System S*X. | Их место назначения находится в этом Секторе. Высадите их в Звездной Системе S*X.
mission_passengers_location | Transport the passengers to the destination | Перевезти пассажиров к месту назначения
mission_passengers_lost | *X passengers did not arrive at the destination safely. | *X пассажиров не прибыли в пункт назначения благополучно.
mission_passengers_received | *X passengers out of *Y have made it safely to their destination. Total payment due $*Z. | *X пассажиров из *Y благополучно прибыли к месту назначения. Общая причитающаяся оплата $*Z.
mission_passengers_requirements | Your ship will need enough free cabins in your habitation deck. | Вашему кораблю понадобится достаточно свободных кают на вашей жилой палубе.
mission_passengers_shuttle | They are on their way to you now and will dock shortly. | Они сейчас направляются к вам и скоро пристыкуются.
mission_passengers_success | Transported *X out of *Y passengers | Перевезено *X из *Y пассажиров
mission_passengers_title | Urgent passenger transport request | Срочный запрос на перевозку пассажиров
mission_passengers_titlefurther | Passengers require transport across sectors | Пассажирам требуется транспортировка между секторами
mission_passengers_turnin | Welcome! We've dispatched a shuttle to collect the passengers. | Добро пожаловать! Мы отправили челнок для сбора пассажиров.
mission_passengers_wrongdestination | Passengers have been dropped off at completely the wrong destination! You will not be paid for them. | Пассажиры были высажены совершенно не в том месте! Вам не заплатят за них.
mission_payment | Payment will be $*X. | Оплата составит $*X.
mission_paymentcash | PAYMENT *X | ОПЛАТА *X
mission_paymentinflation | (The client is offering *Xx more money than usual) | (Клиент предлагает в *X раз больше денег, чем обычно)
mission_paymentinflationpercent | (The client is offering *X% more money than usual) | (Клиент предлагает на *X% больше денег, чем обычно)
mission_paymenttitle | Payment | Оплата
mission_production_available | You have *X stacks of R*Y available for transfer within your fleet (We need *Z) | У вас есть *X стопок R*Y, доступных для передачи в вашем флоте (Нам нужно *Z)
mission_production_description1 | We have an urgent requirement for *X stacks of R*Y. | У нас есть срочная потребность в *X стопках R*Y.
mission_production_description2 | You can choose to manufacture the product from raw materials, or acquire it through some other means. | Вы можете выбрать производство продукта из сырья или приобрести его каким-то другим способом.
mission_production_marketprice | The market price for these items would be $*X. | Рыночная цена этих предметов составит $*X.
mission_production_markup | (We are offering *X% above market rate due to urgent requirement). | (Мы предлагаем на *X% выше рыночной цены из-за срочной потребности).
mission_production_nomore | There is no more R*X available within your fleet. | В вашем флоте больше нет доступных R*X.
mission_production_received | We have received *X stacks of R*Y out of a total of *Z. | Мы получили *X стопок R*Y из общего количества *Z.
mission_production_success | Provided *X/*Y items | Предоставлено *X/*Y предметов
mission_production_title | Production Contract: Manufacture resources | Производственный Контракт: Произвести ресурсы
mission_recovered | RECOVERED | ВОССТАНОВЛЕНО
mission_refugees_alldelivered | All of the refugees are on board. We wish you the best of luck, commander. | Все беженцы на борту. Желаем вам удачи, командир.
mission_refugees_description | We have *X civilians living here who have nowhere to go, and no way to escape the void before it arrives. | У нас здесь живут *X гражданских, которым некуда идти и нет возможности сбежать от пустоты, прежде чем она прибудет.
mission_refugees_description2 | Find a place for them in your fleet, look after them, and we will be forever grateful. | Найдите для них место в вашем флоте, позаботьтесь о них, и мы будем вечно благодарны.
mission_refugees_received | *X out of *Y passengers are on board. Total payment $*Z. | *X из *Y пассажиров на борту. Общая оплата $*Z.
mission_refugees_requirements | Your ship will need enough free cabins in your habitation deck. | Вашему кораблю понадобится достаточно свободных кают на вашей жилой палубе.
mission_refugees_title | Take permanent refugees into your care | Взять постоянных беженцев под вашу опеку
mission_requirement_failed | [FAILED] | [ПРОВАЛЕНО]
mission_requirement_passed | [PASSED] | [ПРОЙДЕНО]
mission_requires_cabinspace | Contract requires at least *X free cabins | Контракт требует как минимум *X свободных кают
mission_requires_combatrating | You require a Combat Rating of at least *X | Вам требуется Боевой Рейтинг как минимум *X
mission_requires_combatvessel | Contract requires armed combat vessel | Контракт требует вооруженный боевой корабль
mission_requires_equipment | Contract requires Equipment : *X | Контракт требует Оборудование : *X
mission_requires_humanitarianrating | You require a Humanitarian Rating of at least *X | Вам требуется Гуманитарный Рейтинг как минимум *X
mission_requires_industryrating | You require an Industry Rating of at least *X | Вам требуется Промышленный Рейтинг как минимум *X
mission_requires_logisticsrating | You require a Logistics Rating of at least *X | Вам требуется Логистический Рейтинг как минимум *X
mission_requires_notindemo | Unavailable to demo players | Недоступно для демо-игроков
mission_requires_stock | Contract requires *X | Контракт требует *X
mission_requires_stock_count | Contract requires *Y *X | Контракт требует *Y *X
mission_rescue_accepted | We've marked the location of the wrecked ship on your map. Please hurry! | Мы отметили местоположение разбитого корабля на вашей карте. Пожалуйста, поторопитесь!
mission_rescue_allrescued | All crew have been rescued from the ship! Drop them off at the nearest starbase or colony. | Весь экипаж спасен с корабля! Высадите их на ближайшей звездной базе или колонии.
mission_rescue_description1 | A ship has become stranded with engine troubles, and the crew need an immediate rescue. | Корабль застрял с проблемами двигателя, и экипажу требуется немедленное спасение.
mission_rescue_description2 | The damaged ship is nearby in system S*X. Hurry! | Поврежденный корабль находится поблизости в системе S*X. Поторопитесь!
mission_rescue_description2b | The ship is in the next sector. | Корабль находится в следующем секторе.
mission_rescue_description3 | There are *X crew on board, and they must be dropped off safely somewhere nearby. | На борту *X членов экипажа, и они должны быть благополучно высажены где-то поблизости.
mission_rescue_destroyed | The ship engine core exploded. | Ядро двигателя корабля взорвалось.
mission_rescue_hostiles | There are hostile forces in the area. (+50% pay) | В этой области есть вражеские силы. (+50% оплата)
mission_rescue_location | Travel to the stranded ship | Отправиться к застрявшему кораблю
mission_rescue_lost | *X crew did not arrive safely. | *X членов экипажа не прибыли благополучно.
mission_rescue_meteors | There are reports of a meteor shower in the area. (+25% pay). | Есть сообщения о метеоритном дожде в этой области. (+25% оплата).
mission_rescue_received | *X crew out of *Y have made it to safety. Total payment due $*Z. | *X членов экипажа из *Y благополучно добрались. Общая причитающаяся оплата $*Z.
mission_rescue_requirements | You will require at least four manoeuvring thrusters to successfully dock with the damaged ship. | Вам потребуется как минимум четыре маневровых двигателя для успешной стыковки с поврежденным кораблем.
mission_rescue_rescued | *X crew out of *Y have been rescued and are on board. | *X членов экипажа из *Y были спасены и находятся на борту.
mission_rescue_spin | The ship is spinning out of control. It will be very challenging to dock. (+25% pay) | Корабль бесконтрольно вращается. Будет очень сложно пристыковаться. (+25% оплата)
mission_rescue_thrust | The ship is moving - you will need some skill to dock safely. (+25% pay) | Корабль движется - вам понадобится некоторое мастерство для безопасной стыковки. (+25% оплата)
mission_rescue_timed | The ship engines will explode very soon. (+25% pay). | Двигатели корабля скоро взорвутся. (+25% оплата).
mission_rescue_timer | The ship engine core will explode in just *X seconds!! | Ядро двигателя корабля взорвется всего через *X секунд!!
mission_rescue_title | Rescue civilians from wrecked ship | Спасти гражданских с разбитого корабля
mission_reward | PAYMENT | ОПЛАТА
mission_sectordestory_success | HOSTILES ELIMINATED | ВРАГИ УСТРАНЕНЫ
mission_sectordestroy_desc1 | Hostile forces have taken up residence within this sector. They are hindering our evacuation efforts and stealing vital resources. | Вражеские силы обосновались в этом секторе. Они мешают нашей эвакуации и крадут жизненно важные ресурсы.
mission_sectordestroy_desc2 | We want you to pay a visit to each location marked HOSTILES on the map. | Мы хотим, чтобы вы посетили каждую локацию, отмеченную ВРАГИ на карте.
mission_sectordestroy_desc3 | Terminate any enemy vessels you find at those locations. | Уничтожьте все вражеские корабли, которые найдете в этих локациях.
mission_sectordestroy_map | Destroy hostiles [*X/*Y] | Уничтожить врагов [*X/*Y]
mission_sectordestroy_payment | A payment of $*X will be made after each location is cleared, for a total of $*Y. | Оплата в размере $*X будет произведена после очистки каждой локации, на общую сумму $*Y.
mission_sectordestroy_progress | Cleared *X out of *Y systems | Очищено *X из *Y систем
mission_sectordestroy_system | You have destroyed the enemy forces in system S*X. Payment of $*Y is coming your way. | Вы уничтожили вражеские силы в системе S*X. Оплата в размере $*Y идет к вам.
mission_sectordestroy_title | SECTOR OBJECTIVE: Destroy all hostile forces | ЗАДАЧА СЕКТОРА: Уничтожить все вражеские силы
mission_sectorevacuate_arrived | *X passengers out of *Y have made it safely to their destination. Total payment $*Z. | *X пассажиров из *Y благополучно прибыли к месту назначения. Общая оплата $*Z.
mission_sectorevacuate_description | There are *X civilians stranded in the sector, with no means to escape the coming catastrophe. | В секторе застряли *X гражданских, у которых нет возможности сбежать от грядущей катастрофы.
mission_sectorevacuate_description2 | Travel to their star systems and pick them up, and house them temporarily in your fleet. | Отправляйтесь в их звездные системы и заберите их, временно разместите их в вашем флоте.
mission_sectorevacuate_description3 | Transport them safely to the next sector and drop them off at the first starbase to complete the objective. | Перевезите их безопасно в следующий сектор и высадите на первой звездной базе, чтобы выполнить задачу.
mission_sectorevacuate_died | *X civilians have been killed during the evacuation. | *X гражданских были убиты во время эвакуации.
mission_sectorevacuate_finished | Thank you for your efforts commander. | Спасибо за ваши усилия, командир.
mission_sectorevacuate_lost | *X passengers did not arrive at the destination safely. | *X пассажиров не прибыли в пункт назначения благополучно.
mission_sectorevacuate_map | Evacuate civilians [*X/*Y] | Эвакуировать гражданских [*X/*Y]
mission_sectorevacuate_payment | The total payment for rescuing all *X civilians will be $*Y | Общая оплата за спасение всех *X гражданских составит $*Y
mission_sectorevacuate_received | *X out of *Y civilians have been collected. | Собрано *X из *Y гражданских.
mission_sectorevacuate_requirements | Your ship will need enough free cabins in your habitation deck. | Вашему кораблю понадобится достаточно свободных кают на вашей жилой палубе.
mission_sectorevacuate_requirements2 | (You can expand your hab deck at a Shipyard using the Ship Editor) | (Вы можете расширить вашу жилую палубу на Верфи с помощью Редактора Кораблей)
mission_sectorevacuate_title | SECTOR OBJECTIVE: Evacuate stranded civilians | ЗАДАЧА СЕКТОРА: Эвакуировать застрявших гражданских
mission_sectorjumpgate_damage | The Jumpgate is damaged, and must be repaired and re-aligned. | Прыжковые Врата повреждены и должны быть отремонтированы и перенастроены.
mission_sectorjumpgate_description1 | The Jumpgate at the end of this sector has some requirements before it can be used. | У Прыжковых Врат в конце этого сектора есть некоторые требования, прежде чем их можно будет использовать.
mission_sectorjumpgate_hostiles | Eradicate hostile blockade | Уничтожить вражескую блокаду
mission_sectorjumpgate_hostiles2 | A fleet of hostile ships is attempting to blockade the jumpgate and extort money from ships passing through. | Флот вражеских кораблей пытается блокировать Прыжковые Врата и вымогать деньги у проходящих кораблей.
mission_sectorjumpgate_hostiles3 | You'll need to clear them out before we can safely activate the jumpgate. | Вам нужно очистить их, прежде чем мы сможем безопасно активировать Прыжковые Врата.
mission_sectorjumpgate_map | Activate the Jumpgate | Активировать Прыжковые Врата
mission_sectorjumpgate_materialprovided | Provided *X/*Y R*Z | Предоставлено *X/*Y R*Z
mission_sectorjumpgate_materials | We need some maintainence supplies before the jumpgate can be used. | Нам нужны материалы для обслуживания, прежде чем можно будет использовать Прыжковые Врата.
mission_sectorjumpgate_materialsrequired | We require *X R*Y | Нам требуется *X R*Y
mission_sectorjumpgate_paythetoll | Pay the transit fee (*X) | Оплатить плату за проход (*X)
mission_sectorjumpgate_provide | Provide Materials | Предоставить Материалы
mission_sectorjumpgate_ready | The Jumpgate is now ready for use. | Прыжковые Врата теперь готовы к использованию.
mission_sectorjumpgate_ready2 | Please maneuver all fleet ships into the jumpgate and align for transit. | Пожалуйста, маневрируйте всеми кораблями флота в Прыжковые Врата и выровняйтесь для прохода.
mission_sectorjumpgate_repair | Repair the jumpgate | Отремонтировать Прыжковые Врата
mission_sectorjumpgate_repaired | Thank you, the Jumpgate has been repaired and re-aligned. | Спасибо, Прыжковые Врата были отремонтированы и перенастроены.
mission_sectorjumpgate_title | SECTOR OBJECTIVE: Activate the Jumpgate | ЗАДАЧА СЕКТОРА: Активировать Прыжковые Врата
mission_sectorjumpgate_toll | There is a TRANSIT FEE to pay for use of the Jumpgate. This money covers the operating costs and energy consumption of such a massive facility. | Существует ПЛАТА ЗА ПРОХОД для использования Прыжковых Врат. Эти деньги покрывают эксплуатационные расходы и потребление энергии такого массивного сооружения.
mission_sectorjumpgate_tollpaid | Thank you, payment received for transit. | Спасибо, оплата за проход получена.
mission_sectorprotect_accepted | We've marked the location of the ship on your map. Please hurry! | Мы отметили местоположение корабля на вашей карте. Пожалуйста, поторопитесь!
mission_sectorprotect_action_payment | TAKE CASH REWARD | ВЗЯТЬ ДЕНЕЖНОЕ ВОЗНАГРАЖДЕНИЕ
mission_sectorprotect_action_ship | TAKE SHIP REWARD | ВЗЯТЬ КОРАБЛЬ В НАГРАДУ
mission_sectorprotect_allenemieskilled | All enemies destroyed. | Все враги уничтожены.
mission_sectorprotect_call | INCOMING DISTRESS CALL | ВХОДЯЩИЙ СИГНАЛ БЕДСТВИЯ
mission_sectorprotect_calltoarms | The vessel is under attack! Fight off the hostile ships before it's too late. | Корабль подвергается атаке! Отбейте вражеские корабли, пока не стало слишком поздно.
mission_sectorprotect_description1 | Investigate a distress call in system S*X. | Расследовать сигнал бедствия в системе S*X.
mission_sectorprotect_description2 | A commercial vessel is under attack from an unknown hostile enemy. They have already taken heavy damage. | Торговое судно подвергается атаке неизвестного вражеского противника. Они уже получили тяжелые повреждения.
mission_sectorprotect_friendlykilled | Unfortunately the ship has been destroyed. | К сожалению, корабль был уничтожен.
mission_sectorprotect_kills | *X of the *Y enemy ships have been destroyed. | *X из *Y вражеских кораблей были уничтожены.
mission_sectorprotect_map | Investigate Distress Call | Расследовать Сигнал Бедствия
mission_sectorprotect_map_initial | Investigate Distress Call | Расследовать Сигнал Бедствия
mission_sectorprotect_offer1 | Thank you, Captain! We would never have survived without your assistance. | Спасибо, Капитан! Мы бы никогда не выжили без вашей помощи.
mission_sectorprotect_offer2 | If you'd be interested, we'd be honoured to join forces with your fleet. | Если вам интересно, для нас будет честью объединить силы с вашим флотом.
mission_sectorprotect_offer3 | Choose your reward, Captain | Выберите вашу награду, Капитан
mission_sectorprotect_sos1 | To any vessel, we are under attack!  Please help, we won't last much longer! | Всем кораблям, мы под атакой!  Пожалуйста, помогите, мы долго не продержимся!
mission_sectorprotect_success | RESCUE COMPLETED | СПАСЕНИЕ ЗАВЕРШЕНО
mission_sectorprotect_title | SECTOR OBJECTIVE: Protect ship under attack | ЗАДАЧА СЕКТОРА: Защитить корабль, находящийся под атакой
mission_sectorrescue_accepted | We've marked the location of the wrecked ship on your map. Please hurry! | Мы отметили местоположение разбитого корабля на вашей карте. Пожалуйста, поторопитесь!
mission_sectorrescue_allrescued | All crew have been rescued from the ship! Drop them off at the nearest starbase or colony. | Весь экипаж спасен с корабля! Высадите их на ближайшей звездной базе или колонии.
mission_sectorrescue_awardcaption | *X People rescued. | *X Людей спасено.
mission_sectorrescue_description1 | Investigate a distress call in system S*X. | Расследовать сигнал бедствия в системе S*X.
mission_sectorrescue_hostiles | There are hostile forces in the area. (+50% pay) | В этой области есть вражеские силы. (+50% оплата)
mission_sectorrescue_lost | *X crew did not arrive safely. | *X членов экипажа не прибыли благополучно.
mission_sectorrescue_map | People rescued [*X/*Y] | Людей спасено [*X/*Y]
mission_sectorrescue_map_initial | Investigate Distress Call | Расследовать Сигнал Бедствия
mission_sectorrescue_meteors | There are reports of a meteor shower in the area. (+25% pay). | Есть сообщения о метеоритном дожде в этой области. (+25% оплата).
mission_sectorrescue_received | *X crew out of *Y have made it to safety. Payment owed $*Z. | *X членов экипажа из *Y благополучно добрались. Причитающаяся оплата $*Z.
mission_sectorrescue_requirements | You will require four manoeuvring thrusters to successfully dock with the damaged ship. | Вам потребуется четыре маневровых двигателя для успешной стыковки с поврежденным кораблем.
