tutorial_air_title | OXYGEN | КИСЛОРОД
tutorial_financeselectmission | We now need to turn in our completed passenger contract.\n\nOpen the CONTRACTS screen and select the passenger mission. | Теперь нам нужно сдать наш завершенный пассажирский контракт.\n\nОткройте экран КОНТРАКТЫ и выберите пассажирскую миссию.
tutorial_financeselectship | Contracts are assigned to the ship you currently have selected.\n\nOnly the PROCYON can travel between locations, so select the PROCYON. | Контракты назначаются на корабль, который вы выбрали.\n\nОдин только PROCYON может путешествовать между локациями, поэтому выберите PROCYON.
tutorial_financeselecttransport | Here we have a TRANSPORT PASSENGER contract, click it to see more details. | Здесь у нас контракт ТРАНСПОРТ ПАССАЖИРА, нажмите на него, чтобы узнать подробности.
tutorial_financesetdestination | This is a map of all the systems in this sector.\n\nOur ship and our space station are located in the middle, where the map is marked YOU-ARE-HERE.\n\nSet a course to the destination (labelled TRANSPORT PASSENGERS) by clicking on it. | Это карта всех систем в этом секторе.\n\nНаш корабль и наша космическая станция находятся в центре, где на карте обозначено YOU-ARE-HERE.\n\nЗадайте курс к месту назначения (обозначено TRANSPORT PASSENGERS), щелкнув на нем.
tutorial_financeturnin | Click the DELIVER button to drop off the passengers and receive payment | Нажмите на кнопку ДОСТАВИТЬ, чтобы высадить пассажиров и получить оплату
tutorial_financeturningin | A shuttle will be dispatched to collect the passengers. | За пассажирами будет отправлен Челнок.
tutorial_fleetcrew | We will need a crew. Hire five CREW MEMBERS from the TRADE screen. | Нам нужен экипаж. Наймите пять членов экипажа на экране ТОРГОВЛЯ.
tutorial_fleetcrew_shiftclick | NOTE: You can SHIFT CLICK to hire in multiples of 5. | ПРИМЕЧАНИЕ: Вы можете нажать SHIFT CLICK, чтобы нанять кратно 5.
tutorial_fleetcrewarrival | Your new crew will arrive by shuttle. | Ваш новый экипаж прибудет на Челноке.
tutorial_fleetresources | We also need resources for the ship to function.\n\nUse the TRADE screen to buy:\n- 5x FUEL\n- 5x OXYGEN\n- 5x FTL CHARGE\n- 2x FOOD\n- 2x WATER.\n\nCONFIRM the trade when you are done. | Нам также нужны ресурсы для работы корабля.\n\nИспользуйте экран Торговля, чтобы купить:\n- 5x Топливо\n- 5x Кислород\n- 5x Сверхсветовой заряд\n- 2x Еду\n- 2x Воду.\n\nПосле этого подтвердите сделку.
tutorial_fleetspacesuits | Those crew will also need SPACESUITS as there is no atmosphere onboard our ship yet.\n\nOrder five SPACESUITS for the new crew. | Этим членам экипажа также понадобятся Космические скафандры, так как на корабле пока нет атмосферы.\n\nЗакажите пять Космических скафандров для нового экипажа.
tutorial_fleettrade | The ship is fitted with engines and an FTL drive for Interstellar Travel! But it does need a crew.\n\nOpen the TRADE screen. | Корабль оснащен Двигателями и Сверхсветовым приводом для межзвездных путешествий! Но ему нужен экипаж.\n\nОткройте экран ТОРГОВЛЯ.
tutorial_fleettradeconfirm | CONFIRM the trade. | Подтвердите сделку.
tutorial_fleetwaitforpowerup | Your crew will now power up the ship and bring the engines and life support online. | Теперь ваш экипаж зарядит корабль и запустит Двигатели и систему жизнеобеспечения.
tutorial_flight_title | FLIGHT | ПОЛЕТ
tutorial_flightengines | We can directly control our engine THROTTLE from here.\n\nTry increasing your engine throttle with this control. | Здесь мы можем напрямую управлять Двигателем.\n\nПопробуйте увеличить дроссель с помощью этого регулятора.
tutorial_flightexittactical | Exit TACTICAL mode by clicking the button again, or pressing {ToggleTactical}. | Выйдите из режима TACTICAL, снова нажав на кнопку или нажав {ToggleTactical}.
tutorial_flightinformation | Your crew will continue to operate the ship and keep the engines running as you travel around. Try flying around the system until you have a handle on the controls.\n\nWhen you are ready, bring the ship to a stop by setting the THROTTLE to zero in TACTICAL mode. | Ваш экипаж будет продолжать управлять кораблем и поддерживать работу Двигателей, пока вы путешествуете. Попробуйте полетать по системе, пока не разберетесь с управлением.\n\nКогда вы будете готовы, остановите корабль, установив ДВИГАТЕЛЬ на ноль в режиме ТАКТИКА.
tutorial_flightsetcourse | We can send our ship to a specific location by RIGHT-CLICKING. Try setting a destination by right clicking in the tactical view. | Мы можем отправить наш корабль в определенное место, щелкнув ПРАВОЙ кнопкой мыши. Попробуйте задать пункт назначения, щелкнув правой кнопкой мыши в тактическом режиме.
tutorial_flighttactical | We should give our engines a small test flight.  To maneuver our ship, switch into TACTICAL mode by clicking the highlighted button, or pressing {ToggleTactical}. | Мы должны дать нашим Двигателям небольшой пробный полет. Для маневрирования корабля перейдите в ТАКТИЧЕСКИЙ режим, нажав на выделенную кнопку или нажав {ToggleTactical}.
tutorial_flightturning | We can also turn the ship by left clicking in TACTICAL mode, in the direction we wish to travel. | Мы также можем повернуть корабль, щелкнув левой кнопкой мыши в режиме ТАКТИКА, в том направлении, куда мы хотим двигаться.
tutorial_ftl_title | FASTER THAN LIGHT | БЫСТРЕЕ СВЕТА
tutorial_ftladdftldrive | Add one FTL drive to our order by clicking on the entry in the list. | Добавьте один Сверхсветовой привод к нашему заказу, нажав на запись в списке.
tutorial_ftladdftlfuel | FTL drives consume one fuel charge per jump. Add 5 FTL Charges to the order as well. | Сверхсветовые приводы расходуют один заряд Топлива на один прыжок. Добавьте к заказу также 5 Сверхсветовых зарядов.
tutorial_ftlconfirmorder | Confirm the order. | Подтвердите заказ.
tutorial_ftldelivery | A shuttle will deliver the items to us. | Челнок доставит нам предметы.
tutorial_ftlinstallftl | Install the FTL drive anywhere in your ship. | Установите Сверхсветовой привод в любом месте вашего корабля.
tutorial_ftlintro | We cannot deliver those passengers to their destination without Faster-Than-Light travel. Unfortunately this ship is not equipped with its own FTL drive.\n\nWe'll need to buy one and set it up. | Мы не сможем доставить этих пассажиров к месту назначения без использования ускорителей света. К сожалению, этот корабль не оснащен собственным Сверхсветовым приводом.\n\n Нам придется купить его и установить.
tutorial_ftlpowerftl | Connect the FTL drive to your power network. | Подключите Сверхсветовой привод к вашей энергосети.
tutorial_ftlselectpropulsion | The items we need are listed under PROPULSION. Select that category. | Нужные нам предметы перечислены в разделе PROPULSION. Выберите эту категорию.
tutorial_ftlstoragedone | The crew will move all the FTL Charges into this zone. | Экипаж переместит все Сверхсветовые заряды в эту зону.
tutorial_ftlstoragetoolbar | We can make things more efficient for our crew by telling them to store FTL Charges near the FTL drive.\n\nSelect STORAGE from the CONSTRUCTION toolbar, then select FTL Charges from the list. | Мы можем сделать работу экипажа более эффективной, приказав ему хранить Сверхсветовой заряд рядом со Сверхсветовым приводом.\n\nВыберите ХРАНИЛИЩЕ на панели инструментов КОНСТРУКЦИЯ, затем выберите Сверхсветовой заряд из списка.
tutorial_ftlstorageworld | Now drag out a storage zone near to the FTL drive. | Теперь перетащите зону хранения рядом со Сверхсветовым приводом.
tutorial_ftltradescreen | Open the trade screen to purchase an FTL drive. | Откройте торговый экран, чтобы купить Сверхсветовой привод.
tutorial_introduction_title | TUTORIAL | ТУТОРИАЛ
tutorial_introduction1 | Welcome to our new home. | Добро пожаловать в наш новый дом.
tutorial_introduction2 | This vessel is fresh out of the shipyard production line.\n\nIt's just an empty hull right now, without power or a breathable atmosphere. Our first job is to fix that.\n\nClick NEXT to continue. | Это судно только что сошло с Конвейера Верфи.\n\nСейчас это просто пустой корпус, без энергии и пригодной для дыхания атмосферы. Наша первая задача - исправить это.\n\nНажмите NEXT, чтобы продолжить.
tutorial_logistics_crew_title | CREW LOGISTICS | ЛОГИСТИКА ЭКИПАЖА
tutorial_logisticscrewclicktarget | Click in the CREW cell of the DESTINATION ship to request 5 crew to transfer. | Щелкните в ячейке ЭКИПАЖ на корабле назначения, чтобы запросить 5 членов экипажа.
tutorial_logisticscrewclicktarget_shiftclick | NOTE: You can SHIFT CLICK to request transfer in multiples of 5. | ПРИМЕЧАНИЕ: Вы можете нажать SHIFT CLICK, чтобы запросить перевод кратно 5.
tutorial_logisticscrewopen | Open the Fleet Logistics window. | Откройте окно логистики флота.
tutorial_logisticscrewselectfrom | Select the SOURCE ship that the crew will come FROM. | Выберите корабль ИСТОЧНИК, с которого прибудет экипаж.
tutorial_logisticscrewselectship | Select the UMC Astral Temptress. \n\n As you can see it has no crew. | Выберите UMC Astral Temptress. \n\n Как вы видите, у него нет экипажа.
tutorial_logisticscrewstart | We are now going to learn how to transfer crew from one ship to another.\n\nThe two ships must be docked so that the crew can walk from one ship to another. | Сейчас мы узнаем, как пересадить экипаж с одного корабля на другой.\n\nДва корабля должны быть состыкованы так, чтобы экипаж мог переходить с одного корабля на другой.
tutorial_logisticscrewsuccess | Well done. You have transferred some crew successfully! | Отлично. Вы успешно перевели несколько членов экипажа!
tutorial_logisticscrewswitchtonormalview | First, switch back to normal view by leaving tactical mode. | Сначала вернитесь в обычный вид, выйдя из тактического режима.
tutorial_logisticscrewwait | Excellent. Now we just need to wait for the crew to transfer. | Отлично. Осталось только дождаться, когда экипаж будет переведен.
tutorial_mining_title | MINING | МАЙНИНГ
tutorial_miningfleetorders | You also need to make sure that GATHER MATERIALS is enabled in FLEET ORDERS. | Вам также нужно убедиться, что в FLEET ORDERS включена опция GATHER MATERIALS.
tutorial_miningflytodeposit | This system seems to have asteroids containing Tilium Ore, fly close to one of them. | Похоже, в этой системе есть астероиды, содержащие Тилиевую руду, подлетите к одному из них.
tutorial_miningflytosystem | Look at the rocks on the map, these indicate ASTEROID BELTS. \n\nFly to a system in an asteroid belt, it will probably contain Tilium Ore. | Посмотри на камни на карте, они обозначают АСТЕРОИДНЫЕ ПОЯСА.\n\nЛети к системе в астероидном поясе, там наверняка найдется Тилиевая руда.
tutorial_mininggetinrange | Move your ship until the mineral patch is in the range of fire. | Перемещайте корабль так, чтобы минеральный участок оказался в зоне обстрела.
tutorial_mininginstalldronebay | Drones will collect mined resources.\n\nInstall a DRONE BAY so your drones can collect the Tilium Ore. | Дроны будут собирать добытые ресурсы.\n\nУстановите Отсек для дронов, чтобы ваши дроны могли собирать Тилиевую руду.
tutorial_mininginstalllaser | You will need a Mining Laser. These use a lot of power so consider installing extra reactors or batteries.\n\nInstall a MINING LASER and connect it to the power grid. | Для этого вам понадобится Шахтерский лазер. Они потребляют много энергии, поэтому установите дополнительные реакторы или Батареи.\n\nУстановите Шахтерский лазер и подключите его к электросети.
tutorial_mininginstallsmelter | You will need to smelt the raw Tilium Ore to crystals.\n\nInstall a SMELTER. | Вам нужно будет переплавить сырую Тилиевую руду в Тилиевые кристаллы.\n\nУстановите Плавильную печь.
tutorial_miningopenmap | Now open the sector map ({ToggleMap}). | Теперь откройте карту сектора ({ToggleMap}).
tutorial_miningopenweaponscontrol | Open the weapons control panel. | Откройте панель управления оружием.
tutorial_miningrange | You can see the range of mining lasers by hovering over them. Mining lasers will fire at mineral patches in their field of fire. | Наведя на них курсор, вы можете увидеть радиус действия шахтных лазеров. Горные лазеры будут стрелять по минеральным пятнам в их поле зрения.
tutorial_miningselectlaser | You can also target specific mineral patches.\n\nFirst, select which laser you would like to use.\n\nYou can SHIFT CLICK to select multiple lasers. | Вы также можете нацелиться на конкретные участки минералов.\n\nСначала выберите лазер, который вы хотите использовать.\n\nВы можете нажать SHIFT CLICK, чтобы выбрать несколько лазеров.
tutorial_miningselecttarget | Target a Tilium Ore patch by clicking on one while having a mining laser selected. | Нацельтесь на участок с Тилиевой рудой, щелкнув на нем при выбранном лазере.
