dsi_action_canceldeal | Cancel the deal with X | Отменить сделку с X
dsi_part1_debrief2 | The later phases of this project will no doubt be much more involved.  But we are perfectly positioned to capitalise on this opportunity.  And there is a lot of opportunity to be had. | Более поздние фазы этого проекта, несомненно, будут намного сложнее.  Но мы идеально позиционированы, чтобы воспользоваться этой возможностью.  И у нас много перспектив.
dsi_part1_debrief3 | There are individuals behind this mega-project with wealth and resources far beyond my comprehension.  But their ambitions far exceed the capabilities of the other ships and people in this sector.  They are going to need our help. | За этим мегапроектом стоят люди с богатством и ресурсами, значительно превосходящими мое понимание.  Их амбиции превосходят возможности других кораблей и людей в этом секторе.  Им понадобится наша помощь.
dsi_part1_debrief4 | We can take a short break, and I'll give you a call when I'm ready to start work on the next phase of the stargate project. You might want to stop some of your equipment in the meantime, we don't want to waste anything! | Мы можем сделать короткий перерыв, и я позвоню вам, когда буду готов начать работу над следующей фазой проекта Звездные Врата. Вы можете приостановить часть оборудования на это время, мы не хотим ничего тратить впустую!
dsi_part1_debrief5 | Goodbye for now! | До свидания!
dsi_part1_installsmelter1 | We need to tidy up the mess, but nothing needs to be wasted.  We can recycle all of the raw materials found on this station. | Нам нужно навести порядок, но при этом ничего не терять.  Мы можем переработать все сырьевые материалы, найденные на этой станции.
dsi_part1_installsmelter2 | There is an industrial smelter among the boxed equipment.  Install it and power it up, then set it to recycling all of the scrap metal.  This will give us an early supply of Metal Ingots.  A critical resource in manufacturing anything. | Среди упакованного оборудования есть промышленная плавильная печь.  Установите её и запустите, затем настройте на переработку всего металлолома.  Это даст нам ранний запас Железных Слитков.  Критически важный ресурс для производства чего угодно.
dsi_part1_manufactureframes1 | If I could draw your attention to this schematic issued by the Andromeda Project.  You can see it's actually quite a simple part.  This is just a structural framework, onto which they'll build everything else. | Позвольте обратить ваше внимание на эту схему, выпущенную Проектом Андромеда.  Вы можете видеть, что это на самом деле довольно простая деталь.  Это просто структурный каркас, на который они будут строить все остальное.
dsi_part1_manufactureframes2 | We can manufacture these parts in just two stages out of Metal Ingots.  I've left a boxed Fabricator and an Assembly Table on the station.  Set them up next to each other, ideally near to the Metal Ingots. | Мы можем производить эти детали всего в два этапа из Железных Слитков.  Я оставил упакованный Фабрикатор и Сборочный Стол на станции.  Установите их рядом друг с другом, желательно рядом с Железными Слитками.
dsi_part1_manufactureframes3 | Once they're installed, set the Fabricator to manufacture Frames, then set the Assembly Table to specialise them into finished Stargate Frames.  It's simple stuff, but eventually we will need a huge throughput. | Как только они будут установлены, настройте Фабрикатор на производство Рам, затем настройте Сборочный Стол на специализацию их в готовые Рамы Звездных Врат.  Это простые вещи, но в конечном итоге нам понадобится огромная пропускная способность.
dsi_part1_manufactureframes4 | They want us to provide an initial batch of 10 Stargate Frames, for certification.  They'll inspect our work and we'll be approved as official partners in the Andromeda Project. | Они хотят, чтобы мы предоставили начальную партию из 10 Рам Звездных Врат для сертификации.  Они проверят нашу работу, и мы будем утверждены как официальные партнеры в Проекте Андромеда.
dsi_part1_manufactureframes5 | It shouldn't take too long.  If you run out of metal, remember you can recycle more of the ruined equipment around the facility. | Это не должно занять слишком много времени.  Если у вас закончится металл, помните, что вы можете переработать больше разрушенного оборудования вокруг объекта.
dsi_part1_objective_accept | Accept Alexander's proposal | Принять предложение Александра
dsi_part1_objective_addcrew | Add Crew to the station | Добавить Экипаж на станцию
dsi_part1_objective_callx | Call Alexander about the production facility | Позвонить Александру о производственном объекте
dsi_part1_objective_dismantleequipment | Dismantle ruined equipment | Демонтировать разрушенное оборудование
dsi_part1_objective_installairduct | Install Airduct | Установить Воздуховод
dsi_part1_objective_installassemblytab | Install Assembly Table | Установить Сборочный Стол
dsi_part1_objective_installfabricator | Install Fabricator | Установить Фабрикатор
dsi_part1_objective_installreactor | Install Reactor | Установить Реактор
dsi_part1_objective_installsmelter | Install Smelter | Установить Плавильную Печь
dsi_part1_objective_manufactureframes | Manufacture Stargate Frames [*X/10] | Произвести Рамы Звездных Врат [*X/10]
dsi_part1_objective_pressurisefacility | Pressurise Facility [*X%] | Герметизировать Объект [*X%]
dsi_part1_objective_produceframes | Produce 200 Stargate Frames [*X/200] | Произвести 200 Рам Звездных Врат [*X/200]
dsi_part1_objective_scaleupproduction | Scale up production | Масштабировать производство
dsi_part1_objective_sellframes | Sell Stargate Frames [*X/200] | Продать Рамы Звездных Врат [*X/200]
dsi_part1_objective_setassemblytab | Set Assembly Table to Stargate Frames | Настроить Сборочный Стол на Рамы Звездных Врат
dsi_part1_objective_setfabricator | Set Fabricator to Frames | Настроить Фабрикатор на Рамы
dsi_part1_objective_setsmelter | Set Smelter to Scrap Metal | Настроить Плавильную Печь на Металлолом
dsi_part1_objective_smeltmetallicminerals | Start smelting Metallic Minerals [*X/200] | Начать плавку Железной Руды [*X/200]
dsi_part1_objective_storeingots | Store Metal Ingots near Smelter [*X/10] | Хранить Железные Слитки рядом с Плавильной Печью [*X/10]
dsi_part1_objective_storescrap | Store scrap metal near Smelter [*X/10] | Хранить металлолом рядом с Плавильной Печью [*X/10]
dsi_part1_openstargatescreen | Excellent.  Let's have a look at the Manifest that he mentioned, and see what is required next. | Отлично.  Давайте посмотрим на Манифест, о котором он упомянул, и посмотрим, что требуется дальше.
dsi_part1_payx1 | I knew this would be a very profitable endeavour for us.  The Andromeda Project are so desperately in need of reliable manufacturing facilities that they're paying a fortune. | Я знал, что это будет очень прибыльным предприятием для нас.  Проект Андромеда настолько отчаянно нуждается в надежных производственных мощностях, что они платят целое состояние.
dsi_part1_payx2 | Now, the sales revenue is going to flow through you.  But remember our agreement.  50/50.  I've put a lot of capital in to get us to this point, and I need to start seeing a return. | Теперь выручка от продаж будет идти через вас.  Но помните наше соглашение.  50/50.  Я вложил много капитала, чтобы довести нас до этого момента, и мне нужно начать видеть отдачу.
dsi_part1_payx3 | Every time you sell a batch of parts to the Andromeda Project, you'll owe me half the revenue.  I'd appreciate it if you'd pay promptly. | Каждый раз, когда вы продаете партию деталей Проекту Андромеда, вы будете должны мне половину выручки.  Я был бы признателен, если бы вы платили оперативно.
dsi_part1_phase2_xcall1 | It looks like it's just a bulk order of the part we already provided.  We need to make 200 more Stargate Frames.  We're already manufacturing them, but we'll need to scale up production or else this will take forever. | Похоже, это просто крупный заказ детали, которую мы уже предоставили.  Нам нужно изготовить еще 200 Рам Звездных Врат.  Мы уже производим их, но нам нужно масштабировать производство, иначе это займет вечность.
dsi_part1_phase2_xcall2 | I'm releasing some of the seed money to you.  $600,000 should be enough for you to buy all the equipment we need to scale up.  Remember this isn't a gift.  I still own this station, and all the equipment onboard. | Я выделяю вам часть стартового капитала.  $600,000 должно быть достаточно для покупки всего оборудования, необходимого для масштабирования.  Помните, это не подарок.  Я все еще владею этой станцией и всем оборудованием на борту.
dsi_part1_phase2_xcall3 | I suggest you buy more Smelters, more Fabricators, and more Assembly Tables.  A couple of each at least.  All that equipment will draw more juice, so you'll need to expand the power network with more Reactors and Batteries to cope.  And you'll need more crew to do the work. | Я предлагаю вам купить больше Плавильных Печей, больше Фабрикаторов и больше Сборочных Столов.  По крайней мере, по паре каждого.  Все это оборудование потребует больше энергии, поэтому вам нужно будет расширить энергосеть большим количеством Реакторов и Батарей, чтобы справиться.  И вам понадобится больше экипажа для выполнения работы.
dsi_part1_phase2_xcall4 | If you run out of Metal Ingots, you should be able to buy raw materials from the open Marketplace.  You can usually buy more Scrap Metal, but you'll also find Metallic Minerals for sale which can also be smelted into Metal Ingots. | Если у вас закончатся Железные Слитки, вы сможете купить сырье на Рынке.  Обычно вы можете купить больше Металлолома, но вы также найдете Железную Руду на продажу, которую также можно переплавить в Железные Слитки.
dsi_part1_setupcall1 | Wonderful news. I'm very happy you've agreed to partner with me on this. My factory space station is in position nearby, ready for us to use as our base of operations. | Замечательные новости. Я очень рад, что вы согласились стать партнером со мной в этом. Моя заводская космическая станция находится на позиции поблизости, готовая для использования в качестве нашей базы операций.
dsi_part1_setupcall2 | This is the A.J.E Foundry.  A wonderful industrial facility, perfect for our needs.  I'll just need to provide you with some access codes so you can assume control of the facility. | Это A.J.E Foundry.  Замечательный промышленный объект, идеальный для наших нужд.  Мне просто нужно предоставить вам некоторые коды доступа, чтобы вы могли взять контроль над объектом.
dsi_part1_setupcall3 | Look at that.  For years I manufactured engines and FTL drives right here, for every fleet that passed through the sector.  It's really fallen into disrepair. | Посмотрите на это.  Годами я производил двигатели и гипердвигатели прямо здесь, для каждого флота, проходившего через сектор.  Он действительно пришел в запустение.
dsi_part1_setupcall4 | Your first job is to send over a skeleton crew, and establish basic power generation and life support.  I had the previous crew box up some of the usable equipment.  You should find the parts you need are already in storage. | Ваша первая работа - отправить минимальный экипаж и установить базовую генерацию энергии и жизнеобеспечение.  Я попросил предыдущий экипаж упаковать часть пригодного оборудования.  Вы должны обнаружить, что детали, которые вам нужны, уже на складе.
dsi_part1_setupstorage1 | Efficiency is going to be the key to this facility turning a profit.  Set up a storage zone for scrap metal near to your Smelter, and another for the Metal Ingots that come out.  Our crew will waste a lot less time carrying goods long distances. | Эффективность будет ключом к тому, чтобы этот объект приносил прибыль.  Настройте зону хранения для металлолома рядом с вашей Плавильной Печью и еще одну для Железных Слитков, которые выходят.  Наш экипаж будет тратить гораздо меньше времени на транспортировку товаров на большие расстояния.
dsi_part1_stationname | A.J.E Foundry | A.J.E Foundry
dsi_part1_title | Deep Space Industrialists | Промышленники Дальнего Космоса
dsi_part2_action_accept | Call X | Позвонить X
dsi_part2_action_askaboutisotopes | Ask about Stable Isotopes | Спросить о Стабильных Изотопах
dsi_part2_action_buyship | Buy gas fuselage | Купить Gas Capture
dsi_part2_action_takecontrol | Take control of station | Взять контроль над станцией
dsi_part2_actuatorsintro1 | I propose we expand and upgrade the Station into a mining facility.  If we install Engines we can move to a rich asteroid vein, then Mining Lasers and Logistics Drones will give us the capability to harvest the raw materials we need. | Я предлагаю расширить и превратить станцию в горнодобывающий объект.  Если мы установим Двигатели, мы сможем переместиться к богатой астероидной жиле, затем Шахтерские Лазеры и Логистические Дроны дадут нам возможность добывать необходимое сырье.
dsi_part2_actuatorsintro2 | The Stargate Actuators are made on the Assembly Table as normal, and they require a Stargate Frame and a Motor. Motors can be made in fabricators. | Приводы Звездных Врат изготавливаются на Сборочном Столе как обычно, и для них требуется Рама Звездных Врат и Двигатель. Двигатели можно изготовить в фабрикаторах.
dsi_part2_actuatorsintro3 | You'll need to mine Metallic Minerals and Copper Minerals, then melt those materials into ingots in an array of Smelters.  You can then fabricate the Motors and Frames, and finally assemble them into Stargate Actuators. | Вам нужно будет добыть Железную Руду и Медную Руду, затем переплавить эти материалы в слитки в массиве Плавильных Печей.  Затем вы можете изготовить Двигатели и Рамы, и наконец собрать их в Приводы Звездных Врат.
dsi_part2_actuatorsintro4 | I'll release some more of the seed capital to cover the costs of the upgrade, but you can take care of the details. | Я выделю еще немного стартового капитала для покрытия расходов на модернизацию, но вы можете позаботиться о деталях.
dsi_part2_actuatorsintro5 | One last thing, Captain.  I'm sure you've noticed, we aren't exactly surrounded by asteroids here.  I suggest you pair the station up with one of your FTL capable vessels, and jump them both to a suitable mining location.  You can leave the station there to do its work. | И последнее, Капитан.  Я уверен, вы заметили, что мы здесь не совсем окружены астероидами.  Я предлагаю вам соединить станцию с одним из ваших кораблей, способных к гиперпрыжкам, и переместить их обоих в подходящее место для добычи.  Вы можете оставить станцию там выполнять свою работу.
dsi_part2_advertisement | Captain, I think it's time we resumed work on the Stargate contract.  I've had a look ahead and the next phase is a huge step up.  Give me a call when you're ready to continue work. | Капитан, я думаю, пришло время возобновить работу над контрактом Звездные Врата.  Я заглянул вперед, и следующая фаза - это огромный шаг вперед.  Позвоните мне, когда будете готовы продолжить работу.
dsi_part2_firstpartcomplete | Excellent work, Captain.  On time and to specification, as usual.  The Andromeda Project have enough of that item now, so you may as well stop production and save the energy and materials. | Отличная работа, Капитан.  Вовремя и по спецификации, как обычно.  У Проекта Андромеда теперь достаточно этого элемента, так что вы можете остановить производство и сэкономить энергию и материалы.
dsi_part2_introcall1 | Welcome back, Captain.  I've been taking a look at the schematics published by the Andromeda Project, and the next phase is going to need a huge upgrade to our facilities. | С возвращением, Капитан.  Я изучал схемы, опубликованные Проектом Андромеда, и следующая фаза потребует огромной модернизации наших мощностей.
dsi_part2_introcall2 | However, nothing they're asking us to produce is impossible, and I have a strong personal interest in seeing this project completed.  The sooner the better. | Однако ничто из того, что они просят нас произвести, не является невозможным, и у меня есть сильный личный интерес увидеть завершение этого проекта.  Чем скорее, тем лучше.
dsi_part2_introcall3 | The Andromeda Project have released specifications for three different components.  We need to manufacture large quantities of all three to complete this phase, and each will require a different industrial setup. | Проект Андромеда выпустил спецификации для трех различных компонентов.  Нам нужно произвести большие количества всех трех для завершения этой фазы, и каждый потребует различной промышленной установки.
dsi_part2_introcall4 | The first part is a Stargate Actuator.  This is something we can manufacture in our existing factory station, although it's a more complex production chain.  There won't be nearly enough resources available in the Marketplace, so we'll have to mine the local belt for minerals. | Первая деталь - это Привод Звездных Врат.  Это то, что мы можем произвести на нашей существующей заводской станции, хотя это более сложная производственная цепочка.  На Рынке не будет достаточно ресурсов, поэтому нам придется добывать минералы в местном поясе.
dsi_part2_introcall6 | The second part is a chemical compound they're calling Stargate Resin.  It's synthesised in a Chemical Lab, but we first need huge volumes of Metreon Gas.  It's found only in deep space nebulas. | Вторая деталь - это химическое соединение, которое они называют Смолой Звездных Врат.  Она синтезируется в Химической Лаборатории, но сначала нам нужны огромные объемы Газа Метреона.  Он встречается только в туманностях дальнего космоса.
dsi_part2_introcall7 | My thinking is to buy a suitable fuselage from a Shipyard, and then convert it into a dedicated gas capture and refining facility.  There's a good ship nearby.  You can buy it on my behalf and then set it up, and we'll drop it off in a rich gas cloud and leave it running. | Я думаю купить подходящий корабль на Верфи, а затем преобразовать его в специализированный объект для захвата и переработки газа.  Рядом есть хороший корабль.  Вы можете купить его от моего имени, а затем настроить его, и мы оставим его в богатом газовом облаке и оставим работать.
dsi_part2_introcall8 | The final requirement is a few barrels of Stable Isotopes.  These are easily captured during routine FTL travel.  I think you can take care of this one yourself, but if necessary I can talk you through it. | Последнее требование - несколько бочек Стабильных Изотопов.  Они легко захватываются во время обычного гиперпутешествия.  Я думаю, вы можете позаботиться об этом сами, но при необходимости я могу объяснить вам это.
dsi_part2_introcall9 | Time is now of the essence, Captain.  All three parts need to be produced, and I'm in more of a hurry than you may realise.  Keep me informed! | Время сейчас решает все, Капитан.  Все три детали нужно произвести, и я тороплюсь больше, чем вы можете себе представить.  Держите меня в курсе!
dsi_part2_isotopesintro1 | We need to produce 100 Stable Isotopes. This is a chemical compound we must synthesise and deliver in barrels to the Andromeda Project. | Нам нужно произвести 100 Стабильных Изотопов. Это химическое соединение, которое мы должны синтезировать и доставить в бочках Проекту Андромеда.
dsi_part2_isotopesintro2 | It's not too complex.  It starts with a Hyperspace Scoop, or several ideally, that you can fit to your vessels.  Every time you make an FTL jump you'll collect more as you pass through hyperspace.  You can then pipe those isotopes into a Refinery and convert them into Stable Isotopes. | Это не слишком сложно.  Начинается с Гиперпространственного Совка, или нескольких в идеале, которые вы можете установить на свои корабли.  Каждый раз, когда вы совершаете гиперпрыжок, вы будете собирать больше, проходя через гиперпространство.  Затем вы можете направить эти изотопы в Химический Завод и преобразовать их в Стабильные Изотопы.
dsi_part2_isotopesintro3 | The final stage is to install a Loader or two, and set them to 'UNLOAD'.  This will instruct your crew to barrel up the stable isotopes and store them in the cargo hold so you can easily sell them on the Marketplace. | Заключительный этап - установить Погрузчик или два и установить их в режим 'РАЗГРУЗКА'.  Это даст указание вашему экипажу упаковать стабильные изотопы в бочки и хранить их в грузовом отсеке, чтобы вы могли легко продавать их на Рынке.
dsi_part2_objective_actuators | Manufacture Stargate Actuators [*X/250] | Произвести Приводы Звездных Врат [*X/250]
dsi_part2_objective_buygasfuselage | Buy the Gas Capture fuselage | Купить корабль Gas Capture
dsi_part2_objective_collectgas | Begin collecting Metreon Gas [*X/100] | Начать сбор Газа Метреона [*X/100]
dsi_part2_objective_collectisotopes | Begin collecting Hyperspace Isotopes [*X/100] | Начать сбор Гиперпространственных Изотопов [*X/100]
dsi_part2_objective_copperingots | Begin smelting Copper Ingots [*X/100] | Начать плавку Медных Слитков [*X/100]
dsi_part2_objective_installdrones | Install logistics drones | Установить логистических дронов
dsi_part2_objective_installengines | OPTIONAL: Install engines in the A.J.E Foundry | НЕОБЯЗАТЕЛЬНО: Установить двигатели в A.J.E Foundry
dsi_part2_objective_installlasers | Install mining lasers | Установить шахтерские лазеры
dsi_part2_objective_installscoop | Install Hyperspace Scoop | Установить Гиперпространственный Совок
dsi_part2_objective_isotopes | Manufacture Stable Isotopes [*X/100] | Произвести Стабильные Изотопы [*X/100]
dsi_part2_objective_minecopper | Begin mining copper minerals [*X/100] | Начать добычу медной руды [*X/100]
dsi_part2_objective_mineminerals | Begin mining metallic minerals [*X/100] | Начать добычу железной руды [*X/100]
dsi_part2_objective_producemotors | Begin fabricating Motors [*X/100] | Начать изготовление Двигателей [*X/100]
dsi_part2_objective_refinegas | Begin refining Metreon [*X/100] | Начать переработку Метреона [*X/100]
dsi_part2_objective_resin | Manufacture Stargate Resin [*X/250] | Произвести Смолу Звездных Врат [*X/250]
dsi_part2_objective_sellreminder | Sell your manufactured parts to submit them to the Stargate project | Продайте произведенные детали, чтобы отправить их в проект Звездные Врата
dsi_part2_objective_takecontrol | Take control of the A.J.E Foundry | Взять контроль над A.J.E Foundry
dsi_part2_objective_traveltonebula | Transport the Gas Collector to a Nebula | Доставить Газосборник в Туманность
dsi_part2_objective_unloadisotopes | Begin unloading barrels of Stable Isotopes [*X/10] | Начать разгрузку бочек со Стабильными Изотопами [*X/10]
dsi_part2_resinintro1 | There is a ship for sale here that's perfect for our gas collection enterprise.  Let's buy it and add it to the fleet. | Здесь продается корабль, который идеально подходит для нашего предприятия по сбору газа.  Давайте купим его и добавим во флот.
dsi_part2_resinintro2 | Gas collection is a slow process.  Our aim should be to place this vessel within a dense metreon nebula, slowly absorbing the gas and refining it over time.  Once we're in the nebula we won't be able to easily upgrade the ship, so we'll want to set it up as much as possible in advance. | Сбор газа - медленный процесс.  Наша цель должна состоять в том, чтобы разместить этот корабль внутри плотной туманности метреона, медленно поглощая газ и перерабатывая его с течением времени.  Как только мы окажемся в туманности, мы не сможем легко модернизировать корабль, поэтому мы хотим настроить его как можно больше заранее.
dsi_part2_resinintro3 | I'll send over more seed money and you can outfit the ship as you see best. | Я переведу больше стартового капитала, и вы сможете оснастить корабль по своему усмотрению.
dsi_part2_resinintro4 | The process of making Stargate Resin starts with a Gas Collector bringing in the Metreon Gas.  We then pipe that into a Refinery to produce Refined Metreon, then into a Chemical Lab where the Stargate Resin can be synthesised. | Процесс изготовления Смолы Звездных Врат начинается с Газосборника, собирающего Газ Метреона.  Затем мы направляем его в Химический Завод для производства Обработанного Метреона, затем в Химическую Лабораторию, где можно синтезировать Смолу Звездных Врат.
dsi_part2_resinintro5 | You'll need all of that equipment to get started.  I'd recommend Collectors, Refineries, and Chemical Labs, four each at least.  You'll also want Storage Tanks to buffer the intermediate products, and an upgrade to the Power Grid. | Вам понадобится все это оборудование для начала.  Я бы рекомендовал Газосборники, Химические Заводы и Химические Лаборатории, по крайней мере, по четыре каждого.  Вам также понадобятся Резервуары для буферизации промежуточных продуктов и модернизация Энергосети.
dsi_part2_resinintro6 | You may need to shop around a bit, if the local trade post doesn't have everything you need. | Вам, возможно, придется немного поискать, если на местном торговом посту нет всего, что вам нужно.
dsi_part2_resinintro7 | Once the ship is ready, pair it up with one of your FTL capable vessels, and jump into a nearby nebula to begin the process of gas collection. | Как только корабль будет готов, соедините его с одним из ваших кораблей, способных к гиперпрыжкам, и прыгните в ближайшую туманность, чтобы начать процесс сбора газа.
dsi_part2_scene_x1 | There's a situation brewing at our factory in the asteroid belt.  You'd better take a look. | На нашей фабрике в поясе астероидов назревает ситуация.  Вам лучше взглянуть.
dsi_part2_scene_x2 | I'll talk to him. | Я поговорю с ним.
dsi_part2_scene_x3 | Raymond.  It's been quite a while.  How have you been? | Рэймонд.  Прошло довольно много времени.  Как ты поживаешь?
dsi_part2_scene_x4 | Captain, I'll take care of this.  My private security are on their way.  I'll keep him talking, but there's no need for bloodshed. | Капитан, я позабочусь об этом.  Моя частная охрана уже в пути.  Я буду удерживать его в разговоре, но нет необходимости в кровопролитии.
dsi_part2_scene_x5 | You were compensated for your work Raymond.  You signed the contract. | Ты получил компенсацию за свою работу, Рэймонд.  Ты подписал контракт.
dsi_part2_scene_y1 | Is he in there?  Alexander?  Where is he? | Он там?  Александр?  Где он?
dsi_part2_scene_y2 | I'm not going to ask again.  I demand to speak to Alexander Elistar.  Immediately!  I am armed! | Я не буду спрашивать снова.  Я требую поговорить с Александром Элистаром.  Немедленно!  Я вооружен!
dsi_part2_scene_y3 | How have I been?  You know exactly how I've been.  I'm here to collect my share. | Как я поживаю?  Ты прекрасно знаешь, как я поживал.  Я здесь, чтобы забрать свою долю.
dsi_part2_scene_y4 | The designs were mine.  The patents were mine!  All of this, it's all built on my work. | Проекты были мои.  Патенты были мои!  Все это, все это построено на моей работе.
dsi_part2_scene_y5 | For pennies!  You screwed me, and now it's worth millions! | За гроши!  Ты меня обманул, а теперь это стоит миллионы!
dsi_part2_scene_y6 | I want my share.  Deal me in.  10% ownership of this new venture of yours.  I'm being reasonable, but the law is on my side.  Don't make me shut you down Alexander. | Я хочу свою долю.  Впусти меня в дело.  10% владения этим твоим новым предприятием.  Я веду себя разумно, но закон на моей стороне.  Не заставляй меня закрыть тебя, Александр.
dsi_part2_scene_y7 | You've left me no choice. | Ты не оставил мне выбора.
dsi_part2_scene_y8 | I'll be coming for you Alexander, and this time I'm not asking for 10%. I want it all. | Я приду за тобой, Александр, и на этот раз я не прошу 10%. Я хочу все.
dsi_part2_scene_z1 | This is Private Security vessel DOGMA, under exclusive contract to A.J.E Industries. | Это корабль Частной Охраны DOGMA, под эксклюзивным контрактом с A.J.E Industries.
dsi_part2_scene_z2 | You are operating in a dangerous and threatening manner in the vicinity of an A.J.E corporate facility. | Вы действуете опасным и угрожающим образом в окрестностях корпоративного объекта A.J.E.
dsi_part2_scene_z3 | You are ordered to stand down and withdraw immediately. | Вам приказано отступить и немедленно уйти.
dsi_part2_scene_z4 | We are authorised by deep space convention in the use of deadly force in defense of our client's assets. | Мы уполномочены конвенцией дальнего космоса на использование смертоносной силы в защиту активов нашего клиента.
dsi_part2_scene_z5 | THERE WILL BE NO FURTHER WARNING. | БОЛЬШЕ ПРЕДУПРЕЖДЕНИЙ НЕ БУДЕТ.
dsi_part2_secondpartcomplete1 | I'm sure you've noticed, we're making a small fortune from all of this.  Truth be told, I'm not really doing this for the revenue.  I already have more than I can ever spend.  But I'm running out of time.  The Doctors have made that clear to me. | Я уверен, вы заметили, что мы зарабатываем небольшое состояние на всем этом.  По правде говоря, я делаю это не ради дохода.  У меня уже больше, чем я когда-либо смогу потратить.  Но у меня заканчивается время.  Врачи дали мне это ясно понять.
dsi_part2_secondpartcomplete2 | I've been around quite a few years.  I've had my share of success, built my empire, my fortune.  I live a comfortable life.  But I find myself thinking more and more about what I want to do with the time I have left. | Я уже довольно много лет на этом свете.  У меня была своя доля успеха, построил свою империю, свое состояние.  Я живу комфортной жизнью.  Но я все больше и больше думаю о том, что я хочу сделать с оставшимся временем.
