wolf_character_harken | Commander Harken | Командир Харкен
wolf_part1_sendingwreckage | They're sending the recovered wreckage to your ship The L*X now, Captain. It will arrive soon by Shuttle. You'll need to store it somewhere onboard. | Они отправляют восстановленные обломки на ваш корабль L*X сейчас, Капитан. Они скоро прибудут на Челноке. Вам нужно будет хранить их где-то на борту.
wolf_part1_setupcall1 | Thank you for returning the flight recorder, Captain. | Спасибо за возвращение бортового самописца, Капитан.
wolf_part1_setupcall1b | We are in the grip of a major crisis.  Commercial vessels laden with valuable cargo are being targeted and destroyed.  These vessels are under our protection - but often lack any serious defenses, and barely have a chance to send out a distress call before they are plundered.  This is a calculated assault on the free market trade and industry within this sector, and cannot be allowed to continue. | Мы на пороге серьезного кризиса.  Коммерческие суда, груженные ценным грузом, подвергаются атакам и уничтожаются.  Эти суда находятся под нашей защитой - но часто не имеют серьезной защиты и едва успевают отправить сигнал бедствия, прежде чем их ограбят.  Это спланированное нападение на свободную рыночную торговлю и промышленность в этом секторе может продолжаться.
wolf_part1_setupcall2 | I'm sending you the coordinates of two more stricken vessels, pinpointing their last known locations before they went dark.  We need you to travel to the wreckage of each of these ships, and collect whatever evidence you can. | Я отправляю вам координаты еще двух пострадавших судов, указывающие их последние известные местоположения перед тем, как они пропали.  Нам нужно, чтобы вы отправились к обломкам каждого из этих кораблей и собрали все доказательства, которые сможете.
wolf_part1_setupcall3 | The primary objective is the safe recovery of their Black Box Flight Recorders, which will contain a log of their final moments. | Основная цель - безопасное восстановление их Бортовых Самописцев, которые будут содержать журнал их последних моментов.
wolf_part1_setupcall4 | Here are the co-ordinates of the two shipwrecks we need you to visit. | Вот координаты двух кораблекрушений, которые нам нужно, чтобы вы посетили.
wolf_part1_setupcall5 | The fourth vessel to be targeted managed to send out a distress call. Local security forces responded too late, and found nothing but the destroyed fuselage with a presumed loss of all crew. | Четвертому судну, ставшему целью, удалось отправить сигнал бедствия. Местные силы безопасности отреагировали слишком поздно и не нашли ничего, кроме разрушенного корабля с предполагаемой потерей всего экипажа.
wolf_part1_setupcall5b | This is the only image they managed to send, before their transmission went dead. | Это единственное изображение, которое им удалось отправить, прежде чем их передача оборвалась.
wolf_part1_setupcall6 | The wreckage - which is the forensic evidence of their fate - was collected and taken back to System S*X, where it's currently sitting in storage.  We need you to send a ship to collect the wreckage, and bring it to us along with the recovered black box modules. | Обломки - которые являются криминалистическими доказательствами их судьбы - были собраны и доставлены обратно в Систему S*X, где они в настоящее время находятся на хранении.  Нам нужно, чтобы вы отправили корабль для сбора обломков и привезли их к нам вместе с восстановленными модулями бортовых самописцев.
wolf_part1_setupcall7 | Bring all the recovered wreckage and the black box flight recorders back to me for analysis on board my ship The Vanguard, to complete the contract. | Привезите все восстановленные обломки и бортовые самописцы обратно ко мне для анализа на борту моего корабля The Vanguard, чтобы завершить контракт.
wolf_part1_title | A Wolf in Sheep's Clothing | Волк В Овечьей Шкуре
wolf_part1_wreckagecount | You've delivered *X/*Y of the Ship Wreckage | Вы доставили *X/*Y Обломков Корабля
wolf_part2_advertisement | Captain. We're ready to continue our hunt for the pirate vessel. Please meet me at the marked location. | Капитан. Мы готовы продолжить нашу охоту на пиратский корабль. Пожалуйста, встретьтесь со мной в отмеченном месте.
wolf_part2_debrief1 | I appreciate your speed in rescuing the crew of the Orion Sentinel, Captain. | Я ценю вашу скорость в спасении экипажа Orion Sentinel, Капитан.
wolf_part2_debrief2 | Regrettably I must inform you Captain Ryker does not appear to be among the survivors.  Her sacrifice will be remembered. | К сожалению, я должен сообщить вам, что Капитан Райкер, похоже отсутствует среди выживших.  Её жертва будет не будет забыта.
wolf_part2_debrief3 | We don't know when or where the pirate vessel will strike again. But we must be prepared.  The more we analyse their attacks, the more obvious the pattern becomes. | Мы не знаем, когда и где пиратский корабль нанесет удар снова. Но мы должны быть готовы.  Чем больше мы анализируем их атаки, тем очевиднее становится закономерность.
wolf_part2_debrief4 | Thank you, Captain.  Protect your fleet, and wait for our call. | Спасибо, Капитан.  Защитите свой флот и ждите нашего звонка.
wolf_part2_distress1 | This is Captain Amelia Ryker of the UMC vessel Orion Sentinel.  We are under attack!  They appeared out of nowhere and fired on us without warning, and won't respond to any of my communications. | Это Капитан Амелия Райкер с судна UMC Orion Sentinel.  Мы подвергаемся атаке!  Они появились из ниоткуда и открыли по нам огонь без предупреждения и не реагируют ни на одно из моих сообщений.
wolf_part2_distress2 | I'm trying to hold them off, but I need help.  My engines are damaged.  Ships systems have failed.  Please hurry, I have 40 crew onboard! | Я пытаюсь сдержать их, но мне нужна помощь.  Мои двигатели повреждены.  Системы корабля вышли из строя.  Пожалуйста, поторопитесь, у меня на борту 40 членов экипажа!
wolf_part2_dropoff1 | Well done, Captain.  Your intervention prevented a further loss of life.  And now we know the pirate vessel is crewed by cowards, a fact that we intend to use to our advantage. | Молодец, Капитан.  Ваше вмешательство предотвратило дальнейшую потерю жизней.  И теперь мы знаем, что пиратский корабль управляется трусами, факт, который мы намерены использовать в свою пользу.
wolf_part2_dropoff2 | In the mean time, take the survivors to the nearest shipyard or colony and drop them off there to close the contract. | А пока доставьте выживших на ближайшую верфь или колонию и высадите их там, чтобы закрыть контракт.
wolf_part2_inperson_distress1 | Captain, thank goodness you're here! Help us! | Капитан, слава богу, вы здесь! Помогите нам!
wolf_part2_inperson_distress2 | We won't last much longer. | Мы долго не продержимся.
wolf_part2_inperson_distress3 | It looks like they turned and ran when they saw you arrive, Captain.  But my ship is on the brink. The Reactor won't hold out much longer. | Похоже, они развернулись и убежали, когда увидели, что вы прибыли, Капитан.  Но мой корабль на грани. Реактор долго не продержится.
wolf_part2_inperson_distress4 | To rescue my crew you'll need to get close and initiate docking procedures. Use your manoeuvering thrusters to align your docking port with ours, in TACTICAL mode. | Чтобы спасти мой экипаж, вам нужно будет подойти ближе и начать процедуры стыковки. Используйте ваши маневровые двигатели, чтобы выровнять ваш стыковочный порт с нашим, в ТАКТИЧЕСКОМ режиме.
wolf_part2_inperson_distress5 | I'll get the crew ready to evacuate. Please hurry! | Я подготовлю экипаж к эвакуации. Пожалуйста, поторопитесь!
wolf_part2_inperson_distress6 | The Reactor is reaching critical levels, Captain.  I can't stop it from overloading. | Реактор достигает критических уровней, Капитан.  Я не могу остановить его от перегрузки.
wolf_part2_inperson_distress7 | I'll try and buy you a few more seconds, but it's going to go critical any moment.  Get to a safe distance as soon as you can, Captain.  Save my crew! | Я попытаюсь выиграть вам еще несколько секунд, но он достигнет критической точки в любой момент.  Отойдите на безопасное расстояние как можно скорее, Капитан.  Спасите мой экипаж!
wolf_part2_objective_dock | Dock with the UMC Orion Sentinel | Пристыковаться к UMC Orion Sentinel
wolf_part2_objective_dropoff | Drop off the survivors at any shipyard or colony [*X/*Y] | Высадить выживших на любой верфи или колонии [*X/*Y]
wolf_part2_objective_escape | Get to a safe distance before the Orion Sentinel explodes | Отойти на безопасное расстояние до взрыва Orion Sentinel
wolf_part2_objective_rescue | Rescue the crew of the UMC Orion Sentinel [*X/40] | Спасти экипаж UMC Orion Sentinel [*X/40]
wolf_part2_objective_thrusters | Fit four manoeuvering thrusters to your vessel [*X/4] | Установить четыре маневровых двигателя на ваш корабль [*X/4]
wolf_part2_objective_visitharken | Travel to Commander Harken | Отправиться к Командиру Харкену
wolf_part2_rescued | Rescued *X/*Y crew | Спасено *X/*Y членов экипажа
wolf_part2_setup1 | Thank you for coming, Captain. | Спасибо, что пришли, Капитан.
wolf_part2_setup2 | We have been attempting to track the pirate vessel down, but to no avail. We keep arriving at the scene to find destroyed ships with no trace of the pirates. We need you to- | Мы пытались выследить пиратский корабль, но безуспешно. Мы продолжаем прибывать на место, чтобы найти уничтоженные корабли без следа пиратов. Нам нужно чтобы вы-
wolf_part2_setup3 | This is now an urgent humanitarian rescue situation. If we respond quickly enough, we may just be lucky and find a crew we can rescue. | Это теперь срочная гуманитарная спасательная ситуация. Если мы отреагируем достаточно быстро, нам может просто повезти, и мы найдем экипаж, который сможем спасти.
wolf_part2_setup4 | You'll need to acquire at least four Manoeuvring thrusters to dock with Captain Ryker's ship. | Вам нужно будет приобрести как минимум четыре Маневровых двигателя для стыковки с кораблем Капитана Райкер.
wolf_part2_setup5 | Time is running out.  Send a ship to the Orion Sentinel and provide whatever aid you can, before it's too late. | Время истекает.  Отправьте корабль к Orion Sentinel и окажите любую помощь, которую можете, пока не стало слишком поздно.
wolf_part2_title | A Wolf in Sheep's Clothing, Part 2 | Волк В Овечьей Шкуре, Часть 2
wolf_part3_action_chargeemp | Charge EMP | Зарядить ЭМИ
wolf_part3_action_triggeremp | Trigger EMP | Активировать ЭМИ
wolf_part3_advertisement1 | Captain, we have hatched a plan that we believe will catch the pirate vessel in the act. | Капитан, мы разработали план, который, как мы полагаем, поймает пиратский корабль на месте преступления.
wolf_part3_advertisement2 | Please come to see us and we will explain the mission objectives. | Пожалуйста, приезжайте к нам, и мы объясним цели миссии.
wolf_part3_combat1 | Captain, we're on our way.  Mobilise your crew and install those weapon systems ASAP. | Капитан, мы в пути.  Мобилизуйте свой экипаж и установите эти оружейные системы как можно скорее.
wolf_part3_combat2 | The cavalry are coming.  Hold them off for just a few moments. | Подкрепление идет.  Сдержите их еще несколько мгновений.
wolf_part3_combat3 | Unfortunately it seems we have arrived too late. Your crew's sacrifice will not be forgotten. | К сожалению, похоже, мы прибыли слишком поздно. Жертва вашего экипажа не будет забыта.
wolf_part3_combat4 | Target that explosion and fire! | Целься в этот взрыв и огонь!
wolf_part3_debrief1 | Congratulations, Captain. Your performance in the destruction of the Pirate Vessel exceeded all expectations! | Поздравляю, Капитан. Ваши действия в уничтожении Пиратского Корабля превзошли все ожидания!
wolf_part3_debrief2 | Your skill and bravery have not gone unnoticed. I extend my heartfelt gratitude for your help. | Ваше мастерство и храбрость не остались незамеченными. Я выражаю вам свою искреннюю благодарность за вашу помощь.
wolf_part3_debrief3 | As a token of appreciation, consider the Astral Temptress now a part of your fleet. | В знак признательности считайте Astral Temptress теперь частью вашего флота.
wolf_part3_debrief4 | The ship was due to be scrapped, but we think it may have some years left in its structure yet. | Корабль должен был быть утилизирован, но мы думаем, что у него может быть еще несколько лет в его конструкции.
wolf_part3_debrief5 | Farewell, Captain. Your dedication to justice and the safety of our sector will be remembered. | Прощайте, Капитан. Ваша преданность справедливости и безопасности нашего сектора не будет забыта.
wolf_part3_emp1 | We've found them! This is our shot. | Мы нашли их! Это наш шанс.
wolf_part3_emp2 | Charge the EMP weapon and get ready to hit them where it really hurts. Let them come in close. Really close. | Зарядите оружие ЭМИ и приготовьтесь ударить их там, где это действительно больно. Пусть они подойдут ближе. Очень близко.
wolf_part3_emp3 | They're in range! Trigger the EMP from your FTL drive now! | Они в радиусе действия! Активируйте ЭМИ от вашего Гипердвигателя сейчас!
wolf_part3_emptysystem1 | This system is exactly the kind where the pirates might attack. | Эта система именно такая, где пираты могут атаковать.
wolf_part3_emptysystem2 | Keep looking busy and travel to another empty system, the pirates must already be on your trail. | Продолжайте выглядеть занятым и отправляйтесь в другую пустую систему, пираты, должно быть, уже на вашем следу.
wolf_part3_episodesystem1 | We have received intel that this system is too special to risk luring the pirate here. | Мы получили разведданные, что эта система слишком особенная, чтобы рисковать заманить сюда пирата.
wolf_part3_episodesystem2 | Try to avoid systems with other important activity. | Старайтесь избегать систем с другой важной активностью.
wolf_part3_intro1 | We have hatched a plan that we believe will catch the pirate vessel in the act.  We're standing by with a strike force to bring them to justice, and we need your help to bait the trap. | Мы разработали план, который, как мы полагаем, поймает пиратский корабль на месте преступления.  Мы с ударным отрядом готовы привлечь их к ответственности, и нам нужна ваша помощь, чтобы организовать ловушку.
wolf_part3_intro2 | This is a risky mission, will you help us? | Это рискованная миссия, поможете ли вы нам?
wolf_part3_objective_chargeemp | Charge the EMP [*X%] | Зарядить ЭМИ [*X%]
wolf_part3_objective_destroypirate | Destroy the Pirate Ship | Уничтожить Пиратский Корабль
wolf_part3_objective_dockastral | Dock with the Astral Temptress and crew the ship [*X/*Y] | Пристыковаться к Astral Temptress и укомплектовать корабль экипажем [*X/*Y]
wolf_part3_objective_getclose | Let the pirates come close | Позволить пиратам подойти ближе
wolf_part3_objective_gotoharken | Travel to Commander Harken's ship | Отправиться к кораблю Командира Харкена
wolf_part3_objective_installweapons | Install cannons and connect them to the power grid. [*X/*Y] | Установить пушки и подключить их к энергосети. [*X/*Y]
wolf_part3_objective_jumparound | Jump the Astral Temptress to empty systems until attacked | Прыгать на Astral Temptress в пустые системы до атаки
wolf_part3_objective_survive | Survive until the strike force arrives | Выжить до прибытия ударного отряда
wolf_part3_objective_triggeremp | Trigger the EMP | Активировать ЭМИ
wolf_part3_otherships1 | There are other ships in this system. The pirates won't attack you unless they see the cargo ship alone! | В этой системе есть другие корабли. Пираты не нападут на вас, если не увидят грузовой корабль в одиночестве!
wolf_part3_otherships2 | Try avoiding busy systems with colonies or shipyards. | Старайтесь избегать оживленных систем с колониями или верфями.
wolf_part3_ranaway1 | We almost had them! Your cooperation is crucial for this operation to go smoothly. | Мы почти их поймали! Ваше сотрудничество имеет решающее значение для успешного проведения этой операции.
wolf_part3_ranaway2 | The pirates are probably still on your trail thinking you got scared, jump to an empty system to bait them out again. | Пираты, вероятно, все еще на вашем следу, думая, что вы испугались, прыгните в пустую систему, чтобы снова выманить их.
wolf_part3_setup1 | Captain, it's time to hold this pirate vessel to account for all the damage they've done, and all the lives they've taken. | Капитан, пришло время привлечь этот пиратский корабль к ответственности за весь ущерб, который они нанесли, и за все жизни, которые они забрали.
wolf_part3_setup2 | The UMC Astral Temptress is the bait in our trap.  It's a long haul commercial freighter that was due to be scrapped.  We want you to take the Astral Temptress and travel through the most remote, unprotected locations in the sector. | UMC Astral Temptress - это приманка в нашей ловушке.  Это дальнобойный коммерческий грузовой корабль, который должен был быть утилизирован.  Мы хотим, чтобы вы взяли Astral Temptress и путешествовали по самым отдаленным, незащищенным местам в секторе.
wolf_part3_setup3 | Look busy, look like you're going somewhere, and bait them out of hiding.  They won't be able to resist such an easy target. | Выглядите занятым, выглядите так, будто вы куда-то направляетесь, и выманите их из укрытия.  Они не смогут устоять перед такой легкой целью.
wolf_part3_setup4 | What they won't realise is you'll be carrying several tons of advanced military grade weapon systems, ready to be installed and activated the moment they come in close. | Чего они не осознают, так это того, что вы будете нести несколько тонн передовых военных оружейных систем, готовых к установке и активации в тот момент, когда они подойдут близко.
wolf_part3_setup5 | We have one final trick, to buy you some time before the cavalry arrives.  We can reverse the energy field in the ship's FTL drive, and trigger a massive burst of EMP energy.  Enough to disable their FTL and prevent any chance of escape. | У нас есть финальный трюк, чтобы выиграть немного времени до прибытия подкрепления.  Мы можем перевернуть энергетическое поле в Гипердвигателе корабля и вызвать массивный всплеск энергии ЭМИ.  Достаточно, чтобы отключить их Гипердвигатель и предотвратить любую возможность побега.
wolf_part3_setup6 | Your own ship will lose power too - but in the calamity that follows, you'll have time to fit your weapon systems and prepare for a tough fight. | Ваш собственный корабль тоже потеряет энергию - но в последующей суматохе у вас будет время установить ваши оружейные системы и подготовиться к тяжелой битве.
wolf_part3_setup7 | You'll have to hold them off for a couple of minutes.  My strike force will perform a combat drop virtually on top of you.  Then the tables will turn in our favour. | Вам придется сдерживать их пару минут.  Мой ударный отряд совершит боевую высадку практически на вас.  Затем ситуация повернется в нашу пользу.
wolf_part3_setup8 | Remember - the pirate vessel will not show themselves unless the Astral Temptress is alone and unarmed. Good hunting! | Помните - пиратский корабль не покажется, если Astral Temptress не будет одна и невооружена. Удачной охоты!
wolf_part3_shipname_cargo | UMC Astral Temptress | UMC Astral Temptress
wolf_part3_shipname_cargo_a10 | UMC Astral Accident | UMC Astral Accident
wolf_part3_shipname_frigate | UMC Celestial Hammer | UMC Celestial Hammer
wolf_part3_shipname_pirate | Pirate Vessel | Pirate Vessel
wolf_part3_title | A Wolf in Sheep's Clothing, Part 3 | Волк В Овечьей Шкуре, Часть 3
wolf_part3_uninstallweapons1 | The pirates won't take the bait if they see you armed! | Пираты не клюнут на приманку, если увидят вас вооруженным!
wolf_part3_uninstallweapons2 | Uninstall your weapons before jumping again. | Демонтируйте ваше оружие перед следующим прыжком.
wolf_shipname_harken | UMC Vanguard | UMC Vanguard
wolf_shipname_pirate | Unidentified Pirate | Unidentified Pirate
wolf_shipname_rescue | Orion Sentinel | Orion Sentinel
wolf_shipname_scavenger | Scavenger Wraith | Scavenger Wraith
wolf_shipname_wolf1 | Interstellar Prospector | Interstellar Prospector
wolf_shipname_wolf2 | Infinite Horizon | Infinite Horizon
wolf_shipname_wolf3 | Celestial Hauler | Celestial Hauler
