bravenewsector_part1_dophase6 | Complete Phase 6 of the Stargate Project | Завершите Фазу 6 Проекта Звездные Врата
bravenewsector_part3_wait_rep1 | Thank you for doing that Captain, Artemis will correspond with you directly from now on. | Спасибо, что сделали это, Капитан, Артемис будет связываться с вами напрямую с этого момента.
bravenewsector_part3_wait_rep2 | Goodbye for now. | До свидания.
bravenewsector_part3_waitforresults | Wait for Artemis to call you about his experiment | Дождитесь звонка Артемиса о его эксперименте
bravenewsector_part4_action_starttest | Start Test | Стартовый тест
bravenewsector_part4_andromeda_bonus | ANDROMEDA BONUS | БОНУС АНДРОМЕДЫ
bravenewsector_part4_andromeda_caption | Payment for sending the test ship | Оплата за отправку тестового корабля
bravenewsector_part4_call_action | Call the Representative | Связаться с представителем
bravenewsector_part4_harken1 | Captain, there are reports that the Andromeda Project are withholding access to the Stargate from any ships that aren't their own. | Капитан, есть сведения, что Проект Андромеда закрывает доступ к Звездным вратам для всех посторонних кораблей.
bravenewsector_part4_harken2 | My sensors are detecting major fleet movements towards the Stargate, it looks like the Andromeda Project is aiming to secure their control over it. | Мои сенсоры фиксируют крупные перемещения флота в сторону Звездных врат, похоже, что Проект Андромеда стремится закрепить свой контроль над ними.
bravenewsector_part4_harken3 | This is... concerning. Be careful, I don't like the look of this. | Это... вызывает опасения. Будь осторожен, мне не нравится, как это выглядит.
bravenewsector_part4_intro | Captain, preparations have concluded for the final Stargate test. We are ready to send a ship to the Andromeda Galaxy. Please call us when you are ready. | Капитан, подготовка к финальному испытанию Звездных врат завершена. Мы готовы отправить корабль в галактику Андромеды. Пожалуйста, свяжитесь с нами, когда будете готовы.
bravenewsector_part4_objective_test | Send the test ship to the Andromeda Galaxy | Отправте испытательный корабль в галактику Андромеды
bravenewsector_part4_objective_wait | Await further instructions | Ожидайте дальнейших указаний
bravenewsector_part4_reachandromeda_award | ANDROMEDA REACHED | АНДРОМЕДА ДОСТИГНУТА
bravenewsector_part4_reachandromeda_caption | Signal received from test ship | Сигнал, полученный с испытательного корабля
bravenewsector_part4_rep1 | The materials you provided to us have been fitted to the Stargate. It is fully functional and ready to test. | Материалы, которые вы нам предоставили, были установлены на Звездные врата. Они полностью функциональны и готовы к испытаниям.
bravenewsector_part4_rep10 | The next stage of the project has begun. Our fleet has obtained full control over the Stargate and we are currently in the process of moving our workforce into the new galaxy. | Начался следующий этап проекта. Наш флот получил полный контроль над Звездными вратами, и сейчас мы занимаемся перемещением нашей рабочей силы в новую галактику.
bravenewsector_part4_rep11 | We will bring prosperity to all those who work with us. Speak to you soon, Captain. We may have some more work for you in the future. | Мы принесем процветание всем, кто будет работать с нами. До скорой связи, капитан. Возможно, в будущем у нас найдется для вас еще работа.
bravenewsector_part4_rep2 | This is a monumental moment in the history of our species. If this test is successful the Andromeda Project will be the first entity to send mankind to another galaxy. | Это монументальный момент в истории нашего вида. Если испытание пройдет успешно, Проект Андромеда станет первым, кто отправит человечество в другую галактику.
bravenewsector_part4_rep3 | Captain, you will need to begin the test and provide power for the entire journey so our test ship can reach the Andromeda Galaxy. This will require a significant amount of energy, more than what's needed to travel between sectors. | Капитан, вам нужно будет начать испытание и обеспечить энергией все путешествие, чтобы наш тестовый корабль смог достичь галактики Андромеды. Для этого потребуется значительное количество энергии, большее, чем то, что нужно для путешествия между секторами.
bravenewsector_part4_rep4 | Please begin the test when you are ready. | Пожалуйста, начинайте тест, когда будете готовы.
bravenewsector_part4_rep5 | Captain, the Stargate has received a signal from the Andromeda Galaxy. | Капитан, Звездные врата приняли сигнал из галактики Андромеды.
bravenewsector_part4_rep6 | The test ship made it. The test was a complete and total success. This is a historic moment for all of mankind. | Испытательный корабль добрался до места. Испытание прошло с полным и абсолютным успехом. Это исторический момент для всего человечества.
bravenewsector_part4_rep7 | It couldn't have been done without you Captain. Your industrial expertise and dedication to the project have been invaluable. | Без вас, капитан, это было бы невозможно сделать. Ваш промышленный опыт и преданность проекту были бесценны.
bravenewsector_part4_rep8 | Thank you Captain, your contribution will not be forgotten. Goodbye for now. | Спасибо, капитан, ваш вклад не будет забыт. На этом прощаемся.
bravenewsector_part4_rep9 | Hello Captain. The newly completed Stargate has put the Andromeda Project in a powerful position to control the flow of resources and people between this galaxy and the Andromeda galaxy. | Здравствуйте, капитан. Недавно завершенные Звездные врата поставили Проект Андромеда в сильную позицию, позволяющее контролировать потоки ресурсов и людей между этой галактикой и галактикой Андромеда.
bravenewsector_part4_summary | Complete the final test. | Завершите финальный тест.
bravenewsector_part4_testshipname | Andromeda Test Ship MK.1 | Испытательный корабль Андромеды MK.1
bravenewsector_part4_title | Brave New Sector, Part 4 | Дивный Новый Сектор, часть 4
bravenewsector_summary | Explore the new sector | Исследуйте новый сектор
bravenewsector_title | Brave New Sector | Дивный Новый Сектор
