thefinalstand_ai_name | ANDROMEDA SHIP CONTROL | УПРАВЛЕНИЕ КОРАБЛЕМ АНДРОМЕДА
thefinalstand_harken1_intro | Captain! In direct violation of intergalactic law, the Andromeda Project has permanently closed access to the Stargate outside of their own ships. Billions of colonists have been stranded in the new sector, unable to return home. | Капитан! В прямом нарушении межгалактических законов Проект Андромеда навсегда закрыл доступ к Звездным вратам всем, кроме своих кораблей. Миллиарды колонистов застряли в новом секторе и не могут вернуться домой.
thefinalstand_harken2 | The Andromeda Project has moved their HQ and all key personell into an unknown location in the new sector, where we believe they are controlling the Stargate. | Проект Андромеда переместил свою штаб-квартиру и всех ключевых сотрудников в неизвестное место в новом секторе, где, как мы полагаем, они контролируют Звездные врата.
thefinalstand_harken2_intro | You are the only one outside of the Andromeda Project with access codes, please call back as soon as you can. They must be stopped. | Вы единственный за пределами Проекта Андромеда, у кого есть коды доступа. Пожалуйста, свяжитесь, как только сможете. Их нужно остановить.
thefinalstand_harken3 | My plan is to use our fleets to take control of the HQ by force. Any and all damage to the HQ should be avoided, many innocent lives are on-board and the loss of life from destroying it would be far too great.\nI have devised a plan with an old friend of yours that should minimise casualties... | Мой план состоит в том, чтобы использовать наши флоты для захвата штаб-квартиры силой. Любые повреждения штаба следует избегать: на борту много невинных людей, и потери от его разрушения были бы слишком велики.\nЯ разработал план с вашим старым другом, который должен свести потери к минимуму...
thefinalstand_harken4 | While you neutralise the HQ, my fleet will fight off the Andromeda Project navy. Once the battle is over, I will take control of the HQ and arrest everyone involved. Their conglomerate will be dismantled. | Пока вы нейтрализуете штаб-квартиру, мой флот будет отбиваться от флота Проекта Андромеда. Как только битва закончится, я возьму штаб-квартиру под контроль и арестую всех причастных. Их конгломерат будет ликвидирован.
thefinalstand_harken5 | The Stargate will fall back into your sole control. I've marked an allied shipyard on your map. I'll hide out there in the mean-time. | Звездные врата вернутся под ваш единоличный контроль. Я отметил на вашей карте верфь союзников. Я укроюсь там на это время.
thefinalstand_harken6 | Meet me to discuss the plan further. Goodbye for now. | Встретимся, чтобы обсудить план подробнее. Пока.
thefinalstand_objective_destroyboss | Destroy the Andromeda Flagship | Уничтожить флагман Андромеды
thefinalstand_objective_destroyhostiles | Destroy remaining hostiles: *X | Уничтожить оставшихся врагов: *X
thefinalstand_objective_destroyhq | Take control of the Andromeda Project HQ | Взять под контроль штаб-квартиру Проекта Андромеда
thefinalstand_objective_flytohq | Fly close to the HQ | Подлететь близко к штаб-квартире
thefinalstand_objective_traveltoharken | Travel to Harken | Путешествие к Харкен
thefinalstand_summary | Stop the Andromeda Project. | Останови Проект Андромеда.
thefinalstand_title | The Final Stand | Последняя Битва
