alert_title | ALERTS | ОПОВЕЩЕНИЯ
alert_type_hullbreach_caption | Repair *X% | Ремонт *X%

alert_type_hullbreach_tooltip | There is a hole in your ship hull and the cabin is depressurising. Your crew will fix the breach, but you should consider closing your Door Vents to seal off the area. | В корпусе вашего корабля образовалась дыра, и салон разгерметизировался. Ваш экипаж устранит пробоину, но вам следует закрыть вентиляцию, чтобы загерметизировать зону.

alert_type_hungry | CREW HUNGRY | ЭКИПАЖ ИСПЫТЫВАЕТ ГОЛОД

alert_type_lowbattery | BATTERY LOW | НИЗКИЙ ЗАРЯД БАТАРЕИ

alert_type_lowbattery_caption | *X% | *X%

alert_type_lowbattery_tooltip | Your batteries have been drained. It is likely your reactors are not creating enough power to meet the needs of your ship. You will need either more Reactors, or more battery storage, or both. | Ваши Батареи разряжены. Вероятно, ваши Реакторы не вырабатывают достаточно энергии для удовлетворения потребностей вашего корабля. Вам потребуется либо больше Реакторов, либо больше Батарей, либо и то, и другое.

alert_type_lowfood | LOW FOOD | МАЛО ПИЩИ

alert_type_lowftl | FTL CHARGES | МАЛО СВЕРХСВЕТОВЫХ ЗАРЯДОВ

alert_type_lowfuel | LOW FUEL | МАЛО ТОПЛИВА

alert_type_lowoxygen | LOW OXYGEN | МАЛО КИСЛОРОДА

alert_type_lowresource_caption | *X | *X

alert_type_lowwater | LOW WATER | МАЛО ВОДЫ

alert_type_meteorshower | METEOR SHOWER | МЕТЕОРНЫЙ ДОЖДЬ

alert_type_none | NO ALERT | НЕТ ОПОВЕЩЕНИЯ

alert_type_nostorage | NO STORAGE | НЕТ МЕСТА В ХРАНИЛИЩЕ

alert_type_oxygen | Oxygen must be at 50% to be breathable. | Кислород должен быть на уровне 50%, чтобы можно было дышать.

alert_type_powercut | POWER CUT | ОТКЛЮЧЕНИЕ ПИТАНИЯ

alert_type_powercut_nofuel | Fuel supply interrupted | Прекращена подача топлива

alert_type_powercut_tooltip | Your reactor has cut out. It is likely the fuel supply has been interrupted.  Consider using storage tanks to create a permanent store of fuel for your Reactor to draw from. | Ваш Реактор отключился. Вероятно, прервалась подача топлива.  Рассмотрите возможность использования Резервуаров для хранения топлива, чтобы создать постоянный запас топлива для вашего Реактора.

alert_type_radiation | RADIATION POISONING | РАДИАЦИОННОЕ ОБЛУЧЕНИЕ

alert_type_radiation_caption | *X have radiation poisoning | *X получить радиационное облучение

alert_type_severely_dehydrated | CREW SEVERELY DEHYDRATED | ЭКИПАЖ СИЛЬНО ОБЕЗВОЖЕН

alert_type_stargatelosingpower | STARGATE LOSING POWER | ЗВЕЗДНЫЕ ВРАТА ТЕРЯЮТ ЭНЕРГИЮ

alert_type_stargatelosingpower_caption | *X MW / *Y MW Supplied | *X МВт / *Y МВт Поставляется

alert_type_stargatelosingpower_tooltip | The stargate isn't being supplied with enough power. Use energy transmitters to supply the Stargate with power. | Звездные врата не получают достаточно энергии. Используйте Передатчики энергии, чтобы снабдить Звездные врата энергией.

alert_type_starving | CREW STARVING | ЭКИПАЖ УМИРАЕТ ОТ ГОЛОДА

alert_type_suffocating | CREW SUFFOCATING | ЭКИПАЖ ЗАДЫХАЕТСЯ

alert_type_suffocating_caption | *X suffocating | *X удушье

alert_type_test | TEST ALERT | ТЕСТОВАЯ ТРЕВОГА

alert_type_thirsty | CREW THIRSTY | ЭКИПАЖ ИСПЫТЫВАЕТ ЖАЖДУ



