blackhole_character_julian | Dr. Julian Martinez | Доктор Джулиан Мартинес
blackhole_part1_intro2 | For years now my brother and I have been studying the high energy particle emissions in orbit of the black hole you can see behind us.  Its official designation is Qz247 - the collapsed remnants of a star that lived a couple of billion years ago. | Вот уже несколько лет мы с братом изучаем выбросы частиц высокой энергии на орбите черной дыры, которую Вы можете видеть позади нас.  Ее официальное обозначение - Qz247 - это разрушившиеся остатки звезды, жившей пару миллиардов лет назад.
blackhole_part1_intro3 | An accident with our equipment has left my brother in dire need of a rescue, and I need your help. | Из-за несчастного случая с нашим оборудованием мой брат остро нуждается в спасении, и мне нужна ваша помощь.
blackhole_part1_return1 | You've gathered the materials I need! Bring them back to me at Qz247 to complete the contract. | Вы собрали необходимые мне материалы! Привезите их мне на Qz247, чтобы завершить контракт.
blackhole_part1_sendingshuttle | I'm sending a shuttle to you now, Captain. Get your crew to load the Hyperspace Isotopes for me. | Я отправляю к Вам Челнок, капитан. Пусть Ваш экипаж загрузит для меня Гиперпространственные изотопы.
blackhole_part1_setup2 | Thank you for offering your services, Captain. | Спасибо, что предложили свои услуги, капитан.
blackhole_part1_setup3 | The Stargate project funded our research from the beginning.  They buy all the data we can collect, and the closer we travel to the event horizon, the more data our sensors receive. Every mission, we'd push ourselves to go closer. | Проект Звездные врата финансировал наши исследования с самого начала.  Они покупают все данные, которые мы можем собрать, и чем ближе мы к горизонту событий, тем больше данных получают наши сенсоры. Каждую миссию мы заставляли себя подходить ближе.
blackhole_part1_setup4 | The last time, we pushed it too far.  My brother Marcus took the sensor ship and flew closer than we've ever been before.  Right to the edge.  Closer than anyone has ever been. | В последний раз мы зашли слишком далеко.  Мой брат Маркус взял корабль-сенсор и полетел ближе, чем мы когда-либо были.  Прямо к краю.  Ближе, чем кто-либо когда-либо был.
blackhole_part1_setup5 | I've lost all contact, and he's been down there for a long time now.  He's still showing on the sensors, and his ship is still intact.  The gravitational forces and time dilation will be extreme.  But with your help, we're going to rescue him. | Я потерял с ним связь, а он уже давно там.  Он все еще виден на сенсорах, и его корабль все еще цел.  Гравитационные силы и замедление времени будут очень сильными.  Но с вашей помощью мы его спасем.
blackhole_part1_setup6 | There's only one way to get to him without falling into the black hole ourselves.  We're going to have to do an extremely short range HYPERSPACE HOP. | Есть только один способ добраться до него, не провалившись в черную дыру самим.  Нам придется совершить сверхдальний гиперпространственный прыжок.
blackhole_part1_setup6b | Using a modified FTL Drive you'll do one hyperspace hop toward the black hole, rescue my brother Marcus, then turn around and hop right out.  It will be dangerous, but it's the only way to avoid being dragged in ourselves. | Используя модифицированный сверхсветовой привод, вы совершите один гиперпространственный прыжок в сторону черной дыры, спасете моего брата Маркуса, а затем развернетесь и выпрыгнете прямо из нее.  Это будет опасно, но это единственный способ избежать того, чтобы нас самих затянуло внутрь.
blackhole_part1_setup7 | I need materials to synthesise the resources we need.  You can help me with this, while I work on the calculations. I'll need Hyperspace Isotopes - you should be able to collect them easily enough, but you'll need to acquire a Hyperspace Scoop first. | Мне нужны материалы для синтеза необходимых нам ресурсов.  Вы можете помочь мне с этим, пока я буду работать над расчетами. Мне понадобятся Гиперпространственные изотопы - вы должны быть в состоянии собрать их достаточно легко, но сначала вам нужно приобрести Гиперпространственный совок.
blackhole_part1_setup7b | You'll then need to use a Loader to start unloading the isotopes into containers. | Затем вам нужно будет использовать Погрузчик, чтобы начать выгрузку изотопов в Контейнеры.
blackhole_part1_setup8 | I'm building the Hyperspace FTL drive that will allow you to perform the hop.  It's going to need some modifications.  I'll need you to manufacture some parts for me. I know you have manufacturing facilities near the Stargate project.  You should be able to make these parts for me without too much trouble. | Я строю Гиперпространственный Сверхсветовой привод, который позволит вам совершить прыжок.  Потребуется несколько модификаций.  Мне нужно, чтобы вы изготовили для меня некоторые детали. Я знаю, что у вас есть производственные мощности рядом с проектом Звездные врата.  Вы сможете изготовить для меня эти детали без особых проблем.
blackhole_part1_setup9 | Bring those materials back to me, and we can move onto phase 2. | Принесите мне эти материалы, и мы сможем перейти ко второй фазе.
blackhole_part1_title | Black Hole Sun | Солнце Черной Дыры
blackhole_part2_finished1 | Excellent work, Captain.  I'll begin synthesising the FTL charges immediately.  It will take me a little while. | Отличная работа, капитан.  Я немедленно приступлю к синтезу сверхсветовых зарядов.  Это займет у меня немного времени.
blackhole_part2_finished2 | I know the Stargate Project have been in touch and I know they want their data.  I get that, but let's remember the priority is safely recovering my brother.  Sometimes they take people for granted. | Я знаю, что проект Звездные врата был на связи, и я знаю, что они хотят получить свои данные.  Я это понимаю, но давайте помнить, что приоритет - безопасное возвращение моего брата.  Иногда они принимают людей как должное.
blackhole_part2_finished3 | I'll contact you when I'm ready to begin the rescue. | Я свяжусь с вами, когда буду готов приступить к спасению.
blackhole_part2_intro1 | Captain.  My modifications to the FTL Drive are now complete.  We are ready now for phase 2 of my brother's rescue. | Капитан.  Мои модификации сверхсветового привода завершены.  Теперь мы готовы ко второй фазе спасения моего брата.
blackhole_part2_intro2 | Please come and see me and I'll explain what I need from you. | Пожалуйста, зайдите ко мне, и я объясню, что мне от вас нужно.
blackhole_part2_objective_dock | Dock with Julian Martinez | Состыковаться с Джулианом Мартинесом
blackhole_part2_objective_dronebay | Receive Drone Bay | Получить Отсек для дронов
blackhole_part2_objective_drones | Receive Logistics Drone | Получить Логистический дрон
blackhole_part2_objective_lasers | Receive 2x Mining Lasers | Получить 2x Шахтерских лазера
blackhole_part2_objective_mine | Mine Tilium Ore [*X/*Y] | Добыть Тилиевую руду [*X/*Y]
blackhole_part2_objective_refine | Refine Tilium Crystals [*X/*Y] | Переработайте Тилиевые кристаллы [*X/*Y]
blackhole_part2_objective_return | Return the Tilium Crystals to Dr. Martinez [*X/*Y] | Верните Тилиевые кристаллы доктору Мартинесу [*X/*Y]
blackhole_part2_objective_smelter | Receive 1x Smelter | Получить 1х Плавильную печь
blackhole_part2_objective_totilium | Travel to an asteroid belt with Tilium deposits | Отправляйтесь в пояс астероидов с залежами Тилиума
blackhole_part2_return1 | It looks like you have enough Tilium Crystals.  Bring the Tilium Crystals back to me to close the contract. | Похоже, у Вас достаточно Тилиевых кристаллов.  Принесите Тилиевые кристаллы обратно мне, чтобы закрыть контракт.
blackhole_part2_return2 | I'll send the shuttle to collect the Tilium Crystals. Thank you, Captain! | Я отправлю Челнок за Тилиевыми кристаллами. Спасибо, капитан!
blackhole_part2_setup1 | Captain. Thanks for coming. | Капитан. Спасибо, что пришли.
blackhole_part2_setup2 | I've completed work on the modified FTL drive, using those radioactive hyperspace isotopes you provided. | Я закончил работу над модифицированным сверхсветовым приводом, используя радиоактивные Гиперпространственные изотопы, которые вы предоставили.
blackhole_part2_setup3 | With this FTL drive you'll be capable of performing an extremely short range FTL Hop in close proximity to the black hole.  You'll emerge directly on top of my twin brother's ship, and perform the rescue. | С этим сверхсветовым приводом вы сможете совершить сверхсветовой прыжок на очень короткое расстояние в непосредственной близости от черной дыры.  Вы выйдете прямо над кораблем моего брата-близнеца и проведете спасательную операцию.
blackhole_part2_setup4 | You'll need to make two jumps - one in and one out.  I've checked and double checked the calculations.  I'll need your help to make two FTL charges that work with the modified FTL Hop Drive. | Вам придется совершить два прыжка - один туда и один обратно.  Я проверил и перепроверил расчеты.  Мне понадобится ваша помощь, чтобы сделать два сверхсветовых заряда, которые будут работать с модифицированным сверхсветовым Хоп-драйвом.
blackhole_part2_setup5 | I'll need quite a lot of Tilium Crystals for the FTL charges.  Tilium ore can be mined from just about any asteroid belt in the system - but you will need a Mining Laser to do it, and Drones to collect the mineral. | Для сверхсветовых зарядов мне понадобится довольно много Тилиевых кристаллов.  Тилиевую руду можно добывать практически из любого астероидного пояса в системе, но для этого вам понадобится Шахтерский лазер и Дроны для сбора минерала.
blackhole_part2_setup6 | You'll then need a Smelter to process the ore into Tilium Crystals.  I have most of the equipment you'll need here.  If you dock with my ship I can send it over. | Затем вам понадобится Плавильная печь, чтобы перерабатывать руду в Тилиевые кристаллы.  У меня здесь есть почти все необходимое оборудование.  Если вы состыкуетесь с моим кораблем, я могу прислать его.
blackhole_part2_setup7 | Take those Mining Lasers and the drones and find an asteroid belt with some Tilium deposits.  Point the mining lasers at the Tilium and use the drones to collect the mineral. | Возьмите Шахтерские лазеры и Дронов и найдите пояс астероидов с залежами Тилиума.  Направьте Шахтерские лазеры на Тилиум и используйте Дронов для сбора минерала.
blackhole_part2_setup8 | Once you've mined the resource you'll need to refine it into Tilium Crystals using the Smelter I've provided. | После того как вы добыли ресурс, вам нужно будет переработать его в Тилиевые кристаллы с помощью Плавильной печи, которую я вам предоставил.
blackhole_part2_stargate0 | Greetings, Captain.  I'm a representative of the Stargate Project. | Приветствую Вас, капитан.  Я представитель проекта Звездные врата.
blackhole_part2_stargate1 | We heard about your involvement with the Martinez rescue mission and we wanted to offer our support.  The twins have been hugely important to the project from the beginning, and the data they have provided has enabled many of our biggest advancements. | Мы слышали о вашем участии в спасательной операции Мартинеса и хотели предложить свою поддержку.  Близнецы были очень важны для проекта с самого начала, и данные, которые они предоставили, позволили нам добиться многих значительных успехов.
blackhole_part2_stargate2 | When the accident occurred, the younger twin Marcus was collecting vital data on black hole Qz247.  Data that is simply impossible to acquire by any other means.  Data that we need to complete the Stargate. | Когда произошел несчастный случай, младший близнец Маркус собирал важные данные о черной дыре Qz247.  Данные, которые просто невозможно получить никаким другим способом.  Данные, которые нужны нам для завершения строительства Звездных Врат.
blackhole_part2_stargate3 | Their entire operation is funded by us. So I'm sure you believe us when we say that their safe rescue is very important to us - but just as important is the recovery of the data that remains trapped on Marcus' stricken vessel. | Вся их операция финансируется нами. Поэтому я уверен, что вы верите нам, когда мы говорим, что их безопасное спасение очень важно для нас - но не менее важно и восстановление данных, которые остались на поврежденном корабле Маркуса.
blackhole_part2_stargate4 | We see no reason why you can't rescue both Marcus and the critical science data at the same time. If you can recover our data during the rescue, we will pay a substantial bonus. | Мы не видим причин, по которым вы не можете одновременно спасти и Маркуса, и критически важные научные данные. Если вы сможете восстановить наши данные во время спасательной операции, мы выплатим вам значительную премию.
blackhole_part2_stargate5 | Think it over.  We'll be in touch. | Подумайте об этом.  Мы будем на связи.
blackhole_part2_title | Black Hole Sun, Part 2 | Солнце Черной Дыры, часть 2
blackhole_part3_action_control | Control Julian's ship | Управлять кораблем Джулиана
blackhole_part3_action_requestdata1 | Request data | Запросить данные
blackhole_part3_action_requestdata2 | Request more data | Запросить дополнительные данные
blackhole_part3_action_rescue | Rescue Marcus | Спасение Маркуса
blackhole_part3_advert1 | It's time, Captain. I have everything prepared.  With your help, I can finally rescue my brother. | Время пришло, капитан. У меня все готово.  С вашей помощью я наконец-то смогу спасти своего брата.
blackhole_part3_datarecovered | Stargate Project | Проект Звездные врата
blackhole_part3_datarecovered_percent | *X% Data Recovered | *X% восстановленных данных
blackhole_part3_finalscene1 | Marcus, thank God. | Маркус, слава Богу!.
blackhole_part3_finalscene2 | What took you so long? I was down there for hours! | Почему ты так долго? Я был там несколько часов!
blackhole_part3_finalscene3 | Wait, how long has it been? | Подожди, сколько прошло времени?
blackhole_part3_finalscene4 | You were so close to the event horizon. The temporal distortion was huge.  I've been working on your rescue for a long time Marcus. | Ты был так близко к горизонту событий. Временное искажение было огромным.  Я долгое время работал над твоим спасением, Маркус.
blackhole_part3_finalscene5 | How long? | Как долго?
blackhole_part3_finalscene6 | You've been down there for 10 years. | Ты пробыл там 10 лет.
blackhole_part3_finalscene7 | ...! | ...!
blackhole_part3_marcus1 | I was beginning to think you wouldn't be coming!  I've been down here for hours! | Я уже начал думать, что вы не придете!  Я здесь уже несколько часов!
blackhole_part3_marcus2 | Dock your ship with mine, Captain, and tell me when you're ready for me to come on board.  Please hurry! | Состыкуйте свой корабль с моим, капитан, и скажите мне, когда Вы будете готовы принять меня на борт.  Пожалуйста, поторопитесь!
blackhole_part3_marcusdata1 | The Stargate data?  I can send that, Captain, but you'll have to give me a few minutes to access the data and set up the transmission. | Данные о звездных вратах?  Я могу отправить его, капитан, но Вам придется дать мне несколько минут, чтобы получить доступ к данным и настроить передачу.
blackhole_part3_marcusdata2 | Damn it Captain, I don't have time for that!  I don't know how much longer the ship is going to survive like this.  I'll do my best, but you'd better be ready. | Черт возьми, капитан, у меня нет на это времени!  Я не знаю, сколько еще корабль продержится в таком состоянии.  Я сделаю все возможное, но вам лучше быть готовым.
blackhole_part3_marcusrescue1 | I'm onboard, Captain.  Get us out of here! | Я на борту, капитан.  Вытаскивайте нас отсюда!
blackhole_part3_marcuswarning1 | My ship is falling apart from the gravitional forces, Captain.  I've sent the data that I can.  Please hurry and get me off this ship! | Мой корабль разваливается на части под действием гравитационных сил, капитан.  Я отправил все данные, которые мог.  Пожалуйста, поторопитесь и заберите меня с этого корабля!
blackhole_part3_marcuswarning2 | The reactor containment has failed, Captain.  The cabin is being flooded with radiation.  You have to get me out of here! | Защитная оболочка реактора вышла из строя, капитан.  Салон заливает радиация.  Вы должны вытащить меня отсюда!
blackhole_part3_objective_control | Take Control of Julian's ship | Возьмите под контроль корабль Джулиана
blackhole_part3_objective_dock | Dock with the ship | Состыкуйтесь с кораблем
blackhole_part3_objective_jumpin | Jump to the stricken ship | Прыгайте на поврежденный корабль
blackhole_part3_objective_jumpout | Jump away from the black hole | Отпрыгните от черной дыры
blackhole_part3_objective_rescue | Rescue Dr. Marcus Martinez | Спасите доктора Маркуса Мартинеса
blackhole_part3_objective_stargate | Recover the Stargate data | Восстановить данные Звездных врат
blackhole_part3_objective_stargateX | Recover the Stargate data [*X%] | Восстановить данные Звездных врат [*X%]
blackhole_part3_outcomea1 | I'm just glad you're safe. | Я просто рад, что ты в безопасности.
blackhole_part3_outcomea2 | Thank you so much, Captain. I couldn't have succeeded without your help. I'm so grateful you took my call and were here for us when we needed you. | Большое спасибо, капитан. Я не смог бы добиться успеха без Вашей помощи. Я так благодарен, что Вы приняли мой вызов и были рядом, когда мы нуждались в Вас.
blackhole_part3_outcomea3 | Here's your payment, and a little bonus. | Вот ваша оплата и небольшой бонус.
blackhole_part3_outcomeb1 | It was really close.  I can't believe the risk the Captain made you take for that data.  You could easily have been killed. | Это было очень близко.  Не могу поверить, что капитан заставил вас рисковать ради этих данных.  Вас легко могли убить.
blackhole_part3_outcomeb2 | Captain, I spent the best part of a decade planning this rescue.  I don't appreciate you risking it all at the crucial moment.  I didn't think you'd take that kind of risk with his life. | Капитан, я потратил большую часть десятилетия на планирование этого спасения.  Я не благодарен вам за то, что вы рискнули в решающий момент.  Я не думал, что вы так рискуете его жизнью.
blackhole_part3_outcomeb3 | Thank you for your efforts. The contract is closed. | Спасибо за ваши усилия. Контракт закрыт.
blackhole_part3_outcomec1 | Jesus, Marcus! Get the medical team in here now! | Господи, Маркус! Вызовите сюда бригаду медиков, немедленно!
blackhole_part3_outcomec2 | What did you do Captain? Why did it take you so long to bring him on board? For what, for some data? | Что вы наделали, капитан? Почему вы так долго не брали его на борт? Ради чего, ради каких-то данных?
blackhole_part3_outcomec3 | His RAD badge is black.  He's been massively irradiated.  How could you do this to us?  I trusted you with this! | Его значок RAD был черным.  Он подвергся массивному облучению.  Как вы могли так поступить с нами?  Я доверил вам это!
blackhole_part3_setup1 | Everything is ready, Captain.  I've produced the Hyperspace Modulators and the FTL fuel is already loaded. | Все готово, капитан.  Я изготовил Гиперпространственные модуляторы, а сверхсветовое топливо уже загружено.
blackhole_part3_setup2 | You'll be performing the rescue using my ship, using my modified FTL drive that is already installed onboard. You can take control of my ship when you are ready to begin the rescue. | Вы будете проводить спасательные операции на моем корабле, используя мой модифицированный сверхсветовой привод, который уже установлен на борту. Вы сможете взять управление моим кораблем, когда будете готовы приступить к спасению.
blackhole_part3_setup3 | This has been a long time coming, Captain.  I've been working on this rescue for years.  Time dilation effects from the Black Hole mean that only a few hours will have passed for my brother.  It will be a surprise to him just how much time has passed when you bring him out. | Этого давно следовало ожидать, капитан.  Я работал над этим спасением несколько лет.  Эффект замедления времени из-за Черной Дыры означает, что для моего брата прошло всего несколько часов.  Для него будет сюрпризом, сколько времени прошло, когда Вы его вытащите.
blackhole_part3_setup4 | Let's run over the plan one last time.  You're going to perform an incredibly short range Hyperspace Hop, and you'll emerge directly on top of my brother's ship.  Dock with his ship, rescue him and then get out of there.  Hop in, Rescue, Hop out. | Давайте в последний раз повторим план.  Вы совершите невероятно короткий гиперпространственный прыжок и выйдете прямо на корабль моего брата.  Состыкуйтесь с его кораблем, спасите его, а затем убирайтесь оттуда.  Запрыгните, спасите, выпрыгните.
blackhole_part3_setup5 | Once you take control of my ship, you'll find the location of Marcus' ship programmed into your Sector Map.  You will be jumping directly toward the black hole.  You should expect turbulance. | Как только вы возьмете под контроль мой корабль, вы обнаружите, что местоположение корабля Маркуса запрограммировано в вашей карте сектора.  Вы прыгнете прямо к черной дыре.  Ожидайте турбулентности.
blackhole_part3_setup6 | You won't have long.  Be as quick as you can and jump out of there when you're done. | У вас не будет много времени.  Будьте как можно быстрее и выпрыгивайте, когда закончите.
blackhole_part3_setup7 | Good luck, Captain. I'll see you on the other side. | Удачи, капитан. Увидимся на другой стороне.
blackhole_part3_stargate1 | Greetings, Captain.  Good luck with the rescue.  Remember the data onboard Marcus' ship is extremely valuable to us.  You'll need Marcus to transmit the data from his console before you can complete the rescue. | Приветствую Вас, капитан.  Удачи в спасении.  Помните, что данные на борту корабля Маркуса очень ценны для нас.  Вам нужно, чтобы Маркус передал данные со своей консоли, прежде чем Вы сможете завершить спасение.
blackhole_part3_stargate2 | Losing that data will set the Stargate project back years. | Потеря этих данных отбросит проект Звездных врат на много лет назад.
blackhole_part3_stargateoutcomea1 | We're really disappointed in your choices, Captain.  You've let us down and you've let the whole Stargate Project down, with your incredibly narrow thinking. | Мы очень разочарованы Вашим выбором, капитан.  Вы подвели нас и подвели весь проект Звездные врата своим невероятно узким мышлением.
blackhole_part3_stargateoutcomea2 | The data you received is so incomplete that is is rendered virtually useless.  There will be no further bonus from us. | Полученные вами данные настолько неполны, что практически бесполезны.  Больше никаких бонусов от нас не будет.
blackhole_part3_stargateoutcomeb1 | Well done on retrieving some of the data, Captain.  We would have preferred all of it, but we appreciate the rescue was under extreme duress. | Молодцы, что смогли восстановить часть данных, капитан.  Мы бы предпочли получить их все, но мы понимаем, что спасение происходило в крайне тяжелых условиях.
blackhole_part3_stargateoutcomeb2 | Our payment has been scaled accordingly with the volume of data received. | Наша выплата была соответственно увеличена в зависимости от объема полученных данных.
blackhole_part3_stargateoutcomec1 | Congratulations, Captain, on successfully recovering the science data from the stricken vessel.  This data represents a huge step forward in our understanding of high energy physics, and will hugely accelerate the Stargate Program. | Поздравляем Вас, капитан, с успешным извлечением научных данных с потерпевшего крушение корабля.  Эти данные представляют собой огромный шаг вперед в нашем понимании физики высоких энергий и значительно ускорят программу Звездные врата.
blackhole_part3_stargateoutcomec2 | We're sorry to hear about the condition of Dr. Marcus Martinez.  In all honesty it is a miracle any rescue was even possible, given the circumstances. | Мы сожалеем о состоянии доктора Маркуса Мартинеса.  По правде говоря, это просто чудо, что спасение вообще стало возможным, учитывая обстоятельства.
blackhole_part3_stargateoutcomec3 | Please accept our payment as a sign of our gratitude. We look forward to continuing to work with you. | Пожалуйста, примите наш платеж в знак нашей благодарности. Мы надеемся на дальнейшее сотрудничество с вами.
blackhole_part3_title | Black Hole Sun, Part 3 | Солнце Черной Дыры, часть 3
blackhole_shipname_julian | Julian Martinez | Джулиан Мартинес
blackhole_summary | Help Dr. Martinez rescue his brother. | Помогите доктору Мартинесу спасти своего брата.
