shipeditor_shipyardrequired2 | чтобы применить ваши изменения
stargatesectorwarning_harken_1 | Капитан, новый сектор необходимо исследовать, прежде чем ваша карта сектора будет заполнена системами. Мы проводим полное сканирование сектора, как только оно будет завершено, на вашей карте появятся новые локации.
stargatesectorwarning_harken_2 | В системах, исследованных до сих пор, мы нашли новые ресурсы и суровые погодные системы, что может быть лишь проблеском того, что ждет нас в этом секторе.
stargatesectorwarning_harken_3 | Кто знает, что вы можете найти здесь. Будьте осторожны, Капитан.
stations_title | СТАНЦИИ
steamstore_button | Посетить Магазин Steam
steamworkshopmenu_close | Закрыть
steamworkshopmenu_loadselectedsavegame | Загрузить
steamworkshopmenu_loadselectedship | Загрузить
steamworkshopmenu_publishedsavegamelistlabel | Опубликованные Сохранения
steamworkshopmenu_publishedshiplistlabel | Опубликованные Корабли
steamworkshopmenu_refreshpublishedsavegamelist | Обновить Список
steamworkshopmenu_refreshpublishedshiplist | Обновить Список
steamworkshopmenu_refreshsubscribedsavegamelist | Обновить Список
steamworkshopmenu_refreshsubscribedshiplist | Обновить Список
steamworkshopmenu_savegamelegalagreementbutton | условия использования мастерской
steamworkshopmenu_savegamelegalagreementtext | Публикуя это, вы принимаете
steamworkshopmenu_savegamesectionlabel |  ========================== Сохранения ==========================
steamworkshopmenu_shiplegalagreementbutton | условия использования мастерской
steamworkshopmenu_shiplegalagreementtext | Публикуя это, вы принимаете
steamworkshopmenu_shipsectionlabel |  =============================== Корабли ===============================
steamworkshopmenu_subscribedsavegamelistlabel | Загруженные Сохранения
steamworkshopmenu_subscribedshiplistlabel | Загруженные Корабли
steamworkshopmenu_title | Меню Мастерской Steam
steamworkshopmenu_updateselectedsavegame | Обновить Выбранное
steamworkshopmenu_updateselectedship | Обновить Выбранное
steamworkshopmenu_uploadsavegame | Опубликовать
steamworkshopmenu_uploadsavegamedesclabel | Описание
steamworkshopmenu_uploadsavegameprogress |  =
steamworkshopmenu_uploadsavegametitlelabel | Название
steamworkshopmenu_uploadship | Опубликовать
steamworkshopmenu_uploadshipdesclabel | Описание
steamworkshopmenu_uploadshipprogress |  =
steamworkshopmenu_uploadshiptitlelabel | Название
survey_captionmultiple | *X слоев исследуют
survey_captionnone | Исследование не ведется
survey_captionsingle | Исследуется *X
survey_completed | ИССЛЕДОВАНИЕ ЗАВЕРШЕНО
survey_local_award_caption | *X *Y Разблокировано
survey_local_noequipment | НЕ УСТАНОВЛЕНЫ СУПЕРКОМПЬЮТЕРЫ
survey_sector_award_caption | *X доступно для исследования
survey_sector_award_title | ИССЛЕДОВАНИЕ ДОСТУПНО
survey_sector_caption | *X сканирует регион
survey_sector_nothingtoscan | РЕГИОН ПОЛНОСТЬЮ ОТСКАНИРОВАН
survey_sector_title | СКАНИРОВАНИЕ СЕКТОРА
survey_title | НЕИССЛЕДОВАННЫЙ *X
survey_type_asteroid | Астероидный пояс
survey_type_colony | Колония
survey_type_derelict | Заброшенный объект
survey_type_nebula | Туманность
survey_type_storm | Шторм
survivalend_quitmessage | После долгого и опасного путешествия выжившие оказались в новой и неизведанной галактике.  Те, кто остался позади, столкнулись с отчаянной кочевой жизнью.  Но те, кто совершил прыжок, сталкиваются с еще более неопределенным будущим.  Выживание человечества остается на грани...
survivalend_quitmessage1 | Мы надеемся, что вам понравилось играть в демо-версию The Last Starship. Ваше путешествие только началось!  Разблокируйте полную версию игры, чтобы исследовать больше Сюжетных Эпизодов, Режим Выживания, Режим Арены, полный Редактор Кораблей и многое другое!
tactical_damaged | ПОВРЕЖДЕН
tactical_detach_all | ОТСТЫКОВАТЬ ВСЕ
tactical_docked | --- ПРИСТЫКОВАН ---
tactical_evasion | УКЛОНЕНИЕ
tactical_fire | ОГОНЬ
tactical_hold | УДЕРЖИВАТЬ
tactical_lowpower | НИЗКАЯ МОЩНОСТЬ
tactical_maneuvering | МАНЕВРИРОВАНИЕ
tactical_reloading | ПЕРЕЗАРЯДКА
tactical_throttle | СКОРОСТЬ
tactical_undock | ОТСТЫКОВАТЬСЯ
tactical_velocity | СКОРОСТЬ
tactical_weapons | ОРУЖИЕ
tagline | ПОСЛЕДНИЙ ЗВЕЗДОЛЕТ
techtree_accept | Начать Исследование
techtree_available | ДОСТУПНО
techtree_available_title | ДОСТУПНО ИССЛЕДОВАНИЕ
techtree_availablecredits | Доступно Чипов: *X
techtree_award_title | ИССЛЕДОВАНИЕ ЗАВЕРШЕНО
techtree_blueprint | Чертеж
techtree_boosts | Бонусы Производительности:
techtree_busy | ИССЛЕДОВАТЕЛИ ЗАНЯТЫ
techtree_cannot_afford | НЕ ХВАТАЕТ НА ИССЛЕДОВАНИЕ
techtree_collection | Коллекция
techtree_computationPoints | Очки Вычислений:
techtree_cost_CP | Стоимость: *X ОВ
techtree_cost_RP | Стоимость: *X ОИ
techtree_cost_RP+CP | Стоимость: *X ОИ + *Y ОВ
techtree_creditsrequired | ТРЕБУЕТСЯ ЧИПОВ: *X/*Y
techtree_currentResearch | Сейчас Исследуется:
techtree_deselect | Отменить Выбор
techtree_editor_reset | ОБНОВИТЬ ДЕРЕВО
techtree_editor_save | СОХРАНИТЬ ИЗМЕНЕНИЯ
techtree_in_progress | ИССЛЕДОВАНИЕ В ПРОЦЕССЕ
techtree_lose_progress | Начало нового исследовательского проекта приведет к тому, что весь прогресс будет утерян.
techtree_missing_equipment | Для завершения этого исследовательского проекта требуется *X
techtree_node_caption_advancedtracks | Открывает возможность преобразовать конвейеры в разделители и наоборот. Разделители будут равномерно распределить предметы между выходными направлениями.
techtree_node_caption_Automation | Открывает чертежи для Конвейеров и Рук Робота
techtree_node_caption_CompactAutomation | Открывает чертеж для Короткой Руки Робота
techtree_node_caption_deflectorbeams | Открывает чертежи для постройки оборонительной системы, которая может отклонить входящие пушечные снаряды
techtree_node_caption_droneassembly | Открывает чертежи для создания Логистических Дронов
techtree_node_caption_droneintelligence | Улучшает дронов, чтобы они собирали минералы пачками, значительно ускоряя процесс
techtree_node_caption_dronespeed1 | Увеличивает максимальную скорость Дронов на 50%
techtree_node_caption_dronespeed2 | Увеличивает максимальную скорость Дронов на 100%
techtree_node_caption_dronespeedrepeatable | Тратьте чипы данных, чтобы постоянно увеличивать скорость наших дронов.
techtree_node_caption_EnergyTransmission | Открывает чертеж для Передатчика Энергии и Приемника
techtree_node_caption_habitation | Открывает улучшения эффективности для всех областей жизнеобеспечения и выживания экипажа
techtree_node_caption_hydroponics1 | Улучшает урожайность для производства большего количества еды за цикл
techtree_node_caption_hydroponics2 | Дополнительно улучшает урожайность и открывает чертежи для производства Гидропонных Модулей
techtree_node_caption_hydroponicsrepeatable | Тратьте чипы данных, чтобы постоянно увеличивать нашу урожайность.
techtree_node_caption_Logistics1 | Открывает чертежи для малого логистического хранилища
techtree_node_caption_Logistics2 | Открывает чертежи для среднего хранилища
techtree_node_caption_Logistics3 | Открывает чертежи для большого логистического хранилища
techtree_node_caption_Metallurgy1 | Плавильные Печи производят на 50% больше продукции
techtree_node_caption_Metallurgy2 | Плавильные Печи производят на 100% больше продукции
techtree_node_caption_metallurgyrepeatable | Тратьте чипы данных, чтобы постоянно увеличивать эффективность нашей плавки.
techtree_node_caption_mininglaseraccuracy | Шахтерские Лазеры добывают в два раза больше минералов за выстрел
techtree_node_caption_mininglaseraccuracy2 | Шахтерские Лазеры добывают в три раза больше минералов за выстрел
techtree_node_caption_neubidiumfabrication | Насыщайте накопители энергии Нейбидиумом, обеспечивая им повышенную эффективность и улучшенные проводящие свойства.
