tutorial_stargatejumpsuccess | Отлично. Теперь вы можете совершать прыжки между секторами!
tutorial_surveysuccess | На карте сектора появилась новая система для исследования вашим флотом!\n\nОтлично, теперь вы научились использовать сканирование сектора для поиска и исследования новых систем.\n\nСледите за особыми предметами на исследованных заброшенных кораблях, которые могут быть исследованы вашими научными станциями.
tutorial_trade_title | ТОРГОВЛЯ
tutorial_tradebuyminerals | <b>ЖЕЛЕЗНАЯ РУДА</b> может быть переплавлена в <b>ЖЕЛЕЗНЫЕ СЛИТКИ</b> так же, как <b>МЕТАЛЛОЛОМ</b>.\n\nДобавьте всю <b>ЖЕЛЕЗНУЮ РУДУ</b> в сделку.
tutorial_tradebuymore | Это хорошая возможность запастись некоторыми другими ресурсами, которые критически важны для жизнеобеспечения.\n\nМы рекомендуем вам купить:\n\n - 2x <b>ТОПЛИВО</b>\n - 2x <b>КИСЛОРОД</b>\n - 2x <b>ВОДА</b>\n - 2x <b>ЕДА</b>\n\n- <b>НАНЯТЬ</b> 5 <b>ЧЛЕНОВ ЭКИПАЖА</b>\n\n<b>ПОДТВЕРДИТЕ</b> заказ, когда закончите.
tutorial_tradebuysmelter | Нам также понадобится еще одна <b>ПЛАВИЛЬНАЯ ПЕЧЬ</b>, чтобы начать переработку этой <b>ЖЕЛЕЗНОЙ РУДЫ</b>.\n\nНайдите <b>ПЛАВИЛЬНУЮ ПЕЧЬ</b> на вкладке <b>ПРОМЫШЛЕННОСТЬ</b> и добавьте одну в заказ.
tutorial_tradeinstallsmelter | Как только эти товары прибудут, вам следует установить вашу вторую <b>ПЛАВИЛЬНУЮ ПЕЧЬ</b> где-нибудь рядом с первой.
tutorial_tradeothersupplies | Мы можем использовать систему <b>ТОРГОВЛЯ</b> для покупки сырья для производства большего количества <b>РАМ ЗВЕЗДНЫХ ВРАТ</b>, а также ресурсов, которые нам понадобятся для выживания.\n\nСнова откройте экран <b>ТОРГОВЛЯ</b>.
tutorial_tradesmeltmetallicminerals | Настройте <b>ПЛАВИЛЬНУЮ ПЕЧЬ</b> на переработку купленной <b>ЖЕЛЕЗНОЙ РУДЫ</b> в больше <b>ЖЕЛЕЗНЫХ СЛИТКОВ</b>.
tutorial_tradewaitforsellable | Ваш экипаж теперь будет использовать оборудование для производства <b>РАМ ЗВЕЗДНЫХ ВРАТ</b>.
tutorial_tutorialend | [Конец обучения - Альфа 11]
tutorial_tutorialskip | Вы уверены, что хотите пропустить обучение?
tutorial_tutorialskipno | ПРОДОЛЖИТЬ ОБУЧЕНИЕ
tutorial_tutorialskipyes | ПРОПУСТИТЬ ОБУЧЕНИЕ
tutorial_wrapup_title | КОНЕЦ ОБУЧЕНИЯ
tutorial_wrapup1 | Мы рассмотрели основы. Вы научились устанавливать оборудование на ваш корабль и перемещаться в космосе.
tutorial_wrapup2 | Карьера, которую вы выберете, теперь зависит от вас.  Есть много возможностей на выбор, и вы узнаете больше по мере работы.\n\nОткройте доску <b>КОНТРАКТЫ</b>.
tutorial_wrapup3 | Теперь вам доступно много различных типов контрактов.\n\nОднако вы должны оставаться начеку, Капитан. Есть сообщения о еще более прибыльных возможностях, которые вам придется найти самостоятельно.
tutorial_wrapup4 | Внимательно следите за особыми системами на карте, вы никогда не знаете, кого или что вы можете там найти.
tutorial_wrapupfinal | Что бы вы ни выбрали, дополнительные инструкции будут даны при необходимости.\n\nЭто зависит от вас, что вы будете делать дальше.
warning_deliveryblocked | ДОСТАВКА ЗАБЛОКИРОВАНА
warning_storagerequired | СОЗДАЙТЕ ЗОНЫ ХРАНЕНИЯ
warning_suitsrequired | ТРЕБУЮТСЯ КОСМИЧЕСКИЕ СКАФАНДРЫ
warning_unbreathable | НЕПРИГОДНО ДЛЯ ДЫХАНИЯ
welfare_overlay_dehydrated | ЭКИПАЖ ОБЕЗВОЖЕН
welfare_overlay_famished | ЭКИПАЖ ИЗМОЖДЕН
welfare_overlay_hungry | ЭКИПАЖ ГОЛОДЕН
welfare_overlay_severely_dehydrated | ЭКИПАЖ СИЛЬНО ОБЕЗВОЖЕН
welfare_overlay_starving | ЭКИПАЖ ГОЛОДАЕТ
welfare_overlay_thirsty | ЭКИПАЖ ИСПЫТЫВАЕТ ЖАЖДУ
wishlist_button | Добавить В Список Желаний
wolf_character_harken | Командир Харкен
wolf_character_harken_short | КОМАНДИР ХАРКЕН
wolf_character_ryker | Капитан Амелия Райкер
wolf_episode_title | Волк В Овечьей Шкуре
wolf_part1_action_collectwreckage | Собрать Обломки
wolf_part1_action_deliver | Доставить
wolf_part1_action_payscavenger | Заплатить Мусорщику $*X
wolf_part1_completion1 | Мы проанализировали записи бортовых самописцев, и доказательства уже довольно ясны.  Где-то там пиратский корабль, охотящийся на ценные коммерческие суда.  Они ждут в тишине, пока корабль не окажется один, изолированный и беззащитный.  Они появляются из ниоткуда и атакуют без предупреждения, и прежде чем кто-либо может отреагировать, они уничтожают корабль и грабят груз.
wolf_part1_completion2 | Вероятнее всего, для продажи с огромной прибылью Проекту Звездные Врата - которые, похоже, не стремятся задавать вопросы.
wolf_part1_completion3 | Пока они не оставили ни одного живого свидетеля. Но данные сенсоров рассказывают всю историю. Нам удалось извлечь еще одно сенсорное изображение нападавшего.
wolf_part1_completion4 | Это еще одна зернистая фотография, но это все, на что мы можем опираться.  Это без сомнения корабль, ответственный за всю эту смерть и разрушение.
wolf_part1_completion5 | Нам нужно найти способ выследить их и уничтожить.  Мы скоро свяжемся с вами, Капитан.
wolf_part1_completion6 | А пока мы предлагаем вам позаботиться о ваших кораблях. Если вы получили повреждения, вы можете отремонтировать корпус на любой ВЕРФИ. Используйте средства, которые мы отправили, для модернизации вашей защиты.
wolf_part1_dronehint | Вашему кораблю понадобится отсек для дронов и дроны для сбора бортового самописца.
wolf_part1_firstrecorder | Вы восстановили бортовой самописец! Привезите его ко мне. Я на борту The Vanguard - отправляю наше местоположение сейчас.
wolf_part1_firstwreckage | Как только вы соберете все Обломки Корабля, привезите их ко мне вместе с Бортовыми Самописцами. Я на борту The Vanguard - отправляю наше местоположение сейчас.
wolf_part1_flightrecordercount | Вы доставили *X/*Y Бортовых Самописцев
wolf_part1_intro1 | Меня зовут Командир Харкен, и я Начальник Частной Охраны сектора.
wolf_part1_intro2 | Вы нашли останки Interstellar Prospector. Пожалуйста, привезите его Бортовой Самописец ко мне, и я объясню больше.
wolf_part1_intro3 | Для сбора Бортового Самописца вам понадобятся Дроны, запускаемые из Отсека Для Дронов на вашем корабле.  Если у вас еще нет этого оборудования, вам нужно будет купить как минимум один ОТСЕК ДЛЯ ДРОНОВ и как минимум один ЛОГИСТИЧЕСКИЙ ДРОН на любой колонии или верфи.
wolf_part1_objective_drones | Установить Отсек Для Дронов и как минимум один Логистический Дрон
wolf_part1_objective_recoverbox1 | Восстановить Бортовой Самописец с UMC Interstellar Prospector
wolf_part1_objective_recoverbox2 | Восстановить Бортовой Самописец с UMC Infinite Horizon
wolf_part1_objective_recoverbox3 | Восстановить Бортовой Самописец с UMC Celestial Hauler
wolf_part1_objective_recoverwreckage | Собрать обломки UMC Stellar Horizon из Системы S*X [*Y/*Z]
wolf_part1_objective_returnfirstrecorder | Вернуть Бортовой Самописец Командиру Харкену
wolf_part1_objective_returnrecorders | Вернуть Бортовые Самописцы Командиру Харкену [*Y/*Z]
wolf_part1_objective_returnwreckage | Вернуть Обломки Командиру Харкену [*Y/*Z]
wolf_part1_objective_scavenger | Восстановить Бортовой Самописец у Корабля Мусорщиков
wolf_part1_recorderhint | Бортовой самописец должен быть рядом с заброшенным L*X. Двигайтесь к нему, чтобы ваши дроны могли его подобрать.
wolf_part1_recoverwreckage | ОБЛОМКИ
wolf_part1_scavenger1 | Заполучил кое-что, что вы, возможно, ищете.  Запись криков и помех из последних моментов корабля.  Вы хотите её, я знаю это.  Право мусорщика говорит, что она моя.
wolf_part1_scavenger2 | К счастью для вас, вы можете получить свои драгоценные данные, пока я получу свою плату за находку.  Это будет стоить вам $*X за секреты.  Обманите меня, и это будет последняя ошибка, которую вы совершите.
wolf_part1_scavenger3 | Средства получены. Приятно иметь дело.
wolf_part1_scavenger4 | Мы выбросим ваш Бортовой Самописец из грузового отсека и отправимся в путь.
wolf_part1_sendingshuttle | Ожидайте, пока я пристыкую свой корабль к вашему, Капитан, чтобы забрать предметы, которые вы восстановили. Спасибо за ваши усилия.
wolf_part1_sendingwreckage | Они отправляют восстановленные обломки на ваш корабль L*X сейчас, Капитан. Они скоро прибудут на Челноке. Вам нужно будет хранить их где-то на борту.
wolf_part1_setupcall1 | Спасибо за возвращение бортового самописца, Капитан.
wolf_part1_setupcall1b | Мы на пороге серьезного кризиса.  Коммерческие суда, груженные ценным грузом, подвергаются атакам и уничтожаются.  Эти суда находятся под нашей защитой - но часто не имеют серьезной защиты и едва успевают отправить сигнал бедствия, прежде чем их ограбят.  Это спланированное нападение на свободную рыночную торговлю и промышленность в этом секторе может продолжаться.
wolf_part1_setupcall2 | Я отправляю вам координаты еще двух пострадавших судов, указывающие их последние известные местоположения перед тем, как они пропали.  Нам нужно, чтобы вы отправились к обломкам каждого из этих кораблей и собрали все доказательства, которые сможете.
wolf_part1_setupcall3 | Основная цель - безопасное восстановление их Бортовых Самописцев, которые будут содержать журнал их последних моментов.
wolf_part1_setupcall4 | Вот координаты двух кораблекрушений, которые нам нужно, чтобы вы посетили.
wolf_part1_setupcall5 | Четвертому судну, ставшему целью, удалось отправить сигнал бедствия. Местные силы безопасности отреагировали слишком поздно и не нашли ничего, кроме разрушенного корабля с предполагаемой потерей всего экипажа.
wolf_part1_setupcall5b | Это единственное изображение, которое им удалось отправить, прежде чем их передача оборвалась.
wolf_part1_setupcall6 | Обломки - которые являются криминалистическими доказательствами их судьбы - были собраны и доставлены обратно в Систему S*X, где они в настоящее время находятся на хранении.  Нам нужно, чтобы вы отправили корабль для сбора обломков и привезли их к нам вместе с восстановленными модулями бортовых самописцев.
wolf_part1_setupcall7 | Привезите все восстановленные обломки и бортовые самописцы обратно ко мне для анализа на борту моего корабля The Vanguard, чтобы завершить контракт.
wolf_part1_title | Волк В Овечьей Шкуре
wolf_part1_wreckagecount | Вы доставили *X/*Y Обломков Корабля
wolf_part2_advertisement | Капитан. Мы готовы продолжить нашу охоту на пиратский корабль. Пожалуйста, встретьтесь со мной в отмеченном месте.
wolf_part2_debrief1 | Я ценю вашу скорость в спасении экипажа Orion Sentinel, Капитан.
wolf_part2_debrief2 | К сожалению, я должен сообщить вам, что Капитан Райкер, похоже отсутствует среди выживших.  Её жертва будет не будет забыта.
wolf_part2_debrief3 | Мы не знаем, когда и где пиратский корабль нанесет удар снова. Но мы должны быть готовы.  Чем больше мы анализируем их атаки, тем очевиднее становится закономерность.
wolf_part2_debrief4 | Спасибо, Капитан.  Защитите свой флот и ждите нашего звонка.
wolf_part2_distress1 | Это Капитан Амелия Райкер с судна UMC Orion Sentinel.  Мы подвергаемся атаке!  Они появились из ниоткуда и открыли по нам огонь без предупреждения и не реагируют ни на одно из моих сообщений.
wolf_part2_distress2 | Я пытаюсь сдержать их, но мне нужна помощь.  Мои двигатели повреждены.  Системы корабля вышли из строя.  Пожалуйста, поторопитесь, у меня на борту 40 членов экипажа!
wolf_part2_dropoff1 | Молодец, Капитан.  Ваше вмешательство предотвратило дальнейшую потерю жизней.  И теперь мы знаем, что пиратский корабль управляется трусами, факт, который мы намерены использовать в свою пользу.
wolf_part2_dropoff2 | А пока доставьте выживших на ближайшую верфь или колонию и высадите их там, чтобы закрыть контракт.
wolf_part2_inperson_distress1 | Капитан, слава богу, вы здесь! Помогите нам!
wolf_part2_inperson_distress2 | Мы долго не продержимся.
wolf_part2_inperson_distress3 | Похоже, они развернулись и убежали, когда увидели, что вы прибыли, Капитан.  Но мой корабль на грани. Реактор долго не продержится.
wolf_part2_inperson_distress4 | Чтобы спасти мой экипаж, вам нужно будет подойти ближе и начать процедуры стыковки. Используйте ваши маневровые двигатели, чтобы выровнять ваш стыковочный порт с нашим, в ТАКТИЧЕСКОМ режиме.
wolf_part2_inperson_distress5 | Я подготовлю экипаж к эвакуации. Пожалуйста, поторопитесь!
wolf_part2_inperson_distress6 | Реактор достигает критических уровней, Капитан.  Я не могу остановить его от перегрузки.
wolf_part2_inperson_distress7 | Я попытаюсь выиграть вам еще несколько секунд, но он достигнет критической точки в любой момент.  Отойдите на безопасное расстояние как можно скорее, Капитан.  Спасите мой экипаж!
wolf_part2_objective_dock | Пристыковаться к UMC Orion Sentinel
wolf_part2_objective_dropoff | Высадить выживших на любой верфи или колонии [*X/*Y]
wolf_part2_objective_escape | Отойти на безопасное расстояние до взрыва Orion Sentinel
wolf_part2_objective_rescue | Спасти экипаж UMC Orion Sentinel [*X/40]
wolf_part2_objective_thrusters | Установить четыре маневровых двигателя на ваш корабль [*X/4]
wolf_part2_objective_visitharken | Отправиться к Командиру Харкену
wolf_part2_rescued | Спасено *X/*Y членов экипажа
wolf_part2_setup1 | Спасибо, что пришли, Капитан.
wolf_part2_setup2 | Мы пытались выследить пиратский корабль, но безуспешно. Мы продолжаем прибывать на место, чтобы найти уничтоженные корабли без следа пиратов. Нам нужно чтобы вы-
wolf_part2_setup3 | Это теперь срочная гуманитарная спасательная ситуация. Если мы отреагируем достаточно быстро, нам может просто повезти, и мы найдем экипаж, который сможем спасти.
wolf_part2_setup4 | Вам нужно будет приобрести как минимум четыре Маневровых двигателя для стыковки с кораблем Капитана Райкер.
wolf_part2_setup5 | Время истекает.  Отправьте корабль к Orion Sentinel и окажите любую помощь, которую можете, пока не стало слишком поздно.
wolf_part2_title | Волк В Овечьей Шкуре, Часть 2
wolf_part3_action_chargeemp | Зарядить ЭМИ
wolf_part3_action_triggeremp | Активировать ЭМИ
wolf_part3_advertisement1 | Капитан, мы разработали план, который, как мы полагаем, поймает пиратский корабль на месте преступления.
wolf_part3_advertisement2 | Пожалуйста, приезжайте к нам, и мы объясним цели миссии.
wolf_part3_combat1 | Капитан, мы в пути.  Мобилизуйте свой экипаж и установите эти оружейные системы как можно скорее.
wolf_part3_combat2 | Подкрепление идет.  Сдержите их еще несколько мгновений.
wolf_part3_combat3 | К сожалению, похоже, мы прибыли слишком поздно. Жертва вашего экипажа не будет забыта.
wolf_part3_combat4 | Целься в этот взрыв и огонь!
wolf_part3_debrief1 | Поздравляю, Капитан. Ваши действия в уничтожении Пиратского Корабля превзошли все ожидания!
wolf_part3_debrief2 | Ваше мастерство и храбрость не остались незамеченными. Я выражаю вам свою искреннюю благодарность за вашу помощь.
wolf_part3_debrief3 | В знак признательности считайте Astral Temptress теперь частью вашего флота.
wolf_part3_debrief4 | Корабль должен был быть утилизирован, но мы думаем, что у него может быть еще несколько лет в его конструкции.
wolf_part3_debrief5 | Прощайте, Капитан. Ваша преданность справедливости и безопасности нашего сектора не будет забыта.
wolf_part3_emp1 | Мы нашли их! Это наш шанс.
wolf_part3_emp2 | Зарядите оружие ЭМИ и приготовьтесь ударить их там, где это действительно больно. Пусть они подойдут ближе. Очень близко.
wolf_part3_emp3 | Они в радиусе действия! Активируйте ЭМИ от вашего Гипердвигателя сейчас!
wolf_part3_emptysystem1 | Эта система именно такая, где пираты могут атаковать.
wolf_part3_emptysystem2 | Продолжайте выглядеть занятым и отправляйтесь в другую пустую систему, пираты, должно быть, уже на вашем следу.
wolf_part3_episodesystem1 | Мы получили разведданные, что эта система слишком особенная, чтобы рисковать заманить сюда пирата.
wolf_part3_episodesystem2 | Старайтесь избегать систем с другой важной активностью.
wolf_part3_intro1 | Мы разработали план, который, как мы полагаем, поймает пиратский корабль на месте преступления.  Мы с ударным отрядом готовы привлечь их к ответственности, и нам нужна ваша помощь, чтобы организовать ловушку.
wolf_part3_intro2 | Это рискованная миссия, поможете ли вы нам?
wolf_part3_objective_chargeemp | Зарядить ЭМИ [*X%]
wolf_part3_objective_destroypirate | Уничтожить Пиратский Корабль
wolf_part3_objective_dockastral | Пристыковаться к Astral Temptress и укомплектовать корабль экипажем [*X/*Y]
wolf_part3_objective_getclose | Позволить пиратам подойти ближе
wolf_part3_objective_gotoharken | Отправиться к кораблю Командира Харкена
wolf_part3_objective_installweapons | Установить пушки и подключить их к энергосети. [*X/*Y]
wolf_part3_objective_jumparound | Прыгать на Astral Temptress в пустые системы до атаки
wolf_part3_objective_survive | Выжить до прибытия ударного отряда
wolf_part3_objective_triggeremp | Активировать ЭМИ
wolf_part3_otherships1 | В этой системе есть другие корабли. Пираты не нападут на вас, если не увидят грузовой корабль в одиночестве!
wolf_part3_otherships2 | Старайтесь избегать оживленных систем с колониями или верфями.
wolf_part3_ranaway1 | Мы почти их поймали! Ваше сотрудничество имеет решающее значение для успешного проведения этой операции.
wolf_part3_ranaway2 | Пираты, вероятно, все еще на вашем следу, думая, что вы испугались, прыгните в пустую систему, чтобы снова выманить их.
wolf_part3_setup1 | Капитан, пришло время привлечь этот пиратский корабль к ответственности за весь ущерб, который они нанесли, и за все жизни, которые они забрали.
wolf_part3_setup2 | UMC Astral Temptress - это приманка в нашей ловушке.  Это дальнобойный коммерческий грузовой корабль, который должен был быть утилизирован.  Мы хотим, чтобы вы взяли Astral Temptress и путешествовали по самым отдаленным, незащищенным местам в секторе.
wolf_part3_setup3 | Выглядите занятым, выглядите так, будто вы куда-то направляетесь, и выманите их из укрытия.  Они не смогут устоять перед такой легкой целью.
wolf_part3_setup4 | Чего они не осознают, так это того, что вы будете нести несколько тонн передовых военных оружейных систем, готовых к установке и активации в тот момент, когда они подойдут близко.
wolf_part3_setup5 | У нас есть финальный трюк, чтобы выиграть немного времени до прибытия подкрепления.  Мы можем перевернуть энергетическое поле в Гипердвигателе корабля и вызвать массивный всплеск энергии ЭМИ.  Достаточно, чтобы отключить их Гипердвигатель и предотвратить любую возможность побега.
wolf_part3_setup6 | Ваш собственный корабль тоже потеряет энергию - но в последующей суматохе у вас будет время установить ваши оружейные системы и подготовиться к тяжелой битве.
wolf_part3_setup7 | Вам придется сдерживать их пару минут.  Мой ударный отряд совершит боевую высадку практически на вас.  Затем ситуация повернется в нашу пользу.
wolf_part3_setup8 | Помните - пиратский корабль не покажется, если Astral Temptress не будет одна и невооружена. Удачной охоты!
wolf_part3_shipname_cargo | UMC Astral Temptress
wolf_part3_shipname_cargo_a10 | UMC Astral Accident
wolf_part3_shipname_frigate | UMC Celestial Hammer
wolf_part3_shipname_pirate | Pirate Vessel
wolf_part3_title | Волк В Овечьей Шкуре, Часть 3
wolf_part3_uninstallweapons1 | Пираты не клюнут на приманку, если увидят вас вооруженным!
wolf_part3_uninstallweapons2 | Демонтируйте ваше оружие перед следующим прыжком.
wolf_shipname_harken | UMC Vanguard
wolf_shipname_pirate | Unidentified Pirate
wolf_shipname_rescue | Orion Sentinel
wolf_shipname_scavenger | Scavenger Wraith
wolf_shipname_wolf1 | Interstellar Prospector
wolf_shipname_wolf2 | Infinite Horizon
wolf_shipname_wolf3 | Celestial Hauler
