tutorial_battlestationshighlightcrew | Ваш экипаж побежит к оружию, чтобы активировать его.\n\nПулеметы не требуют экипажа для активации.
tutorial_combatselecttarget | Нацельтесь на их оружейные системы, чтобы они не могли нанести вам дальнейший урон.
tutorial_combatstart | Теперь мы изучим основные приемы боя.
tutorial_combatsuccess | Отлично. Вы научились использовать оружие. Теперь огонь по усмотрению по пиратскому кораблю!
tutorial_combatswitchtotacticalview | Переключитесь на режим тактика.
tutorial_docking_title | СТЫКОВКА
tutorial_dockingapproachship_x | Используйте основные двигатели, чтобы приблизиться к *X.
tutorial_dockingcheckthrusters | Чтобы успешно пристыковаться, вашему кораблю нужно как минимум четыре рабочих <b>МАНЕВРОВЫХ ДВИГАТЕЛЯ</b>.\n\nИспользуйте другой корабль или купите и установите четыре маневровых двигателя на ближайшем торговом посту.
tutorial_dockingmaneuver | Используйте <b>МАНЕВРОВЫЕ ДВИГАТЕЛИ</b>, чтобы маневрировать кораблем так, чтобы <b>КРАСНЫЕ</b> ромбы стыковочных портов совпали со стыковочным портом *X.\n\nПри правильном выравнивании они оба станут <b>ЖЕЛТЫМИ</b>.\n\nУдерживайте выравнивание до полного выдвижения стыковочного моста.
tutorial_dockingmaneuverkeys | Используйте элементы управления маневрированием для перемещения корабля в нужную позицию.\n\nТакже можно использовать клавиши <b>{ManoeuvreUp}</b>, <b>{ManoeuvreLeft}</b>, <b>{ManoeuvreDown}</b>, <b>{ManoeuvreRight}</b> для движения и <b>{ManoeuvreClockwise}</b>/<b>{ManoeuvreCounterClockwise}</b> для поворота.
tutorial_dockingopenmaneuver | Откройте элементы управления <b>МАНЕВРОВЫМИ ДВИГАТЕЛЯМИ</b>.
tutorial_dockingstart | Теперь мы научимся стыковать ваш корабль с другим кораблем.
tutorial_dockingsuccess | Отлично. Вы успешно состыковались!
tutorial_dockingswitchtotactical | Для начала переключитесь в режим <b>ТАКТИКА</b>, нажав на кнопку или клавишу <b>{ToggleTactical}</b>.
tutorial_dockingzoomin | Увеличьте масштаб, чтобы лучше видеть направляющие стыковки. Это <b>КРАСНЫЕ</b> ромбы, исходящие от стыковочных портов.
tutorial_dsiclicktodismantle | Любое оборудование можно демонтировать левым кликом.
tutorial_dsiclosedismantle | Мы можем прекратить демонтаж, снова нажав на кнопку демонтажа или закрыв меню строительства.\n\nЗакройте меню, нажав кнопку <b>СТРОИТЕЛЬСТВО</b> или клавишу <b>ESC</b>.
tutorial_dsidismantle | Демонтаж оборудования убирает его с вашего корабля и упаковывает, чтобы вы могли установить его позже.
tutorial_dsidismantletitle | ДЕМОНТАЖ
tutorial_dsihighlightruinedequipment | Это оборудование разрушено, поэтому при демонтаже вы получите металлолом.
tutorial_dsihighlightsmelter | Давайте переплавим металлолом в железные слитки в плавильной печи. Щелкните правой кнопкой мыши по плавильной печи.
tutorial_dsisetrecipe | Щелчок правой кнопкой мыши по оборудованию позволяет установить рецепт. Установите рецепт плавильной печи на металлолом.
tutorial_dsisetupdone | Плавильная печь начнет производить железные слитки после разогрева.
tutorial_dsismelterrecipes | РЕЦЕПТЫ
tutorial_end_title | КОНЕЦ ОБУЧЕНИЯ
tutorial_engines_title | ДВИГАТЕЛИ
tutorial_enginesconnectpipes | Давайте начнем с правого двигателя. Используйте меню труб, чтобы провести трубу от двигателя к вашим существующим желтым топливным линиям.
tutorial_enginesconnectpower | Теперь используйте меню <b>КАБЕЛИ</b>, чтобы подключить двигатель к вашим существующим красным линиям питания.
tutorial_enginesinformation | Для работы двигателям требуются и <b>ЭНЕРГИЯ</b>, и <b>ТОПЛИВО</b>. Подключите двигатель и к топливу, и к энергии.
tutorial_enginesintro | На корабле установлены два заводских двигателя, готовые к работе, но их нужно подключить.
tutorial_enginesoperational | Оба двигателя теперь работают.
tutorial_enginesportside | Повторите процесс для левого двигателя: подключите топливные и энергетические линии, чтобы запустить его.
tutorial_enginesstarboardside | Отличная работа! Правый двигатель теперь запущен.
tutorial_fabrication_title | ПРОИЗВОДСТВО
tutorial_fabricationclosefab1 | Закройте панель оборудования, нажав X в правом верхнем углу или клавишу <b>ESC</b>.
tutorial_fabricationclosefab2 | Закройте панель оборудования, нажав X в правом верхнем углу или клавишу <b>ESC</b>.
tutorial_fabricationconfigureass1 | Нам нужно настроить <b>СБОРОЧНЫЙ СТОЛ</b> таким же образом.\n\nЩелкните <b>ПРАВОЙ КНОПКОЙ МЫШИ</b> по сборочному столу.
tutorial_fabricationconfigureass2 | Выберите <b>РАМА ЗВЕЗДНЫХ ВРАТ</b> из выпадающего меню.
tutorial_fabricationconfigurefab1 | Нам нужно настроить новое оборудование для производства продуктов, которые нам нужны.\n\nЩелкните <b>ПРАВОЙ КНОПКОЙ МЫШИ</b> по <b>ФАБРИКАТОРУ</b>, чтобы настроить его.
tutorial_fabricationconfigurefab2 | Это выпадающее меню показывает все компоненты, которые мы можем производить в <b>ФАБРИКАТОРЕ</b>.\n\nВыберите <b>РАМА</b> из списка.
tutorial_fabricationinstallassemblytable | Затем эти компоненты собираются в готовую продукцию на <b>СБОРОЧНОМ СТОЛЕ</b>.\n\nУстановите <b>СБОРОЧНЫЙ СТОЛ</b> где-нибудь рядом с <b>ФАБРИКАТОРОМ</b>.
tutorial_fabricationinstallfabricator | Компоненты производятся в <b>ФАБРИКАТОРЕ</b> с использованием сырья, такого как <b>ЖЕЛЕЗНЫЕ СЛИТКИ</b>.\n\nУстановите <b>ФАБРИКАТОР</b> где-нибудь в юго-восточном квадранте станции.
tutorial_fabricationpower | Этому новому оборудованию нужна энергия.  Постройте <b>КАБЕЛИ ПИТАНИЯ</b>, чтобы подключить ваш <b>РЕАКТОР</b> к <b>ФАБРИКАТОРУ</b> и <b>СБОРОЧНОМУ СТОЛУ</b>.
tutorial_fabricationworking | Экипаж теперь производит <b>РАМЫ</b> из <b>ЖЕЛЕЗНЫХ СЛИТКОВ</b>, затем собирает эти <b>РАМЫ</b> в <b>РАМЫ ЗВЕЗДНЫХ ВРАТ</b>, которые можно продать проекту <b>ЗВЕЗДНЫЕ ВРАТА</b> с прибылью.
tutorial_finance_title | КОНТРАКТЫ
tutorial_financearrived | Мы прибыли в систему назначения.
tutorial_financeassigntransport | Эта миссия требует от нас перевезти группу людей отсюда в другое место в секторе.\n\nНажмите кнопку принять, чтобы назначить этот контракт кораблю <b>PROCYON</b>.
tutorial_financeclosesectormap | Закройте <b>КАРТУ СЕКТОРА</b>, нажав на X в правом верхнем углу или клавишу <b>ESC</b>.
tutorial_financeftlwindow | Откройте экран <b>ГИПЕРДВИГАТЕЛЬ</b>, чтобы заказать <b>ГИПЕРПРЫЖОК</b>.
tutorial_financehyperspace | Мы в гиперпространстве!
tutorial_financejump | Нажмите кнопку <b>ПРЫЖОК</b>, чтобы прыгнуть в гиперпространство.
tutorial_financemissioncomplete | Все пассажиры благополучно прибыли. Теперь вам будет выплачена плата, и вы также получите очки к вашему гуманитарному рейтингу - давая вам доступ к более сложным и прибыльным миссиям.
tutorial_financemissionscreen | Теперь, когда наш корабль работает, нам нужно зарабатывать на жизнь.  Мы можем выполнять контракты за финансовое вознаграждение и репутацию.\n\nОткройте экран <b>КОНТРАКТЫ</b>, чтобы увидеть список доступных контрактов.
tutorial_financepassengersinbound | Пассажиры будут доставлены на <b>PROCYON</b> челноком.
tutorial_financepreparejump | Нажмите на <b>ПОДГОТОВИТЬ ПРЫЖОК</b>, чтобы выровнять корабль и подготовиться к гиперпространству.
tutorial_financepreparingjump | <b>PROCYON</b> выровняется для гиперпространства и подготовит <b>ГИПЕРДВИГАТЕЛЬ</b> для совершения прыжка.
tutorial_financesectormap | Все пассажиры доставлены на <b>PROCYON</b>, и наш <b>ГИПЕРДВИГАТЕЛЬ</b> работает. Теперь мы должны проложить <b>ГИПЕРПРЫЖОК</b> к их месту назначения.\n\nОткройте <b>КАРТУ СЕКТОРА</b>.
tutorial_financeselectmission | Теперь нам нужно сдать наш выполненный контракт на пассажиров.\n\nОткройте экран <b>КОНТРАКТЫ</b> и выберите миссию с пассажирами.
tutorial_financeselectship | Контракты назначаются кораблю, который вы выбрали в данный момент.\n\nТолько <b>PROCYON</b> может перемещаться между локациями, поэтому выберите <b>PROCYON</b>.
tutorial_financeselecttransport | Здесь у нас контракт <b>ПЕРЕВОЗКА</b>, щелкните по нему, чтобы увидеть подробности.
tutorial_financesetdestination | Это карта всех систем в этом секторе.\n\nНаш корабль и наша космическая станция расположены в центре, где на карте отмечено <b>ВЫ-ЗДЕСЬ</b>.\n\nПроложите курс к месту назначения (помечено как <b>ПЕРЕВОЗКА</b>), щелкнув по нему.
tutorial_financeturnin | Нажмите кнопку <b>ДОСТАВИТЬ</b>, чтобы высадить пассажиров и получить оплату
tutorial_financeturningin | Челнок будет отправлен для сбора пассажиров.
tutorial_fleetcrew | Нам понадобится экипаж. Наймите пять <b>ЧЛЕНОВ ЭКИПАЖА</b> через экран <b>ТОРГОВЛЯ</b>.
tutorial_fleetcrew_shiftclick | <b>ПРИМЕЧАНИЕ</b>: Вы можете <b>ЗАЖАТЬ SHIFT И КЛИКНУТЬ</b> для найма кратно 5.
tutorial_fleetcrewarrival | Ваш новый экипаж прибудет на челноке.
tutorial_fleetresources | Нам также нужны ресурсы для работы корабля.\n\nИспользуйте экран <b>ТОРГОВЛЯ</b>, чтобы купить:\n- 5x <b>ТОПЛИВО</b>\n- 5x <b>КИСЛОРОД</b>\n- 5x <b>ГИПЕРТОПЛИВО</b>\n- 2x <b>ЕДА</b>\n- 2x <b>ВОДА</b>.\n\n<b>ПОДТВЕРДИТЕ</b> сделку, когда закончите.
tutorial_fleetspacesuits | Этому экипажу также понадобятся <b>КОСМИЧЕСКИЕ СКАФАНДРЫ</b>, так как на нашем корабле пока нет атмосферы.\n\nЗакажите пять <b>КОСМИЧЕСКИХ СКАФАНДРОВ</b> для нового экипажа.
tutorial_fleettrade | Корабль оснащен двигателями и <b>ГИПЕРДВИГАТЕЛЕМ</b> для межзвездных путешествий! Но ему нужен экипаж.\n\nОткройте экран <b>ТОРГОВЛЯ</b>.
tutorial_fleettradeconfirm | <b>ПОДТВЕРДИТЕ</b> сделку.
tutorial_fleetwaitforpowerup | Ваш экипаж теперь запустит корабль и запустит двигатели и систему жизнеобеспечения.
tutorial_flight_title | ПОЛЕТ
tutorial_flightengines | Мы можем напрямую управлять <b>ТЯГОЙ ДВИГАТЕЛЯ</b> отсюда.\n\nПопробуйте увеличить тягу двигателя с помощью этого элемента управления.
tutorial_flightexittactical | Выйдите из режима <b>ТАКТИКА</b>, снова нажав на кнопку или клавишу <b>{ToggleTactical}</b>.
tutorial_flightinformation | Ваш экипаж будет продолжать управлять кораблем и поддерживать работу двигателей, пока вы путешествуете. Попробуйте полетать по системе, пока не освоитесь с управлением.\n\nКогда будете готовы, остановите корабль, установив <b>ТЯГУ ДВИГАТЕЛЯ</b> на ноль в <b>ТАКТИЧЕСКОМ</b> режиме.
tutorial_flightsetcourse | Мы можем отправить наш корабль в определенное место, <b>ЩЕЛКНУВ ПРАВОЙ КНОПКОЙ МЫШИ</b>. Попробуйте установить пункт назначения, щелкнув правой кнопкой мыши в тактическом режиме.
tutorial_flighttactical | Нам следует провести небольшой испытательный полет двигателей.  Для маневрирования кораблем переключитесь в режим <b>ТАКТИКА</b>, нажав на выделенную кнопку или клавишу <b>{ToggleTactical}</b>.
tutorial_flightturning | Мы также можем поворачивать корабль, щелкая левой кнопкой мыши в <b>ТАКТИЧЕСКОМ</b> режиме в направлении, в котором хотим двигаться.
tutorial_ftl_title | БЫСТРЕЕ СВЕТА
tutorial_ftladdftldrive | Добавьте один <b>ГИПЕРДВИГАТЕЛЬ</b> в наш заказ, щелкнув по записи в списке.
tutorial_ftladdftlfuel | <b>ГИПЕРДВИГАТЕЛИ</b> расходуют одну единицу топлива за прыжок. Добавьте 5 <b>ГИПЕРТОПЛИВА</b> к заказу также.
tutorial_ftlconfirmorder | Подтвердите заказ.
tutorial_ftldelivery | Челнок доставит нам предметы.
tutorial_ftlinstallftl | Установите <b>ГИПЕРДВИГАТЕЛЬ</b> в любом месте вашего корабля.
tutorial_ftlintro | Мы не можем доставить этих пассажиров к месту назначения без путешествия быстрее света. К сожалению, этот корабль не оснащен собственным <b>ГИПЕРДВИГАТЕЛЕМ</b>.\n\nНам нужно купить его и установить.
tutorial_ftlpowerftl | Подключите <b>ГИПЕРДВИГАТЕЛЬ</b> к вашей энергосети.
tutorial_ftlselectpropulsion | Предметы, которые нам нужны, перечислены в разделе <b>ДВИЖЕНИЕ</b>. Выберите эту категорию.
tutorial_ftlstoragedone | Экипаж переместит все <b>ГИПЕРТОПЛИВО</b> в эту зону.
tutorial_ftlstoragetoolbar | Мы можем сделать работу более эффективной для нашего экипажа, сказав им хранить <b>ГИПЕРТОПЛИВО</b> рядом с <b>ГИПЕРДВИГАТЕЛЕМ</b>.\n\nВыберите <b>ХРАНИЛИЩЕ</b> на панели инструментов <b>СТРОИТЕЛЬСТВО</b>, затем выберите <b>ГИПЕРТОПЛИВО</b> из списка.
tutorial_ftlstorageworld | Теперь растяните зону хранения рядом с <b>ГИПЕРДВИГАТЕЛЕМ</b>.
tutorial_ftltradescreen | Откройте экран торговли, чтобы купить <b>ГИПЕРДВИГАТЕЛЬ</b>.
tutorial_introduction_title | ОБУЧЕНИЕ
tutorial_introduction1 | Добро пожаловать в наш новый дом.
tutorial_introduction2 | Этот корабль только что сошел с производственной линии верфи.\n\nСейчас это просто пустой корпус без энергии и пригодной для дыхания атмосферы. Наша первая задача - исправить это.\n\nНажмите <b>ДАЛЕЕ</b>, чтобы продолжить.
tutorial_logistics_crew_title | ЛОГИСТИКА ЭКИПАЖА
tutorial_logisticscrewclicktarget | Щелкните в ячейке <b>ЭКИПАЖ</b> корабля <b>НАЗНАЧЕНИЕ</b>, чтобы запросить перевод 5 членов экипажа.
tutorial_logisticscrewclicktarget_shiftclick | <b>ПРИМЕЧАНИЕ</b>: Вы можете <b>ЗАЖАТЬ SHIFT И КЛИКНУТЬ</b> для запроса перевода кратно 5.
tutorial_logisticscrewopen | Откройте окно Логистики Флота.
tutorial_logisticscrewselectfrom | Выберите корабль <b>ИСТОЧНИК</b>, с которого прибудет экипаж.
tutorial_logisticscrewselectship | Выберите <b>UMC</b> Astral Temptress. \n\n Как вы можете видеть, у него нет экипажа.
tutorial_logisticscrewstart | Теперь мы научимся переводить экипаж с одного корабля на другой.\n\nДва корабля должны быть состыкованы, чтобы экипаж мог переходить с одного корабля на другой.
tutorial_logisticscrewsuccess | Отлично. Вы успешно перевели экипаж!
tutorial_logisticscrewswitchtonormalview | Сначала вернитесь в обычный режим, выйдя из тактического режима.
tutorial_logisticscrewwait | Отлично. Теперь нам просто нужно дождаться перевода экипажа.
tutorial_mining_title | ДОБЫЧА
tutorial_miningfleetorders | Вам также нужно убедиться, что <b>СОБИРАТЬ МАТЕРИАЛЫ</b> включено в <b>ПРИКАЗАХ ФЛОТА</b>.
tutorial_miningflytodeposit | В этой системе, похоже, есть астероиды, содержащие Тилиевую Руду, подлетите близко к одному из них.
tutorial_miningflytosystem | Посмотрите на камни на карте, они указывают на <b>ПОЯСА АСТЕРОИДОВ</b>. \n\nПолетите в систему в поясе астероидов, она, вероятно, содержит Тилиевую Руду.
tutorial_mininggetinrange | Переместите свой корабль, пока месторождение минералов не окажется в секторе обстрела.
tutorial_mininginstalldronebay | Дроны будут собирать добытые ресурсы.\n\nУстановите <b>ОТСЕК ДЛЯ ДРОНОВ</b>, чтобы ваши дроны могли собирать Тилиевую Руду.
tutorial_mininginstalllaser | Вам понадобится Шахтерский Лазер. Они потребляют много энергии, поэтому подумайте об установке дополнительных реакторов или батарей.\n\nУстановите <b>ШАХТЕРСКИЙ ЛАЗЕР</b> и подключите его к энергосети.
tutorial_mininginstallsmelter | Вам нужно будет переплавить сырую Тилиевую Руду в кристаллы.\n\nУстановите <b>ПЛАВИЛЬНУЮ ПЕЧЬ</b>.
tutorial_miningopenmap | Теперь откройте карту сектора (<b>{ToggleMap}</b>).
tutorial_miningopenweaponscontrol | Откройте панель управления оружием.
tutorial_miningrange | Вы можете увидеть радиус действия шахтерских лазеров, наведя на них курсор. Шахтерские лазеры будут стрелять по месторождениям минералов в их секторе обстрела.
tutorial_miningselectlaser | Вы также можете нацеливаться на конкретные месторождения минералов.\n\nСначала выберите, какой лазер вы хотите использовать.\n\nВы можете <b>ЗАЖАТЬ SHIFT И КЛИКНУТЬ</b> для выбора нескольких лазеров.
tutorial_miningselecttarget | Нацельтесь на месторождение Тилиевой Руды, щелкнув по нему при выбранном шахтерском лазере.
tutorial_miningsetsmelter | Щелкните правой кнопкой мыши по <b>ПЛАВИЛЬНОЙ ПЕЧИ</b> и выберите <b>ТИЛИЕВАЯ РУДА</b>, чтобы переплавить её в Тилиевые Кристаллы.
tutorial_miningstart | Теперь мы научимся добывать и собирать ресурсы с астероидов.
tutorial_miningsuccess | Отлично, вы произвели Тилиевые Кристаллы.
tutorial_miningswitchtotactical | Переключитесь на режим тактика.
tutorial_miningundock | Убедитесь, что вы <b>ОТСТЫКОВАЛИСЬ</b> от любого другого корабля (через режим <b>ТАКТИКА</b>).
tutorial_miningwaitsmelter | Отлично! Теперь подождите, пока ваша плавильная печь переплавит Тилиевую Руду.
tutorial_next | ДАЛЕЕ
tutorial_power_title | УСТАНОВКА ЭНЕРГИИ
tutorial_power_titlecomplete | ЭНЕРГИЯ УСТАНОВЛЕНА
tutorial_powerinstallmenu | Давайте начнем с установки <b>РЕАКТОРА</b> для выработки энергии для нашего корабля.\n\nЩелкните меню <b>СТРОИТЕЛЬСТВО</b>, затем нажмите <b>УСТАНОВИТЬ</b>.
tutorial_powerpipeconnect | Протяните трубу от <b>ПОГРУЗЧИКА ТОПЛИВА</b> к <b>РЕАКТОРУ</b>, соединив желтые круги труб.\n\n<b>ТРУБЫ</b> топлива используются для соединения выхода одного оборудования со входом другого.\n\n<b>ТРУБЫ</b> топлива желтые и должны соединять желтые круги на оборудовании.
tutorial_powerplaceloader | Разместите <b>ПОГРУЗЧИК ТОПЛИВА</b> где-нибудь рядом с <b>РЕАКТОРОМ</b>.
tutorial_powerplacereactor | Разместите <b>РЕАКТОР</b> внутри вашего корабля.
tutorial_powerreactoractive | <b>РЕАКТОР</b> активирован! Теперь мы вырабатываем энергию для нашего корабля.
tutorial_powerreactorinprogress | Ваш экипаж установит <b>РЕАКТОР</b>.
tutorial_powerreactorpowerup | <b>РЕАКТОР</b> запускается.
tutorial_powerselectloader | <b>РЕАКТОРУ</b> нужно <b>ТОПЛИВО</b>, и мы используем <b>ПОГРУЗЧИК ТОПЛИВА</b> для его подачи в <b>РЕАКТОР</b>.\n\nВыберите <b>ПОГРУЗЧИК ТОПЛИВА</b> из меню Строительство.
tutorial_powerselectpipes | Нам нужно подключить <b>ПОГРУЗЧИК ТОПЛИВА</b> к <b>РЕАКТОРУ</b> с помощью трубы.\n\nВыберите <b>ТРУБЫ</b> из меню Строительство.
tutorial_powerselectreactor | Это все упакованное оборудование, доступное на борту.\n\nВыберите <b>РЕАКТОР</b> из списка.
tutorial_productionstart | Теперь мы научимся производить <b>РАМЫ ЗВЕЗДНЫХ ВРАТ</b>.
tutorial_productionsuccess | Отлично, теперь вы полностью готовы к производству <b>РАМ ЗВЕЗДНЫХ ВРАТ</b>.
tutorial_radiation_title | РАДИАЦИЯ
tutorial_radiationinstallblockers | Распространение радиации может быть ограничено специальным оборудованием, называемым блокаторами радиации.\n\nУстановите несколько блокаторов близко к вашему лазерному инфузору, оставив небольшой зазор между инфузором и блокатором.\n\nУвеличьте скорость игры, когда будете готовы.
tutorial_radiationinstallinfuser | Лазерный инфузор был доставлен на ваш корабль.\n\nЛазерные инфузоры используются для зарядки пустых кристаллов газом зелеона и будут излучать радиацию в окружающую область при работе.\n\nУстановите лазерный инфузор в свободной области.
tutorial_radiationintro | Мы собираемся узнать о радиации.
tutorial_radiationoutro | Ваш экипаж заболеет, если будет слишком долго подвергаться опасной радиации, что в конечном итоге может привести к смерти.
tutorial_radiationselectoverlay | Скорость игры была установлена медленнее на данный момент.\n\nРадиация излучается во всех направлениях от лазерного инфузора.\n\nНажмите на наложение радиации, чтобы увидеть, где ваш корабль облучен.
tutorial_radiationselectoverlay2 | Все зеленые области вашего корабля безопасны для вашего экипажа, но более темные области опасны.\n\nКосмические скафандры защитят ваш экипаж от облучения.
tutorial_radiationselectoverlay3 | Блокатор радиации снизит радиацию, проходящую через него, это можно увидеть на наложении радиации.
tutorial_radiationsetupinfuser | Пустой кристалл и несколько энергетических ячеек зелеона также были доставлены на ваш корабль.\n\nДавайте настроим лазерный инфузор на использование их для производства заряженных кристаллов.
tutorial_radiationsuccess | Отлично, теперь вы узнали, как работает радиация и как управлять уровнем радиации на вашем корабле.
tutorial_radiationwaitforinputs | Лазерный инфузор настроен на начало производства заряженных кристаллов!\n\nДавайте подождем, пока он начнет заряжать кристаллы.\n\nНе забудьте запитать Лазерный Инфузор.
tutorial_resin_title | ГАЗОСБОРНИКИ
tutorial_resinchemicallabrecipe | Щелкните правой кнопкой мыши по <b>ХИМИЧЕСКОЙ ЛАБОРАТОРИИ</b> и установите её рецепт на <b>ИЗГОТОВИТЬ СМОЛУ ЗВЕЗДНЫХ ВРАТ</b>.
tutorial_resinconnectchemicallab | Подключите <b>ХИМИЧЕСКИЙ ЗАВОД</b> к <b>ХИМИЧЕСКОЙ ЛАБОРАТОРИИ</b> с помощью <b>ТРУБЫ</b>.
tutorial_resinconnectgascollector | Подключите <b>ГАЗОСБОРНИК</b> к <b>ХИМИЧЕСКОМУ ЗАВОДУ</b> с помощью <b>ТРУБЫ</b>.
tutorial_resininstallgascollector | Установите <b>ГАЗОСБОРНИК</b>, <b>ХИМИЧЕСКИЙ ЗАВОД</b> и <b>ХИМИЧЕСКУЮ ЛАБОРАТОРИЮ</b> так, чтобы они были близко друг к другу.
tutorial_resinintro | Обращая наше внимание обратно к Звездным Вратам, проект Звездные Врата также требует от нас производства <b>СМОЛЫ ЗВЕЗДНЫХ ВРАТ</b>.\n\nМы собираемся использовать <b>INDUSTRIOUS</b> для сбора <b>ГАЗА МЕТРЕОНА</b>, переработки его и обработки в <b>СМОЛУ ЗВЕЗДНЫХ ВРАТ</b>.
tutorial_resinintro2 | Соберите достаточно денег для покупки для <b>INDUSTRIOUS</b>:\n\n- 1x <b>ГАЗОСБОРНИК</b>\n- 1x <b>ХИМИЧЕСКИЙ ЗАВОД</b>\n- 1x <b>ХИМИЧЕСКАЯ ЛАБОРАТОРИЯ</b>
tutorial_resinjumptonebula | Закройте карту сектора и используйте окно <b>ГИПЕРДВИГАТЕЛЬ</b>, чтобы переместить <b>INDUSTRIOUS</b> в туманность.
tutorial_resinpowerup | Запустите <b>ГАЗОСБОРНИК</b>, <b>ХИМИЧЕСКИЙ ЗАВОД</b> и <b>ХИМИЧЕСКУЮ ЛАБОРАТОРИЮ</b>.
tutorial_resinrefineryrecipe | Щелкните правой кнопкой мыши по <b>ХИМИЧЕСКОМУ ЗАВОДУ</b> и установите его рецепт на <b>ПЕРЕРАБОТАТЬ ГАЗ МЕТРЕОНА</b>.
tutorial_resinselectnebula | Прежде чем мы сможем начать сбор <b>ГАЗА МЕТРЕОНА</b>, нам нужно переместить <b>INDUSTRIOUS</b> в систему, содержащую <b>ГАЗОВОЕ ОБЛАКО</b>.\n\nИспользуйте <b>КАРТУ СЕКТОРА</b>, чтобы выбрать подходящее место назначения.
tutorial_resinstart | Теперь мы научимся производить <b>СМОЛУ ЗВЕЗДНЫХ ВРАТ</b>.
tutorial_resinsuccess | Отлично, вы начали производить <b>СМОЛУ ЗВЕЗДНЫХ ВРАТ</b>.\n\nКогда вы произведете достаточно, вернитесь на любую <b>КОЛОНИЮ</b>, <b>ВЕРФЬ</b> или в систему <b>ЗВЕЗДНЫЕ ВРАТА</b>, чтобы продать её <b>ПРОЕКТУ ЗВЕЗДНЫЕ ВРАТА</b>.
tutorial_smelters_title | ПЛАВИЛЬНЫЕ ПЕЧИ
tutorial_smeltersbuild | Но у нас есть много <b>МЕТАЛЛОЛОМА</b>, и мы можем переплавить его в <b>ПЛАВИЛЬНОЙ ПЕЧИ</b>.\n\nПостройте <b>ПЛАВИЛЬНУЮ ПЕЧЬ</b> где-нибудь рядом с производственной линией.
tutorial_smeltersdismantle | На этой старой станции полно <b>РАЗРУШЕННОГО ОБОРУДОВАНИЯ</b>, которое мы можем разобрать на <b>МЕТАЛЛОЛОМ</b>.\n\nВыберите <b>ДЕМОНТАЖ</b> на панели инструментов <b>СТРОИТЕЛЬСТВО</b>.
tutorial_smeltersintroduction | Нам понадобится много <b>ЖЕЛЕЗНЫХ СЛИТКОВ</b>, если мы хотим изготовить достаточно <b>РАМ ЗВЕЗДНЫХ ВРАТ</b>.\n\nУ нас на борту немного <b>ЖЕЛЕЗНЫХ СЛИТКОВ</b>, и скоро они закончатся.
tutorial_smeltersoperational | Экипаж теперь загрузит весь <b>МЕТАЛЛОЛОМ</b> и переплавит его в гораздо более полезные <b>ЖЕЛЕЗНЫЕ СЛИТКИ</b>.
tutorial_smelterspower | Подключите плавильные печи к <b>РЕАКТОРУ</b> с помощью <b>КАБЕЛЕЙ ПИТАНИЯ</b>
