rating_title_humanitarian | Гуманитарный Рейтинг
scienceobjective_milestone3b | Мы отправляем вам научный грант в размере $1 миллиона. Продолжайте в том же духе!  Дополнительное финансирование будет разблокировано при 10,000 научных данных.
scienceobjective_milestone4a | Получено 10,000 научных данных. Выплата $10 миллионов.
scienceobjective_milestone4b | Следующий бонус при 100,000 научных данных
scienceobjective_nextbonus | Следующий бонус за *X Собранных данных : $*Y.
scienceobjective_receivedsensors1 | Оба сенсора находятся на борту вашего корабля. Вам нужно установить их.
scienceobjective_scientist | Исследовательский Институт
scienceobjective_sensorsinstalled | Сенсоры Установлены
scienceobjective_success | Собрано *X Данных
scienceobjective_successbonus | Собрано *X Данных. Финансовый бонус $*Y.
scienceobjective_title | СПЕЦИАЛЬНАЯ МИССИЯ: ИССЛЕДОВАНИЕ АНОМАЛИИ
scienceobjective_usesensors1 | Эти сенсоры будут собирать данные от аномалии, пока вы находитесь в Гиперпространстве.
scienceobjective_usesensors2 | Чем ближе вы сможете совершить гиперпрыжок к аномалии, тем быстрее они будут собирать данные.
sector_start | ДОМАШНИЙ СЕКТОР
settings_accentinsensitivesearch | Поиск Без Учета Акцентов
settings_accentinsensitivesearch_description | При поиске в списках игнорировать символы с диакритическими знаками, например "é" будет соответствовать "e"
settings_analytics | Сбор Анилитически
settings_analytics_tooltip | Нам необходимо собирать данные об использовании, чтобы лучше понимать, как люди играют, и помочь нам улучшить игру. \n\nМы не собираем никакой личной информации.\n\nЧтобы узнать больше, посетите Правовую Информацию (внизу экрана)
settings_appearance | ИНТЕРФЕЙС
settings_arraytextures | Использовать Массивы Текстур
settings_autosaveinterval | Интервал Автосохранения
settings_autosaveonftl | Автосохранение при выходе из гиперпрыжка
settings_autosaveontimeinterval | Автосохранение по интервалу времени
settings_autosaves | СОХРАНЕНИЯ
settings_credit_tooltip | С благодарностью:
settings_dynamiclighting | Использовать Динамическое Освещение
settings_effectsvolume | Громкость Эффектов
settings_exitsaves_tooltip | Когда включено, текущая игра создаст автосохранение при выходе или завершении игры.
settings_fullscreen | На Весь Экран
settings_hud | Показать Интерфейс
settings_hudscale | Масштаб Интерфейса
settings_keybindings | УПРАВЛЕНИЕ
settings_language | Язык Интерфейса
settings_mastervolume | Общая Громкость
settings_minutes_shortened | Мин.
settings_music | Музыка
settings_musicvolume | Громкость Музыки
settings_other | ПРОЧЕЕ
settings_resolution | Разрешение Экрана
settings_sound | ГРОМКОСТЬ
settings_translatorassist | Помощник Переводчика (Ctrl, Alt)
settings_translatorassist_description | Включить функции для помощи переводчикам, такие как Alt для отображения английского текста и Ctrl для отображения ключа фразы. Включает окно редактирования перевода ({TranslatorWindow}).
settings_uibounce | Подсветка с Эффектом Отскока
shipai_closerangeaggressive | ИИ Управление - Близкая Орбита
shipai_fastmovingjet | ИИ Управление - Штурмовые Заходы
shipai_longrangesniper | ИИ Управление - Дальняя Дистанция
shipai_mediumrangeorbit | ИИ Управление - Средняя Дистанция
shipai_strategyverycloseorbit | ИИ Управление - Очень Близкая Орбита
shipeditor_brush_box | КВАДРАТ
shipeditor_brush_freehand | КИСТЬ
shipeditor_brush_oval | КРУГ
shipeditor_commit | ПОДТВЕРДИТЬ
shipeditor_draw | РИСОВАТЬ
shipeditor_equipment_autobuy | Включить Автопокупку
shipeditor_equipment_autobuyconfirm | Подтвердить Изменения Автопокупки
shipeditor_equipment_autobuyenable | Автопокупка *X
shipeditor_equipment_available | Торговый Пост имеет *X в наличии
shipeditor_equipment_expected | Вам будет не хватать *X, когда текущие поставки/логистика завершатся
shipeditor_equipment_expectedcost | Ожидаемая Будущая Стоимость: *X
shipeditor_equipment_immediatecost | Немедленная Стоимость: *X
shipeditor_equipment_incoming | У вас *X входящих
shipeditor_equipment_manualbuy | Купить Все Доступное
shipeditor_equipment_missing | Вам требуется *X
shipeditor_equipment_outgoing | У вас *X исходящих
shipeditor_equipment_title | Отсутствующее Оборудование
shipeditor_equipment_totalcost | Общая Стоимость
shipeditor_erase | СТЕРЕТЬ
shipeditor_mode_armour | Броня
shipeditor_mode_createship | Создать Корабль
shipeditor_mode_deconstruct | Разрушить
shipeditor_mode_dock | Стыковка
shipeditor_mode_equipment | Оборудование
shipeditor_mode_eyedropper | Пипетка
shipeditor_mode_habitation | Каюты
shipeditor_mode_hull | Корпус
shipeditor_mode_interior | Полы
shipeditor_mode_paintstencils | Перекрасить Стены
shipeditor_mode_scaffold | Каркас
shipeditor_mode_spawn | Объекты
shipeditor_mode_stencils | Стены
shipeditor_mode_walls | Стены
shipeditor_paint | КРАСИТЬ
shipeditor_paint_custom | Пользовательская Краска
shipeditor_paint_detailprimary | Детали Первичные
shipeditor_paint_detailsecondary | Детали Вторичные
shipeditor_paint_detailtertiary | Детали Третичные
shipeditor_paint_erase | Задний План
shipeditor_paint_name | Название Краски
shipeditor_paint_paint | Передний План
shipeditor_paint_primary | Основная База
shipeditor_paint_secondary | Вторичная База
shipeditor_paint_standard | Стандартная Краска
shipeditor_palettelibrary_cancel | ОТМЕНА
shipeditor_palettelibrary_confirm | ПОДТВЕРДИТЬ
shipeditor_palettelibrary_createname | СОЗДАТЬ НОВУЮ ПАЛИТРУ
shipeditor_palettelibrary_delete | УДАЛИТЬ
shipeditor_palettelibrary_export | ЭКСПОРТ
shipeditor_palettelibrary_import | ИМПОРТ
shipeditor_palettelibrary_title_export | ЭКСПОРТ ПАЛИТР
shipeditor_palettelibrary_title_import | ИМПОРТ ПАЛИТР
shipeditor_palettelibrary_upload | ЗАГРУЗИТЬ
shipeditor_price_button | Стоимость
shipeditor_shipyardrequired1 | Вы должны посетить Верфь
