tiddlets_character_artemis | Prof. Artemis Toppingbury | 
tiddlets_part2_return1 | *X of the Tiddlets appear to have perished. | 
tiddlets_part2_return2 | That's such a horrible thing to witness.\nWe can't allow this sort of experiment to be done again, doctor. It's so unethical. | 
tiddlets_part2_return3 | The sensor data suggests the telepathic mating ritual does begin during the longer jump.  But the telepathic energy induced between them produces so much heat at their core that they ultimately catch fire and burn out from the inside. | 
tiddlets_part2_return4 | One can only imagine what that must feel like. | 
tiddlets_part2_return5 | There's something else.  There's a reading showing up on the sensors, deep inside the core of the dead tiddlets.\nBring them all back to me, Captain. I think we've done enough for today. | 
tiddlets_part2_setup1 | Welcome back, Captain! I must say, the corridors at the Institute have been alive with excitement over this wondrous new lifeform. My paper has already been provisionally accepted into all the top nature journals, which makes me so proud. | 
tiddlets_part2_setup2 | The word on the grapevine is that the Nobel prize committee may be looking at our work. | 
tiddlets_part2_setup3 | Exactly. So we must continue this important research. We have a great deal of data already, but we need to take some more measurements and refine some of our estimates. We are particularly interested in their reproductive process. | 
tiddlets_part2_setup4 | We're going to send you a batch of Toppingbury Tiddlets, and we want you to run a series of tests on them under Hyperspace conditions. | 
tiddlets_part2_setup5 | We're also sending you a pair of specially modified science stations, with a sensor attuned to their telepathic reproductive process. I wrote the firmware myself. We will be able to see deep into their minds when this magical process takes place. | 
tiddlets_part2_setup6 | We need you to take the tiddlets on a series of specific hyperspace jumps. We will be recording the effect on their reproductive process and on their physiology. All... well, most of these experiments can be done hopefully without any harm coming to the creatures. | 
tiddlets_part2_setup7 | We need to zero in on exactly how long the Tiddlets can survive in hyperspace. This will regrettably require you to jump beyond the safe distance, and to record the effect on their telepathic process. Some of the Tiddlets may be lost in the process of this experiment. | 
tiddlets_part2_setup8 | That does make me quite uncomfortable. | 
tiddlets_part2_setup9 | But with your permission, we can begin. Install the new sensors first, Captain. And be sure to stock up on FTL fuel if you need to. Three or four jumps ought to be enough. | 
tiddlets_part2_short | SHORT HOP DISTANCE | 
tiddlets_part2_shortjump1 | *X Tiddlets so far.  This is all working very well, Captain.  Now onto the real science. | 
tiddlets_part2_shortjump2 | We'd like to see the effect of a very short hop.  We want to know if there is a minimum hyperspace distance, below which their reproductive process simply does not occur.  Make the jump and let's see how they do. | 
tiddlets_part2_title | The Trouble with Tiddlets, Part 2 | 
tiddlets_part3_action_localhop | Activate Hop Drive | 
tiddlets_part3_action_localhop_info1 | Charging... | 
tiddlets_part3_action_localhop_info2 | No Charge Loaded | 
tiddlets_part3_action_localhop_info3 | No Charges on Ship | 
tiddlets_part3_action_localhop_info4 | No Hop Drive Found | 
tiddlets_part3_advert | Captain, there have been several developments with the Tiddlet Research Program. We are in need of a competent starship pilot once again.  Please visit us at the Institute for Interstellar lifeforms and I can tell you more. | 
tiddlets_part3_artemis_arrival1 | Captain, thank Goodness.  Are they all safe? | 
tiddlets_part3_artemis_arrival2 | Quickly, before they figure out what's happening.  I'll override the remote transceiver on the farm ship.  For a few minutes we'll be able to control it ourselves. | 
tiddlets_part3_artemis_arrival3 | Long enough to put an end to this horror show.  Take the ship over to the asteroid.  Open the docking bay doors. | 
tiddlets_part3_artemis_debrief1 | You did the right thing, Captain.  That matters, to me at least. | 
tiddlets_part3_artemis_debrief2 | I wouldn't worry too much about the threat.  He knows he's operating completely illegally.  There's no way the charter of deep space life permits this kind of action. | 
tiddlets_part3_artemis_debrief3 | As for the Tiddlets, the Doctor is sure to return and try to capture more.  I'll do my best to keep them safe from him, for as long as I can. | 
tiddlets_part3_artemis_debrief4 | You may as well keep the rescue ship.  You could sell it if you need to raise some funds. | 
tiddlets_part3_artemis_debrief5 | I'll be in touch if I need your help, Captain. | 
tiddlets_part3_artemis_finalobjective1 | Captain, this is wrong.  You know it is. | 
tiddlets_part3_artemis_finalobjective2 | Please don't do this.  These creatures deserve more than to be battery farmed and slaughtered. | 
tiddlets_part3_artemis_finalobjective3 | My clearances have all been revoked.  They've shut me out completely.  It's up to you, but please make the right choice. | 
tiddlets_part3_artemis_finalobjective4 | I'm hiding out in system S*X.  It's where you found the first Tiddlets, near that unusual asteroid.  Bring them here, and be careful not to risk Hyperspace shock. | 
tiddlets_part3_artemis_finalobjective5 | We're going to set them all free. | 
tiddlets_part3_artemis_finalplea1 | Captain, please don't do this! | 
tiddlets_part3_batteryfarm | Yes!  I knew this would work!  We can battery farm the tiddlets, in huge quantities, right here in this system!  Keep going.  We need more! | 
tiddlets_part3_bonus_caption | Bonus received | 
tiddlets_part3_bonus_title | SALES BONUS | 
tiddlets_part3_brokenhopdrive1 | It looks like that last jump fried the hop drive.  Not great, given what we paid for it. | 
tiddlets_part3_brokenhopdrive2 | No matter.  I'm certain my engineers can repair it.  In any case, I want the hop drive to be installed on the farm ship directly. | 
tiddlets_part3_brokenhopdrive3 | Dismantle the Hop Drive, Captain, and I'll send a shuttle to collect it.  I want you to replace the Hop Drive with a conventional FTL drive, for the final part of the experiment.  I'll send a replacement FTL drive in the delivery shuttle. | 
tiddlets_part3_deliverdrive | Deliver Drive | 
tiddlets_part3_farmname | The Tiddlet Farm | 
tiddlets_part3_freetiddlets | Free the Tiddlets | 
tiddlets_part3_hoppername | Short Hopper | 
tiddlets_part3_marcus | I don't think I had the chance to properly thank you, Captain. You risked your life for us.  And now my twin is ten years older than me! It's taken some getting used to. | 
tiddlets_part3_martinez_a1 | Captain! It's so good to hear from you again.  How have you been? | 
tiddlets_part3_martinez_a2 | We've been taking some time to recover.  I must admit, I spent so long planning my brother's rescue, I almost don't know what to do with myself. | 
tiddlets_part3_martinez_a3 | I've put the rescue ship up for sale. I was asking $1M, but you can have it for half that price if you like.  Thank you, Captain.  You'll always be welcome with us. | 
tiddlets_part3_martinez_b1 | Hello, Captain.  How have you been? Things have been tough here. | 
tiddlets_part3_martinez_b2 | Marcus has been in and out of hospital since the rescue.  He has burns all over his body, and took quite a serious dose of radiation. | 
tiddlets_part3_martinez_b3 | Of course, you already know that, because it happened while he was uploading your data. | 
tiddlets_part3_martinez_b4 | I hope it was worth it for you, Captain. | 
tiddlets_part3_martinez_b5 | The ship is up for sale.  I can't bear to be on-board any longer.  The price is $1M.  But I suppose you did help to build the hop drive, so I'll let you have it for $800k. | 
tiddlets_part3_martinez_c1 | Why are you here? | 
tiddlets_part3_martinez_c2 | Ten years I worked on his rescue.  Ten years. | 
tiddlets_part3_martinez_c3 | Do you know what it's like to die from radiation poisoning?  No?  I do.  Since your rescue attempt I've watched it happen.  Hair falls out, organ failure rips through the body.  Vomiting.  Sick and blood.  For days on end. | 
tiddlets_part3_martinez_c4 | They wouldn't even let me near him. | 
tiddlets_part3_martinez_c5 | You did that to him, Captain. | 
tiddlets_part3_martinez_c6 | I don't want to talk to you, Captain.  Yes, the ship is for sale.  Take it.  I don't ever want to see that ship, or you, again.  Do not call me again. | 
tiddlets_part3_martinez_call | Contact Dr. Martinez | 
tiddlets_part3_martinez_callagain | Contact Dr. Martinez again | 
tiddlets_part3_martinez_purchase | Buy ship for *X | 
tiddlets_part3_morehops | Excellent.  It's working, as I knew it would.  Give us three more hops, Captain. | 
tiddlets_part3_objective_activate | Activate the Hop Drive | 
tiddlets_part3_objective_artemis1 | OPTIONAL: Take the Tiddlets to Professor Toppingbury instead | 
tiddlets_part3_objective_batteryfarm | Battery farm 500 Tiddlets | 
tiddlets_part3_objective_blackhole | Travel to the Blackhole S*X | 
tiddlets_part3_objective_broken1 | Dismantle the Hop Drive | 
tiddlets_part3_objective_broken2 | Deliver the Hop Drive | 
tiddlets_part3_objective_broken3 | Receive FTL Drive | 
tiddlets_part3_objective_broken4 | Install the FTL Drive | 
tiddlets_part3_objective_farmcount | *X Tiddlets on the farm ship | 
tiddlets_part3_objective_flyclose | Fly L*X close to the Tiddlet farm ship | 
tiddlets_part3_objective_freetiddlets1 | Pilot the Farm Ship to the asteroid | 
tiddlets_part3_objective_freetiddlets2 | Open the Docking Bay Doors | 
tiddlets_part3_objective_hops | Perform more Hyperspace hops [*X/3] | 
tiddlets_part3_objective_institute | Bring the ship to the Institute | 
tiddlets_part3_objective_martinez | Buy Dr. Martinez's ship | 
tiddlets_part3_objective_swanson1 | Make long range FTL Jumps | 
tiddlets_part3_objective_swanson2 | Deliver Tiddlet bodies to Dr. Swanson | 
tiddlets_part3_objective_visitinstitute | Travel to the Institute for Interstellar Lifeforms | 
tiddlets_part3_setup1 | The work continues, Captain. There is so much more to these Tiddlets than we realised. | 
tiddlets_part3_setup10 | So, onto business.  There is a scientist by the name of Dr. Julian Martinez in a nearby system. He had a moment of fame recently after a daring rescue of his brother.  He has a ship for sale that we believe will be of some use. | 
tiddlets_part3_setup11 | Travel to the noble Doctor and buy his ship. He wants a million credits, which is ridiculous.  He thinks his invention is worth that much.  Negotiate with him, knock that price down, and I'll wire the funds directly to him.  If you can improve his offer then I'll pay you 20% of the savings as a bonus. | 
tiddlets_part3_setup2 | Regrettably, Professor Toppingbury has been forced to take a leave of absence.  From the stress of his work, you understand. | 
tiddlets_part3_setup3 | We know how they reproduce now, and we know their limits. During hyperspace travel, 3 of them will telepathically reproduce. | 
tiddlets_part3_setup4 | We're not quite sure yet how long it takes for their children to grow up. However, we've noticed they hop at exactly the same time their parents do. | 
tiddlets_part3_setup5 | This isn't important, but I thought you might find it amusing. | 
tiddlets_part3_setup6 | As you've already seen, they experience hyperspace shock if they've been in hyperspace travel for too long. | 
tiddlets_part3_setup7 | But the key is in the final stage of their life-cycle.  We know if we expose them to hyperspace shock, their telepathic energies are so strong that a small crystal is formed in their final moments. | 
tiddlets_part3_setup8 | We've been studying the crystals we've recovered so far.  They resonate in subspace in a way we've never seen before.  Some of the crystals are entangled at the quantum level, and resonate together.  Apply a signal to one and another responds, instantly, across any distance. | 
tiddlets_part3_setup9 | There are so many potential applications. | 
tiddlets_part3_swanson_a1 | Incredible work, Captain. I'm not sure how you managed that, but I'm true to my word.  I'll wire the funds to Dr. Martinez, with a sales bonus of $100k for you.  Bring the ship back to the Institute, and let's put it to use. | 
tiddlets_part3_swanson_b1 | Good work, Captain. That's a good price.  I'll send the funds to Dr Martinez.  You've earned a sales bonus of $40k.  Bring the ship back to the Institute, and let's put it to use. | 
tiddlets_part3_swanson_c1 | Very disappointing, Captain.  You'll need to do better if you want to succeed out here.  This ship is costing us an arm and a leg. | 
tiddlets_part3_swanson_c2 | I'll send the funds to Dr. Martinez now.  Bring the ship back to the Institute, and we can begin work. | 
tiddlets_part3_swanson_debriefa1 | Well done, Captain.  Everything has worked exactly as I predicted, and we now have an excellent harvest on the farm ship.  More importantly, you've shown the way. | 
tiddlets_part3_swanson_debriefa2 | I think I can take it from here, Captain.  My engineers tell me they'll have the Hop Drive fitted to the farm ship in just a few days.  In fact, we are close to automating the entire Tiddlet Harvest process with this one ship. | 
tiddlets_part3_swanson_debriefa3 | I knew we could rely on you, Captain.  Thank you for showing the highest degrees of professionalism. | 
tiddlets_part3_swanson_debriefa4 | As for the rescue ship, we don't need it anymore.  It was the Hop Drive we wanted.  You can keep it if you want, or sell it. | 
tiddlets_part3_swanson_debriefa5 | I'll be in touch if your services are required in the future. | 
tiddlets_part3_swanson_debriefb1 | Captain, we lost contact with our ship for a second.  Where are you?  You seem to have gone completely off course. | 
tiddlets_part3_swanson_debriefb2 | My God.  What have you done? | 
tiddlets_part3_swanson_debriefb3 | Where are they?  Where are my Tiddlets?? | 
tiddlets_part3_swanson_debriefb4 | Mark my words, Captain.  You will bitterly regret crossing me. | 
tiddlets_part3_swanson_debriefb5 | Grand Larceny, Property Damage, Fraud, Sabotage.  I'll see to it you spend the next decade in space prison for this.  You and that Professor. | 
tiddlets_part3_swanson_finalobjective1 | This is it, Captain. We stand on the verge of a massive achievement.  Can you imagine how many crystals we can produce, in just one jump?  There could be hundreds.  The research potentials are staggering. | 
tiddlets_part3_swanson_finalobjective2 | You know what to do, Captain.  A couple of very long jumps ought to be enough.  Bring them all back to me when it's done. | 
tiddlets_part3_swanson_random1 | Yes! | 
tiddlets_part3_swanson_random2 | More! | 
tiddlets_part3_swanson_random3 | Keep going! | 
tiddlets_part3_swanson_random4 | Again! | 
tiddlets_part3_swanson_return1 | Our plan is simple, Captain.  We found during your excellent field work that the Tiddlets will still reproduce, even with an incredibly short FTL jump. | 
tiddlets_part3_swanson_return2 | The ship you just purchased has a specially modified FTL Hop Drive.  We can use it to make very short jumps and trigger the hyperspace reproductive process among the Tiddlets. | 
tiddlets_part3_swanson_return3 | We want you to pair the Hop Drive ship with our Tiddlet Farm vessel, and activate the short range hop drive.  You won't even need to leave the system.  If our calculations are correct, we should see an instant result. | 
tiddlets_part3_title | The Trouble with Tiddlets, Part 3 | 
tiddlets_part4_advert | This is Dr Swanson at the Institute for Interstellar Lifeforms. I'm declaring an emergency. We need urgent assistance. Our ship is compromised. Please, to any vessel nearby, we need emergency rescue. Many lives are at stake. | 
tiddlets_part4_award_caption | Freeing the tiddlets | 
tiddlets_part4_crewsaved | *X scientists rescued | 
tiddlets_part4_debrief_artemis_a1 | I want to thank you for helping, Captain, when it counted. For doing the right thing. I'll split the remaining grant money I have with you. You deserve it. | 
tiddlets_part4_debrief_artemis_a2 | One last thing.  I couldn't help but notice you've picked up a couple of Tiddlets, along with the scientists you rescued. I wouldn't worry - two is a very safe number. | 
tiddlets_part4_debrief_artemis_a3 | But I'd recommend you never bring a third aboard.  Look after them, Captain. I know you will. | 
tiddlets_part4_debrief_artemis_b1 | I thought Dr Swanson was my ally. And I thought I could trust you. But you both put money before everything else. I don't know how you can live like that. | 
tiddlets_part4_debrief_artemis_b2 | You've one last chance to make things right. It looks like a couple of Tiddlets found their way onboard with the scientists you rescued. Two is probably safe, but never bring a third aboard. | 
tiddlets_part4_debrief_artemis_b3 | I suggest you look after them from now on, Captain. It won't atone for the things you've done, but it's a start. | 
tiddlets_part4_debrief_artemis1 | I tried to stop him. Tried to warn him. | 
tiddlets_part4_debrief_artemis2 | Captain, these recent events have made me reconsider my role in all of this. These creatures need our protection. They need somebody to look out for them. | 
tiddlets_part4_debrief_swanson1 | Thank God. | 
tiddlets_part4_debrief_swanson2 | It looks like the Hop Drive burned through all the jump charges. It's over. | 
tiddlets_part4_objective_rescue | Rescue the crew of the farm ship | 
tiddlets_part4_objective_respond | Respond to Swanson's Distress Signal | 
tiddlets_part4_random_swanson1 | Oh god... they're in the food stuffs! | 
tiddlets_part4_random_swanson2 | Oh god... they're in the air-conditioning system! | 
tiddlets_part4_random_swanson3 | Oh god... they're in the reactor room! | 
tiddlets_part4_random_tiddlet | ftftffftftftft | 
tiddlets_part4_rescue_swanson1 | Captain, I don't know what happened. It's the Hop Drive. My engineers told me they tested it fully! | 
tiddlets_part4_rescue_swanson2 | There's something wrong with it. We can't stop jumping. They've replicated... so many times. They're EVERYWHERE! | 
tiddlets_part4_rescue_swanson3 | Oh God. There's so many of them! They're in the engines... the life support... they're almost in the reac- | 
tiddlets_part4_rescue_swanson4 | Get away from that console! Shoo! | 
tiddlets_part4_rescue_swanson5 | You have to help us, Captain. | 
tiddlets_part4_rescue_tiddlet1 | mmmmiiffffffffff | 
tiddlets_part4_rescue_tiddlet2 | squueeeiiee | 
tiddlets_part4_title | The Trouble with Tiddlets, Part 4 | 
tiddlets_shipname_artemis | Artemis Toppingbury | 
tiddlets_summary | Help Prof. Artemis Toppingbury with his research. | 
