tutorial_air_title | OXYGEN | 
tutorial_buyshipstart | We are now going to learn about selecting and buying ships. | 
tutorial_buyshipsuccess | Well done, you have purchased the <b>JMC MINING STATION</b>. | 
tutorial_camera_title | CAMERA CONTROLS | 
tutorial_cameracontrols | Use <b>{PanUp1}{PanLeft1}{PanDown1}{PanRight1}</b> or the <b>ARROW KEYS</b> to move the view around.\n\nZoom the view using the <b>MOUSE WHEEL</b>, or <b>{ZoomIn}</b>/<b>{ZoomOut}</b> on the keyboard.\n\nDrag the view by holding the <b>MIDDLE MOUSE BUTTON</b>. | 
tutorial_combat_title | COMBAT | 
tutorial_combatbattlestations | The effect of the <b>EMP</b> is wearing off!\n\nDeploy your weapons and make your crew ready to fight by clicking on <b>BATTLE STATIONS</b>. | 
tutorial_combatkeepmoving | Make sure to keep moving during combat, this increases your <b>EVASION</b> and makes you a harder target to hit. | 
tutorial_combatopenweaponscontrol | Open the weapons control panel. | 
tutorial_combatrange | You can see the range of weapons by hovering over them. Weapons will shoot at enemy ships in their range. | 
tutorial_combatselectcannon | Your guns can also target specific points on enemy ships.\n\nFirst, select which guns you would like to use.\n\nYou can <b>SHIFT CLICK</b> to select multiple guns. | 
tutorial_combatselecttarget | Target their weapon systems so that they can't damage you further. | 
tutorial_combatstart | We are now going to learn some basic combat techniques. | 
tutorial_combatsuccess | Well done. You have learned how to use weapons. Now fire at will at the pirate ship! | 
tutorial_combatswitchtotacticalview | Switch to tactical mode. | 
tutorial_docking_title | DOCKING | 
tutorial_dockingapproachship_x | Use your main ship engines to get close to the *X. | 
tutorial_dockingcheckthrusters | In order to be able to dock successfully, your ship needs at least four working <b>THRUSTERS</b>.\n\nUse a different ship, or purchase and install four thrusters at a nearby trading post. | 
tutorial_dockingmaneuver | Use your <b>THRUSTERS</b> to maneuver your ship so that <b>RED</b> diamonds of your docking ports align with the docking port of the *X.\n\nWhen aligned correctly, they will both turn <b>YELLOW</b>.\n\nKeep the ships aligned until the docking bridge is fully extended. | 
tutorial_dockingmaneuverkeys | Use the Maneuvering controls to move the ship into position.\n\nYou can also use the keys <b>{ManoeuvreUp}</b>, <b>{ManoeuvreLeft}</b>, <b>{ManoeuvreDown}</b>, <b>{ManoeuvreRight}</b> to move, and <b>{ManoeuvreClockwise}</b> and <b>{ManoeuvreCounterClockwise}</b> to rotate the ship. | 
tutorial_dockingopenmaneuver | Open the <b>MANEUVERING THRUSTER</b> controls. | 
tutorial_dockingstart | We are now going to learn how to dock your ship to another ship. | 
tutorial_dockingsuccess | Well done. You have docked successfully! | 
tutorial_dockingswitchtotactical | To get started, switch to <b>TACTICAL</b> mode by clicking the button or pressing <b>{ToggleTactical}</b>. | 
tutorial_dockingzoomin | Zoom in so that you can see the docking guides more clearly. They are <b>RED</b> diamonds extending from the docking ports. | 
tutorial_dsiclicktodismantle | Any equipment can be dismantled by left-clicking. | 
tutorial_dsiclosedismantle | We can stop dismantling by clicking the dismantle button again or by closing the construction menu.\n\nClose the menu by clicking the <b>CONSTRUCTION</b> button or by pressing <b>ESC</b>. | 
tutorial_dsidismantle | Dismantling equipment removes it from your ship and places it in a box so you can install it later. | 
tutorial_dsidismantletitle | DISMANTLING | 
tutorial_dsihighlightruinedequipment | This equipment is ruined, so you'll receive scrap metal when you dismantle it. | 
tutorial_dsihighlightsmelter | Let's use the scrap metal to produce metal ingots in the smelter. Right-click on the smelter. | 
tutorial_dsisetrecipe | Right-clicking on equipment allows you to set recipes. Set the smelter recipe to scrap metal. | 
tutorial_dsisetupdone | The smelter will now start producing metal ingots after it has finished heating up. | 
tutorial_dsismelterrecipes | RECIPES | 
tutorial_end_title | END OF TUTORIAL | 
tutorial_engines_title | ENGINES | 
tutorial_enginesconnectpipes | Let's start with the starboard engine. Use the pipes menu to run a pipe from the engine to your existing yellow fuel lines. | 
tutorial_enginesconnectpower | Now use the <b>CABLES</b> menu to power up the engine, by connecting it to your existing red power lines. | 
tutorial_enginesinformation | Engines require both <b>POWER</b> and <b>FUEL</b> to operate. We must connect both engines to fuel and power. | 
tutorial_enginesintro | The ship has two factory fitted engines ready to go, but we need to connect them up. | 
tutorial_enginesoperational | Both of our engines are now operational. | 
tutorial_enginesportside | Now repeat the process with the port engine. Connect the fuel and power lines to start the engine. | 
tutorial_enginesstarboardside | Fantastic work! The Starboard engine is now starting up. | 
tutorial_fabrication_title | FABRICATION | 
tutorial_fabricationclosefab1 | Close the Equipment Panel by clicking the X in the top right corner, or pressing <b>ESC</b>. | 
tutorial_fabricationclosefab2 | Close the Equipment Panel by clicking the X in the top right corner, or pressing <b>ESC</b>. | 
tutorial_fabricationconfigureass1 | We need to configure the <b>ASSEMBLY TABLE</b> in the same way.\n\nRIGHT <b>CLICK</b> on the assembly table. | 
tutorial_fabricationconfigureass2 | Select <b>STARGATE FRAME</b> from the drop-down menu. | 
tutorial_fabricationconfigurefab1 | We need to configure the new equipment to make the products that we want.\n\nRIGHT <b>CLICK</b> on the <b>FABRICATOR</b> to configure it. | 
tutorial_fabricationconfigurefab2 | This drop-down menu shows all of the components that we can manufacture in a <b>FABRICATOR</b>.\n\nSelect <b>FRAME</b> from the list. | 
tutorial_fabricationinstallassemblytable | Those components are then assembled into finished products on an <b>ASSEMBLY TABLE</b>.\n\nInstall an <b>ASSEMBLY TABLE</b> somewhere near the <b>FABRICATOR</b>. | 
tutorial_fabricationinstallfabricator | Components are manufactured in a <b>FABRICATOR</b>, using raw materials like <b>METAL INGOTS</b>.\n\nInstall a <b>FABRICATOR</b> somewhere in the South East quadrant of the station. | 
tutorial_fabricationpower | This new equipment needs power.  Build <b>POWER CABLES</b> to connect your <b>REACTOR</b> to the <b>FABRICATOR</b> and <b>ASSEMBLY TABLE</b>. | 
tutorial_fabricationworking | Your crew are now fabricating <b>FRAMES</b> out of <b>METAL INGOTS</b>, then assembling those <b>FRAMES</b> into <b>STARGATE FRAMES</b>, which we can sell to the <b>STARGATE</b> project for profit. | 
tutorial_finance_title | CONTRACTS | 
tutorial_financearrived | We have arrived at the destination system. | 
tutorial_financeassigntransport | This mission requires us to transport a group of people from here to another location in the sector.\n\nClick the accept button to assign this contract to the <b>PROCYON</b>. | 
tutorial_financeclosesectormap | Close the <b>SECTOR MAP</b> by clicking the X in the top right corner, or by pressing <b>ESC</b>. | 
tutorial_financeftlwindow | Open the <b>FTL</b> screen to order the <b>FTL</b> jump. | 
tutorial_financehyperspace | We are in hyperspace! | 
tutorial_financejump | Click the <b>JUMP</b> button to jump to hyperspace. | 
tutorial_financemissioncomplete | The passengers have all arrived safely. You will now be paid the fee and will also receive points toward your Humanitarian rating - giving you access to more difficult and lucrative missions. | 
tutorial_financemissionscreen | Now that our ship is up and running, we need to earn our way.  We can complete contracts for financial reward and reputation.\n\nOpen the <b>CONTRACTS</b> screen to see a list of available contracts. | 
tutorial_financepassengersinbound | The passengers will be delivered to the <b>PROCYON</b> by shuttle. | 
tutorial_financepreparejump | Click on <b>PREPARE JUMP</b> to align the ship and prepare for hyperspace. | 
tutorial_financepreparingjump | The <b>PROCYON</b> will align for hyperspace, and prepare the <b>FTL</b> drive to make the jump. | 
tutorial_financesectormap | All passengers have been delivered to the <b>PROCYON</b>, and our <b>FTL</b> drive is operational. We must now plot an <b>FTL</b> jump to their destination.\n\nOpen the <b>SECTOR MAP</b>. | 
tutorial_financeselectmission | We now need to turn in our completed passenger contract.\n\nOpen the <b>CONTRACTS</b> screen and select the passenger mission. | 
tutorial_financeselectship | Contracts are assigned to the ship you currently have selected.\n\nOnly the <b>PROCYON</b> can travel between locations, so select the <b>PROCYON</b>. | 
tutorial_financeselecttransport | Here we have a <b>TRANSPORT PASSENGER</b> contract, click it to see more details. | 
tutorial_financesetdestination | This is a map of all the systems in this sector.\n\nOur ship and our space station are located in the middle, where the map is marked <b>YOU-ARE-HERE</b>.\n\nSet a course to the destination (labelled <b>TRANSPORT</b> PASSENGERS) by clicking on it. | 
tutorial_financeturnin | Click the <b>DELIVER</b> button to drop off the passengers and receive payment | 
tutorial_financeturningin | A shuttle will be dispatched to collect the passengers. | 
tutorial_fleetcrew | We will need a crew. Hire five <b>CREW MEMBERS</b> from the <b>TRADE</b> screen. | 
tutorial_fleetcrew_shiftclick | <b>NOTE</b>: You can <b>SHIFT CLICK</b> to hire in multiples of 5. | 
tutorial_fleetcrewarrival | Your new crew will arrive by shuttle. | 
tutorial_fleetresources | We also need resources for the ship to function.\n\nUse the <b>TRADE</b> screen to buy:\n- 5x <b>FUEL</b>\n- 5x <b>OXYGEN</b>\n- 5x <b>FTL CHARGE</b>\n- 2x <b>FOOD</b>\n- 2x <b>WATER</b>.\n\nCONFIRM the trade when you are done. | 
tutorial_fleetspacesuits | Those crew will also need <b>SPACESUITS</b> as there is no atmosphere onboard our ship yet.\n\nOrder five <b>SPACESUITS</b> for the new crew. | 
tutorial_fleettrade | The ship is fitted with engines and an <b>FTL</b> drive for Interstellar Travel! But it does need a crew.\n\nOpen the <b>TRADE</b> screen. | 
tutorial_fleettradeconfirm | <b>CONFIRM</b> the trade. | 
tutorial_fleetwaitforpowerup | Your crew will now power up the ship and bring the engines and life support online. | 
tutorial_flight_title | FLIGHT | 
tutorial_flightengines | We can directly control our engine <b>THROTTLE</b> from here.\n\nTry increasing your engine throttle with this control. | 
tutorial_flightexittactical | Exit <b>TACTICAL</b> mode by clicking the button again, or pressing <b>{ToggleTactical}</b>. | 
tutorial_flightinformation | Your crew will continue to operate the ship and keep the engines running as you travel around. Try flying around the system until you have a handle on the controls.\n\nWhen you are ready, bring the ship to a stop by setting the <b>THROTTLE</b> to zero in <b>TACTICAL</b> mode. | 
tutorial_flightsetcourse | We can send our ship to a specific location by <b>RIGHT-CLICKING</b>. Try setting a destination by right clicking in the tactical view. | 
tutorial_flighttactical | We should give our engines a small test flight.  To maneuver our ship, switch into <b>TACTICAL</b> mode by clicking the highlighted button, or pressing <b>{ToggleTactical}</b>. | 
tutorial_flightturning | We can also turn the ship by left clicking in <b>TACTICAL</b> mode, in the direction we wish to travel. | 
tutorial_ftl_title | FASTER THAN LIGHT | 
tutorial_ftladdftldrive | Add one <b>FTL</b> drive to our order by clicking on the entry in the list. | 
tutorial_ftladdftlfuel | <b>FTL</b> drives consume one fuel charge per jump. Add 5 <b>FTL</b> Charges to the order as well. | 
tutorial_ftlconfirmorder | Confirm the order. | 
tutorial_ftldelivery | A shuttle will deliver the items to us. | 
tutorial_ftlinstallftl | Install the <b>FTL</b> drive anywhere in your ship. | 
tutorial_ftlintro | We cannot deliver those passengers to their destination without Faster-Than-Light travel. Unfortunately this ship is not equipped with its own <b>FTL</b> drive.\n\nWe'll need to buy one and set it up. | 
tutorial_ftlpowerftl | Connect the <b>FTL</b> drive to your power network. | 
tutorial_ftlselectpropulsion | The items we need are listed under <b>PROPULSION</b>. Select that category. | 
tutorial_ftlstoragedone | The crew will move all the <b>FTL</b> Charges into this zone. | 
tutorial_ftlstoragetoolbar | We can make things more efficient for our crew by telling them to store <b>FTL</b> Charges near the <b>FTL</b> drive.\n\nSelect <b>STORAGE</b> from the <b>CONSTRUCTION</b> toolbar, then select <b>FTL</b> Charges from the list. | 
tutorial_ftlstorageworld | Now drag out a storage zone near to the <b>FTL</b> drive. | 
tutorial_ftltradescreen | Open the trade screen to purchase an <b>FTL</b> drive. | 
tutorial_introduction_title | TUTORIAL | 
tutorial_introduction1 | Welcome to our new home. | 
tutorial_introduction2 | This vessel is fresh out of the shipyard production line.\n\nIt's just an empty hull right now, without power or a breathable atmosphere. Our first job is to fix that.\n\nClick <b>NEXT</b> to continue. | 
tutorial_logistics_crew_title | CREW LOGISTICS | 
tutorial_logisticscrewclicktarget | Click in the <b>CREW</b> cell of the <b>DESTINATION</b> ship to request 5 crew to transfer. | 
tutorial_logisticscrewclicktarget_shiftclick | <b>NOTE</b>: You can <b>SHIFT CLICK</b> to request transfer in multiples of 5. | 
tutorial_logisticscrewopen | Open the Fleet Logistics window. | 
tutorial_logisticscrewselectfrom | Select the <b>SOURCE</b> ship that the crew will come <b>FROM</b>. | 
tutorial_logisticscrewselectship | Select the <b>UMC</b> Astral Temptress. \n\n As you can see it has no crew. | 
tutorial_logisticscrewstart | We are now going to learn how to transfer crew from one ship to another.\n\nThe two ships must be docked so that the crew can walk from one ship to another. | 
tutorial_logisticscrewsuccess | Well done. You have transferred some crew successfully! | 
tutorial_logisticscrewswitchtonormalview | First, switch back to normal view by leaving tactical mode. | 
tutorial_logisticscrewwait | Excellent. Now we just need to wait for the crew to transfer. | 
tutorial_mining_title | MINING | 
tutorial_miningfleetorders | You also need to make sure that <b>GATHER MATERIALS</b> is enabled in <b>FLEET ORDERS</b>. | 
tutorial_miningflytodeposit | This system seems to have asteroids containing Tilium Ore, fly close to one of them. | 
tutorial_miningflytosystem | Look at the rocks on the map, these indicate <b>ASTEROID BELTS</b>. \n\nFly to a system in an asteroid belt, it will probably contain Tilium Ore. | 
tutorial_mininggetinrange | Move your ship until the mineral patch is in the range of fire. | 
tutorial_mininginstalldronebay | Drones will collect mined resources.\n\nInstall a <b>DRONE BAY</b> so your drones can collect the Tilium Ore. | 
tutorial_mininginstalllaser | You will need a Mining Laser. These use a lot of power so consider installing extra reactors or batteries.\n\nInstall a <b>MINING LASER</b> and connect it to the power grid. | 
tutorial_mininginstallsmelter | You will need to smelt the raw Tilium Ore to crystals.\n\nInstall a <b>SMELTER</b>. | 
tutorial_miningopenmap | Now open the sector map (<b>{ToggleMap}</b>). | 
tutorial_miningopenweaponscontrol | Open the weapons control panel. | 
tutorial_miningrange | You can see the range of mining lasers by hovering over them. Mining lasers will fire at mineral patches in their field of fire. | 
tutorial_miningselectlaser | You can also target specific mineral patches.\n\nFirst, select which laser you would like to use.\n\nYou can <b>SHIFT CLICK</b> to select multiple lasers. | 
tutorial_miningselecttarget | Target a Tilium Ore patch by clicking on one while having a mining laser selected. | 
tutorial_miningsetsmelter | Right click on the <b>SMELTER</b> and select <b>TILIUM ORE</b> to smelt it into Tilium Crystals. | 
tutorial_miningstart | We are now going to learn how to mine and collect resources from asteroids. | 
tutorial_miningsuccess | Well done, you have produced Tilium Cystals. | 
tutorial_miningswitchtotactical | Switch to tactical mode. | 
tutorial_miningundock | Make sure to <b>UNDOCK</b> from any other ship (from the <b>TACTICAL</b> screen). | 
tutorial_miningwaitsmelter | Perfect! Now wait for your smelter to smelt the Tilium Ore. | 
tutorial_next | NEXT | 
tutorial_power_title | INSTALLING POWER | 
tutorial_power_titlecomplete | POWER INSTALLED | 
tutorial_powerinstallmenu | Let's begin by installing a <b>REACTOR</b>, to generate power for our ship.\n\nClick into the <b>CONSTRUCTION</b> menu, then click <b>INSTALL</b>. | 
tutorial_powerpipeconnect | Drag a pipe from the <b>FUEL LOADER</b> to the <b>REACTOR</b>, connecting the yellow pipe circles.\n\nFUEL <b>PIPES</b> are used to connect the output from one piece of equipment into the input of another.\n\nFUEL <b>PIPES</b> are yellow and must connect the yellow circles on equipment. | 
tutorial_powerplaceloader | Stamp the <b>FUEL LOADER</b> down somewhere near the <b>REACTOR</b>. | 
tutorial_powerplacereactor | Stamp the <b>REACTOR</b> down inside your ship. | 
tutorial_powerreactoractive | The <b>REACTOR</b> is activated! We are now generating power for our ship. | 
tutorial_powerreactorinprogress | Your crew will install the <b>REACTOR</b>. | 
tutorial_powerreactorpowerup | The <b>REACTOR</b> is starting up. | 
tutorial_powerselectloader | The <b>REACTOR</b> needs <b>FUEL</b>, and we use a <b>FUEL LOADER</b> to pump it to the <b>REACTOR</b>.\n\nSelect the <b>FUEL LOADER</b> from the Construction menu. | 
tutorial_powerselectpipes | We need to connect the <b>FUEL LOADER</b> to the <b>REACTOR</b>, using a Pipe.\n\nSelect <b>PIPES</b> from the Construction Menu. | 
tutorial_powerselectreactor | This is all the boxed equipment you have available on-board.\n\nSelect <b>REACTOR</b> from the list. | 
tutorial_productionstart | We are now going to learn how to produce <b>STARGATE FRAMES</b>. | 
tutorial_productionsuccess | Well done, you are now all set to produce <b>STARGATE FRAMES</b>. | 
tutorial_radiation_title | RADIATION | 
tutorial_radiationinstallblockers | Radiation spread can be limited by special equipment called radiation blockers.\n\nInstall some blockers close to your laser infuser, leaving a small gap between the infuser and the blocker.\n\nIncrease the game speed when you are ready. | 
tutorial_radiationinstallinfuser | A laser infuser has been delivered to your ship.\n\nLaser infusers are used to charge empty crystals with zeleon gas and will emit radiation to the surrounding area while powered.\n\nInstall the laser infuser in a clear area. | 
tutorial_radiationintro | We are going to learn about radiation. | 
tutorial_radiationoutro | Your crew will become sick if exposed to unsafe radiation for too long, which may eventually result in death. | 
tutorial_radiationselectoverlay | The game has been set to a slower speed for now.\n\nRadiation is emitted in all directions away from the laser infuser.\n\nClick on the radiation overlay to view where your ship is irradiated. | 
tutorial_radiationselectoverlay2 | All green areas of your ship are safe for your crew, but the darker areas are dangerous.\n\nSpacesuits will protect your crew from being irradiated. | 
tutorial_radiationselectoverlay3 | A radiation blocker will lower the radiation travelling through it, this can be seen on the radiation overlay. | 
tutorial_radiationsetupinfuser | An empty crystal and some zeleon energy cells have been delivered to your ship too.\n\nLet's set the laser infuser to use them to produce charged crystals. | 
tutorial_radiationsuccess | Well done, you have now learnt how radiation works and how to manage radiation levels in your ship. | 
tutorial_radiationwaitforinputs | The laser infuser is set to start making charged crystals!\n\nLet's wait for it to begin charging crystals.\n\nDon't forget to power the Laser Infuser. | 
tutorial_resin_title | GAS COLLECTORS | 
tutorial_resinchemicallabrecipe | Right click on the <b>CHEMICAL LAB</b> and set its recipe to <b>MAKE STARGATE RESIN</b>. | 
tutorial_resinconnectchemicallab | Connect the <b>REFINERY</b> to the <b>CHEMICAL LAB</b> with a <b>PIPE</b>. | 
tutorial_resinconnectgascollector | Connect the <b>GAS COLLECTOR</b> to the <b>REFINERY</b> with a <b>PIPE</b>. | 
tutorial_resininstallgascollector | Install the <b>GAS COLLECTOR</b>, <b>REFINERY</b> and <b>CHEMICAL LAB</b> so that they are close to each other. | 
tutorial_resinintro | Turning our attention back to the Stargate, the Stargate project also requires us to produce <b>STARGATE RESIN</b>.\n\nWe are going to use the <b>INDUSTRIOUS</b> to collect <b>METREON GAS</b>, refine it, and process it into <b>STARGATE RESIN</b>. | 
tutorial_resinintro2 | Raise enough money to purchase for <b>INDUSTRIOUS</b>:\n\n- 1x <b>GAS COLLECTOR</b>\n- 1x <b>REFINERY</b>\n- 1x <b>CHEMICAL LAB</b> | 
tutorial_resinjumptonebula | Close the sector map and use the <b>FTL</b> Window to jump the <b>INDUSTRIOUS</b> to the nebula. | 
tutorial_resinpowerup | Power up the <b>GAS COLLECTOR</b>, <b>REFINERY</b> and <b>CHEMICAL LAB</b>. | 
tutorial_resinrefineryrecipe | Right click on the <b>REFINERY</b> and set its recipe to <b>REFINE METREON GAS</b>. | 
tutorial_resinselectnebula | Before we can start collecting the <b>METREON GAS</b>, we need to move the <b>INDUSTRIOUS</b> to a system containing a <b>GAS CLOUD</b>.\n\nUse the <b>SECTOR MAP</b> to select a suitable destination. | 
tutorial_resinstart | We are now going to learn how to produce <b>STARGATE RESIN</b>. | 
tutorial_resinsuccess | Well done, you have started to produce <b>STARGATE RESIN</b>.\n\nWhen you have produced enough, travel back to any <b>COLONY</b>, <b>SHIP YARD</b> or the <b>STARGATE</b> system to sell it to the <b>STARGATE PROJECT</b>. | 
tutorial_smelters_title | SMELTERS | 
tutorial_smeltersbuild | But we do have plenty of <b>SCRAP METAL</b>, and we can melt that down in a <b>SMELTER</b>.\n\nBuild a <b>SMELTER</b> somewhere near the production line. | 
tutorial_smeltersdismantle | There is a ton of <b>RUINED EQUIPMENT</b> around this old station, that we can break down into <b>SCRAP METAL</b>.\n\nSelect <b>DISMANTLE</b> from the <b>CONSTRUCTION</b> toolbar. | 
tutorial_smeltersintroduction | We are going to need a lot of <b>METAL INGOTS</b> if we're to make enough of those <b>STARGATE FRAMES</b>.\n\nWe don't have many <b>METAL INGOTS</b> on board, and will run out soon. | 
tutorial_smeltersoperational | The crew will now load in all the <b>SCRAP METAL</b> and smelt it into much more useful <b>METAL INGOTS</b>. | 
tutorial_smelterspower | Connect the smelters to the <b>REACTOR</b> using <b>POWER CABLES</b> | 
tutorial_smelterssalvage | Click on the nearby <b>RUINED EQUIPMENT</b> to instruct your crew to dismantle it into <b>SCRAP METAL</b>. | 
tutorial_smeltersscrapmetal | Right click on the <b>SMELTER</b> and set its material to be <b>SCRAP METAL</b>. | 
tutorial_smeltersstoragedone | The crew will move all the <b>SCRAP METAL</b> into this zone. | 
tutorial_smeltersstoragetoolbar | We can make things more efficient for our crew by telling them to store <b>SCRAP METAL</b> near to the <b>SMELTER</b>.\n\nSelect <b>STORAGE</b> from the <b>CONSTRUCTION</b> toolbar, then select <b>SCRAP METAL</b> from the list. | 
tutorial_smeltersstorageworld | Now drag out a storage zone near to the <b>SMELTER</b>. | 
tutorial_stargatejump_title | STARGATE JUMPING | 
tutorial_stargatejumpabortjump | We will need to abort the jump that's currently planned. | 
tutorial_stargatejumphighlightalign | When no jump is planned on the sector map, you can align your fleet for a Stargate jump. | 
tutorial_stargatejumphighlightaligning | Great! The selected ships will now align for the jump. | 
tutorial_stargatejumphighlightjump | Your fleet is ready to jump to the new sector!\n\nYou can come back to this sector by performing another Stargate jump. | 
tutorial_stargatejumpintro | The Stargate enables travel between different sectors.\n\nThe jump costs a single <b>FTL</b> charge and the Stargate will use more power while a jump is in progress. | 
tutorial_stargatejumpnopower | The Stargate currently has lost power and needs to be started again.\n\nUse energy transmitters to power the Stargate.\n\nWhen the Stargate is ready, we will try again! | 
tutorial_stargatejumpopenftl | First, let's open the <b>FTL</b> window. | 
tutorial_stargatejumpselectsystem | Let's have a look at your ship in the Stargate system.\n\nStargate jumps can only be performed from the Stargate system. | 
tutorial_stargatejumpstart | We are now going to learn how to jump using the newly powered-up Stargate. | 
tutorial_stargatejumpsuccess | Well done. You can now jump between sectors! | 
tutorial_stargatescreen_title | STARGATE PROJECT | 
tutorial_stargatescreen1 | Let's turn our attention to the <b>STARGATE PROJECT</b>.\n\nWe can view our progress from the Stargate screen.\n\nOpen the <b>STARGATE</b> screen. | 
tutorial_stargatescreen2 | This screen shows the phases that require construction in order to complete the <b>STARGATE</b>.\n\nWe are in <b>PHASE</b> 1. Work has only just begun. | 
tutorial_stargatescreen3 | On the left of the screen you can see the requirements to complete <b>PHASE</b> 1.\n\nWe need to manufacture:\n- 100 <b>STARGATE FRAMES</b>\n- 10 <b>STARGATE RESIN</b> | 
tutorial_stargatescreen4 | These <b>PHASE</b> 1 components are easy to manufacture, and we already have what we need onboard.\n\nBut we can sell them to the <b>STARGATE PROJECT</b> for a small fortune. | 
tutorial_stargatescreen5 | Close the <b>STARGATE</b> screen by clicking on the toolbar again (or press ESC). | 
tutorial_stargatewindowclosewindow | You can now close the Stargate screen. | 
tutorial_stargatewindowhighlightcomponent | Each component you need to manufacture is on the left.\nPlacing your mouse over a component's icon shows how to produce it. | 
tutorial_stargatewindowhighlightframes1 | To complete Phase 2, we need to continue manufacturing Stargate Frames.\n\nInstead of 10, we now need 200! | 
tutorial_stargatewindowhighlightframes2 | Sell your frames at a trading post to submit them to the Andromeda Project. | 
tutorial_stargatewindowhighlightphase2 | Select Phase 2 to see what you need to manufacture for this phase. | 
tutorial_stargatewindowhighlightphases | The Stargate's construction is split into phases, with each phase requiring more and more resources.\nYou have just completed Phase 1. | 
tutorial_stargatewindowintro | The Stargate screen displays everything you need to manufacture to complete the current phase. | 
tutorial_stargatewindowopenwindow | Select the Stargate button in your toolbar to open the Stargate screen. | 
tutorial_survey_title | SECTOR SURVEYING | 
tutorial_surveyhighlightsectorsurveysystem | Hovering the mouse over the current system will reveal the radius around the system that is being scanned and the scan's progress toward finding new points of interest.\n\nOpen the <b>SECTOR MAP</b> and click <b>NEXT</b> to speed-up the survey. | 
tutorial_surveyinstallcomputers | Install a super-computer on one of your ships.\n\nThis tutorial will resume afterwards. | 
tutorial_surveyinstallsensors | Install Hyperspace Sensors or Hyperspace Sensor LRs onto one of your ships.\n\nThis tutorial will resume afterwards.\n\nIf you are playing the Boldly Go game mode, your ship must also be in the new sector. | 
tutorial_surveyintro | We are going to learn how to survey the area around your ship.\n\nThe first step is to scan the local area of the sector surrounding you ship using a <b>SECTOR SCAN</b>.\n\nIn Boldly Go, only the new sector can be surveyed.\n\nHyperspace sensors are required to do this. | 
tutorial_surveylocalsurveyintro | The next step is to perform a <b>LOCAL SURVEY</b>.\n\nLocal surveys allow points of interest to be accessed via FTL.\n\nShips need to have super computers installed and must be in the same sector to participate in a local survey. | 
tutorial_surveyoutro | Click <b>NEXT</b> to speed-up the survey. | 
tutorial_surveystartlocalsurvey | Areas of interest will expire after some time if they are not surveyed. Multiple layers can contribute towards a local survey.\n\nClick on the point of interest to begin the local survey. | 
tutorial_surveystartsectorsurvey | Sector scans search for areas of interest in the sector around the system your ship is located in.\n\nThe scan will stop after it has completed. Only one layer in a system can do a sector scan.\n\nClick the button to begin a sector scan. | 
tutorial_surveysuccess | A new system on the sector map has appeared for your fleet to explore!\n\nWell done, you have now learnt how to use sector surveying to find and explore new systems.\n\nKeep an eye out for special loot on surveyed derelict ships that can be researched by your science stations. | 
tutorial_trade_title | TRADE | 
