dsi_action_canceldeal | Cancel the deal with X | 
dsi_part1_setupcall4 | Your first job is to send over a skeleton crew, and establish basic power generation and life support.  I had the previous crew box up some of the usable equipment.  You should find the parts you need are already in storage. | 
dsi_part1_setupstorage1 | Efficiency is going to be the key to this facility turning a profit.  Set up a storage zone for scrap metal near to your Smelter, and another for the Metal Ingots that come out.  Our crew will waste a lot less time carrying goods long distances. | 
dsi_part1_stationname | A.J.E Foundry | 
dsi_part1_title | Deep Space Industrialists | 
dsi_part2_action_accept | Call X | 
dsi_part2_action_askaboutisotopes | Ask about Stable Isotopes | 
dsi_part2_action_buyship | Buy gas fuselage | 
dsi_part2_action_takecontrol | Take control of station | 
dsi_part2_actuatorsintro1 | I propose we expand and upgrade the Station into a mining facility.  If we install Engines we can move to a rich asteroid vein, then Mining Lasers and Logistics Drones will give us the capability to harvest the raw materials we need. | 
dsi_part2_actuatorsintro2 | The Stargate Actuators are made on the Assembly Table as normal, and they require a Stargate Frame and a Motor. Motors can be made in fabricators. | 
dsi_part2_actuatorsintro3 | You'll need to mine Metallic Minerals and Copper Minerals, then melt those materials into ingots in an array of Smelters.  You can then fabricate the Motors and Frames, and finally assemble them into Stargate Actuators. | 
dsi_part2_actuatorsintro4 | I'll release some more of the seed capital to cover the costs of the upgrade, but you can take care of the details. | 
dsi_part2_actuatorsintro5 | One last thing, Captain.  I'm sure you've noticed, we aren't exactly surrounded by asteroids here.  I suggest you pair the station up with one of your FTL capable vessels, and jump them both to a suitable mining location.  You can leave the station there to do its work. | 
dsi_part2_advertisement | Captain, I think it's time we resumed work on the Stargate contract.  I've had a look ahead and the next phase is a huge step up.  Give me a call when you're ready to continue work. | 
dsi_part2_firstpartcomplete | Excellent work, Captain.  On time and to specification, as usual.  The Andromeda Project have enough of that item now, so you may as well stop production and save the energy and materials. | 
dsi_part2_introcall1 | Welcome back, Captain.  I've been taking a look at the schematics published by the Andromeda Project, and the next phase is going to need a huge upgrade to our facilities. | 
dsi_part2_introcall2 | However, nothing they're asking us to produce is impossible, and I have a strong personal interest in seeing this project completed.  The sooner the better. | 
dsi_part2_introcall3 | The Andromeda Project have released specifications for three different components.  We need to manufacture large quantities of all three to complete this phase, and each will require a different industrial setup. | 
dsi_part2_introcall4 | The first part is a Stargate Actuator.  This is something we can manufacture in our existing factory station, although it's a more complex production chain.  There won't be nearly enough resources available in the Marketplace, so we'll have to mine the local belt for minerals. | 
dsi_part2_introcall6 | The second part is a chemical compound they're calling Stargate Resin.  It's synthesised in a Chemical Lab, but we first need huge volumes of Metreon Gas.  It's found only in deep space nebulas. | 
dsi_part2_introcall7 | My thinking is to buy a suitable fuselage from a Shipyard, and then convert it into a dedicated gas capture and refining facility.  There's a good ship nearby.  You can buy it on my behalf and then set it up, and we'll drop it off in a rich gas cloud and leave it running. | 
dsi_part2_introcall8 | The final requirement is a few barrels of Stable Isotopes.  These are easily captured during routine FTL travel.  I think you can take care of this one yourself, but if necessary I can talk you through it. | 
dsi_part2_introcall9 | Time is now of the essence, Captain.  All three parts need to be produced, and I'm in more of a hurry than you may realise.  Keep me informed! | 
dsi_part2_isotopesintro1 | We need to produce 100 Stable Isotopes. This is a chemical compound we must synthesise and deliver in barrels to the Andromeda Project. | 
dsi_part2_isotopesintro2 | It's not too complex.  It starts with a Hyperspace Scoop, or several ideally, that you can fit to your vessels.  Every time you make an FTL jump you'll collect more as you pass through hyperspace.  You can then pipe those isotopes into a Refinery and convert them into Stable Isotopes. | 
dsi_part2_isotopesintro3 | The final stage is to install a Loader or two, and set them to 'UNLOAD'.  This will instruct your crew to barrel up the stable isotopes and store them in the cargo hold so you can easily sell them on the Marketplace. | 
dsi_part2_objective_actuators | Manufacture Stargate Actuators [*X/250] | 
dsi_part2_objective_buygasfuselage | Buy the Gas Capture fuselage | 
dsi_part2_objective_collectgas | Begin collecting Metreon Gas [*X/100] | 
dsi_part2_objective_collectisotopes | Begin collecting Hyperspace Isotopes [*X/100] | 
dsi_part2_objective_copperingots | Begin smelting Copper Ingots [*X/100] | 
dsi_part2_objective_installdrones | Install logistics drones | 
dsi_part2_objective_installengines | OPTIONAL: Install engines in the A.J.E Foundry | 
dsi_part2_objective_installlasers | Install mining lasers | 
dsi_part2_objective_installscoop | Install Hyperspace Scoop | 
dsi_part2_objective_isotopes | Manufacture Stable Isotopes [*X/100] | 
dsi_part2_objective_minecopper | Begin mining copper minerals [*X/100] | 
dsi_part2_objective_mineminerals | Begin mining metallic minerals [*X/100] | 
dsi_part2_objective_producemotors | Begin fabricating Motors [*X/100] | 
dsi_part2_objective_refinegas | Begin refining Metreon [*X/100] | 
dsi_part2_objective_resin | Manufacture Stargate Resin [*X/250] | 
dsi_part2_objective_sellreminder | Sell your manufactured parts to submit them to the Stargate project | 
dsi_part2_objective_takecontrol | Take control of the A.J.E Foundry | 
dsi_part2_objective_traveltonebula | Transport the Gas Collector to a Nebula | 
dsi_part2_objective_unloadisotopes | Begin unloading barrels of Stable Isotopes [*X/10] | 
dsi_part2_resinintro1 | There is a ship for sale here that's perfect for our gas collection enterprise.  Let's buy it and add it to the fleet. | 
dsi_part2_resinintro2 | Gas collection is a slow process.  Our aim should be to place this vessel within a dense metreon nebula, slowly absorbing the gas and refining it over time.  Once we're in the nebula we won't be able to easily upgrade the ship, so we'll want to set it up as much as possible in advance. | 
dsi_part2_resinintro3 | I'll send over more seed money and you can outfit the ship as you see best. | 
dsi_part2_resinintro4 | The process of making Stargate Resin starts with a Gas Collector bringing in the Metreon Gas.  We then pipe that into a Refinery to produce Refined Metreon, then into a Chemical Lab where the Stargate Resin can be synthesised. | 
dsi_part2_resinintro5 | You'll need all of that equipment to get started.  I'd recommend Collectors, Refineries, and Chemical Labs, four each at least.  You'll also want Storage Tanks to buffer the intermediate products, and an upgrade to the Power Grid. | 
dsi_part2_resinintro6 | You may need to shop around a bit, if the local trade post doesn't have everything you need. | 
dsi_part2_resinintro7 | Once the ship is ready, pair it up with one of your FTL capable vessels, and jump into a nearby nebula to begin the process of gas collection. | 
dsi_part2_scene_x1 | There's a situation brewing at our factory in the asteroid belt.  You'd better take a look. | 
dsi_part2_scene_x2 | I'll talk to him. | 
dsi_part2_scene_x3 | Raymond.  It's been quite a while.  How have you been? | 
dsi_part2_scene_x4 | Captain, I'll take care of this.  My private security are on their way.  I'll keep him talking, but there's no need for bloodshed. | 
dsi_part2_scene_x5 | You were compensated for your work Raymond.  You signed the contract. | 
dsi_part2_scene_y1 | Is he in there?  Alexander?  Where is he? | 
dsi_part2_scene_y2 | I'm not going to ask again.  I demand to speak to Alexander Elistar.  Immediately!  I am armed! | 
dsi_part2_scene_y3 | How have I been?  You know exactly how I've been.  I'm here to collect my share. | 
dsi_part2_scene_y4 | The designs were mine.  The patents were mine!  All of this, it's all built on my work. | 
dsi_part2_scene_y5 | For pennies!  You screwed me, and now it's worth millions! | 
dsi_part2_scene_y6 | I want my share.  Deal me in.  10% ownership of this new venture of yours.  I'm being reasonable, but the law is on my side.  Don't make me shut you down Alexander. | 
dsi_part2_scene_y7 | You've left me no choice. | 
dsi_part2_scene_y8 | I'll be coming for you Alexander, and this time I'm not asking for 10%. I want it all. | 
dsi_part2_scene_z1 | This is Private Security vessel DOGMA, under exclusive contract to A.J.E Industries. | 
dsi_part2_scene_z2 | You are operating in a dangerous and threatening manner in the vicinity of an A.J.E corporate facility. | 
dsi_part2_scene_z3 | You are ordered to stand down and withdraw immediately. | 
dsi_part2_scene_z4 | We are authorised by deep space convention in the use of deadly force in defense of our client's assets. | 
dsi_part2_scene_z5 | THERE WILL BE NO FURTHER WARNING. | 
dsi_part2_secondpartcomplete1 | I'm sure you've noticed, we're making a small fortune from all of this.  Truth be told, I'm not really doing this for the revenue.  I already have more than I can ever spend.  But I'm running out of time.  The Doctors have made that clear to me. | 
dsi_part2_secondpartcomplete2 | I've been around quite a few years.  I've had my share of success, built my empire, my fortune.  I live a comfortable life.  But I find myself thinking more and more about what I want to do with the time I have left. | 
dsi_part2_secondpartcomplete3 | I just want to be the first at something huge.  The first person to visit another galaxy.  Alexander James Elistar.  That's a name that people would remember. | 
dsi_part2_summary | Resume work on the Stargate with X | 
dsi_part2_thirdpartcomplete1 | We are all done, Captain.  That was an incredible display of industrialised power.  There's nobody even close to us in the Marketplace, and we basically are the Andromeda Project.  They need us now. | 
dsi_part2_thirdpartcomplete2 | Let's take another break and I'll contact you when the Andromeda Project releases the manifest for their next phase. | 
dsi_part2_thirdpartcomplete3 | You should know that my Doctors continue to bring me bad news.  Each time I talk to them... well, I don't know how long I have left.  This will be my final project.  I just hope I have time to finish it. | 
dsi_part2_title | Deep Space Industrialists, Part 2 | 
dsi_x_canceldeal1 | I'm disappointed, Captain. You're backing out after all the investment I've put into this project? | 
dsi_x_canceldeal2 | You will regret this. | 
dsi_x_canceldeal3 | Goodbye, Captain. | 
dsi_xthanks1 | Thank you, Captain.  I appreciate the prompt payment. | 
dsi_xthanks2 | Payment received, thank you, Captain. | 
dsi_xthanks3 | I've received my share.  Excellent work, Captain. | 
dsi_xwarning1 | Captain, I can see you've sold a batch of Stargate parts, but I've received no corresponding payment.  We agreed to split all revenue 50/50.  This setup is costing me a fortune and I need to start making my return.  Please transfer the funds to my account as soon as possible. | 
dsi_xwarning2 | Captain, I was sure I'd made our agreement clear.  Don't forget who owns this station, and all the equipment onboard.  50/50 was what we agreed. | 
dsi_xwarning2_part1 | Captain, I was sure I'd made our agreement clear.  Don't forget who owns this station, and all the equipment onboard.  50/50 was what we agreed. | 
dsi_xwarning2_part2 | I thought I could trust you.  Pay me the money you owe, immediately, or I will be forced to escalate. | 
dsi_xwarning3 | Captain, this is your final warning.  You are now willfully withholding sales revenue that is legally mine.  If you don't pay what you owe immediately I will have no choice but to terminate our agreement, seize control of my station, and recover any financial losses directly from you. | 
