bravenewsector_part1_dophase6 | Complete Phase 6 of the Stargate Project | 
bravenewsector_part2_x4 | Please don't let that happen Captain. So much of my life and so many of my projects have been done purely for profit, I can't let this become one of them. The Stargate is too important and valuable for our species to be under their control. | 
bravenewsector_part2_x5 | I have installed a back-door that will cause the Stargate to self-destruct if you command it to. You must trigger it if the rumours are true. | 
bravenewsector_part2_x6 | Unfortunately, I've been given some bad news, and I won't be around for much longer. I would like to give you full ownership of the foundry as a thank you for helping me finish this final project. | 
bravenewsector_part2_x7 | It seems we have completed it just in time. | 
bravenewsector_part2_x8 | This is our final call, Captain. I wish you the best of luck. Thank you again, and goodbye. | 
bravenewsector_part3_artemis_1a | Captain? Is that you? What are you doing here? It's so good to see you! | 
bravenewsector_part3_artemis_1b | Greetings Captain, the Andromeda Project have hired me to work on synthesising crystals produced by a creature I discovered. I've named them tiddlets. | 
bravenewsector_part3_artemis_2a | The Andromeda Project have hired me to work on synthesising the tiddlet crystals that we discovered during our research, and I see they've sent you to provide me with the zeleon. | 
bravenewsector_part3_artemis_2b | Upon death, a crystal is formed at the core of the tiddlet. My job is to find a way to produce these crystals without having to farm any tiddlets in the process. | 
bravenewsector_part3_artemis_3a | I see you're looking after those tiddlets well! A lot has changed since the tiddlet farm explosion. They are a protected species now and harming them is strictly prohibited. | 
bravenewsector_part3_artemis_3b | The neubidium and zeleon you discovered could be key to my research. | 
bravenewsector_part3_artemis_4a | A lot has changed since the tiddlet farm explosion. They are a protected species now and harming them is strictly prohibited. | 
bravenewsector_part3_artemis_5a | One moment Captain, I've sent a shuttle to receive the resources from you. | 
bravenewsector_part3_artemis_5b | Unfortunately, it looks like you don't have the resources I need for my experiment, when you have the required amount come back and I'll retrieve them from you. | 
bravenewsector_part3_artemis_6 | Great! That should be all the resources I need. I'll run the experiments and call you back when I'm done. | 
bravenewsector_part3_artemis_7 | Speak to you soon, Captain! | 
bravenewsector_part3_artemis_results_1 | Hello Captain! I have incredible results. Using a highly powered zeleon laser we can charge synthetic crystals made of Neubidium to achieve properties similar to that of the tiddlet crystals. | 
bravenewsector_part3_artemis_results_3 | This is a fantastic breakthrough but I must warn you that the laser is incredibly radioactive, and will very quickly kill your crew if you don't correctly contain its radiation. | 
bravenewsector_part3_artemis_results_4 | Come back to my system and I'll send you one of my lasers along with some radiation blockers to keep your crew safe. | 
bravenewsector_part3_artemis_results_5 | The next step is to research how this all applies to the Stargate. My hypothesis is that we can use the crystal's energy-density properties to enable jumps much farther than the next sector. | 
bravenewsector_part3_artemis_results_6 | Good luck with your research, Captain. | 
bravenewsector_part3_deliverneubidium | Deliver a sample of Neubidium Ingots [*X/*Y] | 
bravenewsector_part3_deliversample | Deliver the resources | 
bravenewsector_part3_deliverzeleon | Deliver a sample of Shielded Zeleon [*X/*Y] | 
bravenewsector_part3_intro_rep1 | Hello again, Captain. Congratulations on completing the latest phase of the Stargate project! We are all very impressed by your commitment and dedication. | 
bravenewsector_part3_intro_rep2 | The project has a new task for you. One of our scientists is investigating a new lifeform called tiddlets. | 
bravenewsector_part3_intro_rep3 | Upon death, a crystal is formed at the core of the tiddlet. This crystal has extraordinary energy density, which is exactly what we need to increase the hyperspace range of the Stargate. | 
bravenewsector_part3_intro_rep4 | The Andromeda Project would love to relentlessly farm these tiddlets, but due to recent accidents they have become a strictly protected species. The scientist you're going to visit is researching how to ethically produce their crystals. He believes the new sector's resources will be a breakthrough for his research. | 
bravenewsector_part3_intro_rep5 | Visit him and provide him a sample of the zeleon. | 
bravenewsector_part3_receiveblockers | Receive Radiation Blockers [*X/*Y] | 
bravenewsector_part3_receivecrystal | Receive an Empty Crystal | 
bravenewsector_part3_receiveequipment | Receive new equipment from Artemis | 
bravenewsector_part3_receivelaser | Receive a Laser Infuser | 
bravenewsector_part3_receivezeleon | Receive Zeleon Energy Cell | 
bravenewsector_part3_summary | Assist the scientist with his research. | 
bravenewsector_part3_title | Brave New Sector, Part 3 | 
bravenewsector_part3_wait_rep1 | Thank you for doing that Captain, Artemis will correspond with you directly from now on. | 
bravenewsector_part3_wait_rep2 | Goodbye for now. | 
bravenewsector_part3_waitforresults | Wait for Artemis to call you about his experiment | 
bravenewsector_summary | Explore the new sector | 
bravenewsector_title | Brave New Sector | 
