wolf_character_harken | Commander Harken | 
wolf_part2_inperson_distress6 | The Reactor is reaching critical levels, Captain.  I can't stop it from overloading. | 
wolf_part2_inperson_distress7 | I'll try and buy you a few more seconds, but it's going to go critical any moment.  Get to a safe distance as soon as you can, Captain.  Save my crew! | 
wolf_part2_objective_dock | Dock with the UMC Orion Sentinel | 
wolf_part2_objective_dropoff | Drop off the survivors at any shipyard or colony [*X/*Y] | 
wolf_part2_objective_escape | Get to a safe distance before the Orion Sentinel explodes | 
wolf_part2_objective_rescue | Rescue the crew of the UMC Orion Sentinel [*X/40] | 
wolf_part2_objective_thrusters | Fit four manoeuvering thrusters to your vessel [*X/4] | 
wolf_part2_objective_visitharken | Travel to Commander Harken | 
wolf_part2_rescued | Rescued *X/*Y crew | 
wolf_part2_setup1 | Thank you for coming, Captain. | 
wolf_part2_setup2 | We have been attempting to track the pirate vessel down, but to no avail. We keep arriving at the scene to find destroyed ships with no trace of the pirates. We need you to- | 
wolf_part2_setup3 | This is now an urgent humanitarian rescue situation. If we respond quickly enough, we may just be lucky and find a crew we can rescue. | 
wolf_part2_setup4 | You'll need to acquire at least four Manoeuvring thrusters to dock with Captain Ryker's ship. | 
wolf_part2_setup5 | Time is running out.  Send a ship to the Orion Sentinel and provide whatever aid you can, before it's too late. | 
wolf_part2_title | A Wolf in Sheep's Clothing, Part 2 | 
wolf_part3_action_chargeemp | Charge EMP | 
wolf_part3_action_triggeremp | Trigger EMP | 
wolf_part3_advertisement1 | Captain, we have hatched a plan that we believe will catch the pirate vessel in the act. | 
wolf_part3_advertisement2 | Please come to see us and we will explain the mission objectives. | 
wolf_part3_combat1 | Captain, we're on our way.  Mobilise your crew and install those weapon systems ASAP. | 
wolf_part3_combat2 | The cavalry are coming.  Hold them off for just a few moments. | 
wolf_part3_combat3 | Unfortunately it seems we have arrived too late. Your crew's sacrifice will not be forgotten. | 
wolf_part3_combat4 | Target that explosion and fire! | 
wolf_part3_debrief1 | Congratulations, Captain. Your performance in the destruction of the Pirate Vessel exceeded all expectations! | 
wolf_part3_debrief2 | Your skill and bravery have not gone unnoticed. I extend my heartfelt gratitude for your help. | 
wolf_part3_debrief3 | As a token of appreciation, consider the Astral Temptress now a part of your fleet. | 
wolf_part3_debrief4 | The ship was due to be scrapped, but we think it may have some years left in its structure yet. | 
wolf_part3_debrief5 | Farewell, Captain. Your dedication to justice and the safety of our sector will be remembered. | 
wolf_part3_emp1 | We've found them! This is our shot. | 
wolf_part3_emp2 | Charge the EMP weapon and get ready to hit them where it really hurts. Let them come in close. Really close. | 
wolf_part3_emp3 | They're in range! Trigger the EMP from your FTL drive now! | 
wolf_part3_emptysystem1 | This system is exactly the kind where the pirates might attack. | 
wolf_part3_emptysystem2 | Keep looking busy and travel to another empty system, the pirates must already be on your trail. | 
wolf_part3_episodesystem1 | We have received intel that this system is too special to risk luring the pirate here. | 
wolf_part3_episodesystem2 | Try to avoid systems with other important activity. | 
wolf_part3_intro1 | We have hatched a plan that we believe will catch the pirate vessel in the act.  We're standing by with a strike force to bring them to justice, and we need your help to bait the trap. | 
wolf_part3_intro2 | This is a risky mission, will you help us? | 
wolf_part3_objective_chargeemp | Charge the EMP [*X%] | 
wolf_part3_objective_destroypirate | Destroy the Pirate Ship | 
wolf_part3_objective_dockastral | Dock with the Astral Temptress and crew the ship [*X/*Y] | 
wolf_part3_objective_getclose | Let the pirates come close | 
wolf_part3_objective_gotoharken | Travel to Commander Harken's ship | 
wolf_part3_objective_installweapons | Install cannons and connect them to the power grid. [*X/*Y] | 
wolf_part3_objective_jumparound | Jump the Astral Temptress to empty systems until attacked | 
wolf_part3_objective_survive | Survive until the strike force arrives | 
wolf_part3_objective_triggeremp | Trigger the EMP | 
wolf_part3_otherships1 | There are other ships in this system. The pirates won't attack you unless they see the cargo ship alone! | 
wolf_part3_otherships2 | Try avoiding busy systems with colonies or shipyards. | 
wolf_part3_ranaway1 | We almost had them! Your cooperation is crucial for this operation to go smoothly. | 
wolf_part3_ranaway2 | The pirates are probably still on your trail thinking you got scared, jump to an empty system to bait them out again. | 
wolf_part3_setup1 | Captain, it's time to hold this pirate vessel to account for all the damage they've done, and all the lives they've taken. | 
wolf_part3_setup2 | The UMC Astral Temptress is the bait in our trap.  It's a long haul commercial freighter that was due to be scrapped.  We want you to take the Astral Temptress and travel through the most remote, unprotected locations in the sector. | 
wolf_part3_setup3 | Look busy, look like you're going somewhere, and bait them out of hiding.  They won't be able to resist such an easy target. | 
wolf_part3_setup4 | What they won't realise is you'll be carrying several tons of advanced military grade weapon systems, ready to be installed and activated the moment they come in close. | 
wolf_part3_setup5 | We have one final trick, to buy you some time before the cavalry arrives.  We can reverse the energy field in the ship's FTL drive, and trigger a massive burst of EMP energy.  Enough to disable their FTL and prevent any chance of escape. | 
wolf_part3_setup6 | Your own ship will lose power too - but in the calamity that follows, you'll have time to fit your weapon systems and prepare for a tough fight. | 
wolf_part3_setup7 | You'll have to hold them off for a couple of minutes.  My strike force will perform a combat drop virtually on top of you.  Then the tables will turn in our favour. | 
wolf_part3_setup8 | Remember - the pirate vessel will not show themselves unless the Astral Temptress is alone and unarmed. Good hunting! | 
wolf_part3_shipname_cargo | UMC Astral Temptress | 
wolf_part3_shipname_cargo_a10 | UMC Astral Accident | 
wolf_part3_shipname_frigate | UMC Celestial Hammer | 
wolf_part3_shipname_pirate | Pirate Vessel | 
wolf_part3_title | A Wolf in Sheep's Clothing, Part 3 | 
wolf_part3_uninstallweapons1 | The pirates won't take the bait if they see you armed! | 
wolf_part3_uninstallweapons2 | Uninstall your weapons before jumping again. | 
wolf_shipname_harken | UMC Vanguard | 
wolf_shipname_pirate | Unidentified Pirate | 
wolf_shipname_rescue | Orion Sentinel | 
wolf_shipname_scavenger | Scavenger Wraith | 
wolf_shipname_wolf1 | Interstellar Prospector | 
wolf_shipname_wolf2 | Infinite Horizon | 
wolf_shipname_wolf3 | Celestial Hauler | 
